sent_id,sentence,perseus_preds,perseus_TP,perseus_FP
sent_0035,Just above seen is a replica of a Shiva lingam .,3,1,2
sent_0036,"Around the `` triangle area , '' which includes Quanzhou , Xiamen and Zhangzhou , locals all speak Minnan languages .",4,4,0
sent_0037,"This used the section of the C&HP line from Buxton as far as Parsley Hay , from where a single line ran south to Ashbour",4,3,1
sent_0038,"Though this form of violence is often portrayed as an issue within the context of heterosexual relationships , it also o",9,4,5
sent_0039,"The second session , taking place on November 12 , 1960 , produced Joe Primrose 's `` St. James Infirmary '' and the sad",3,2,1
sent_0040,23.8 % of all households were made up of individuals and 13.0 % had someone living alone who was 65 years of age or olde,3,1,2
sent_0041,"He held the post as Attorney-General until 1834 ; he was readmitted in 1841 and after serving for a year , became Master",4,3,1
sent_0042,She began her film career in 1947 in the film `` A New Oath '' .,3,2,1
sent_0043,"Continuing duties specified for freed slaves in manumission agreements became more common into the Hellenistic era , and",6,5,1
sent_0044,"He returned to Cleveland , working in clubs as a singer , dancer , and comedian , often appearing in character as Prince",4,3,1
sent_0045,The Israeli controlled sector was captured by Israel in the Six-Day War of June 1967 .,4,1,3
sent_0046,"Voyslava has killed Mlada , Yaromir 's bride , to have him for herself .",3,2,1
sent_0047,"Here , equality between the two vectors in homogeneous coordinates means that the numbers on the right side are equal to",7,0,7
sent_0048,"Many lodge members , youth and adult , are active staff members of both Scout and Cub Scout camps .",7,0,7
sent_0049,These tracks have subsequently been included on CD reissues of the album `` The Plan '' .,7,1,6
sent_0050,"The Institut Constant de Rebecque is a Swiss free-market , classical liberal and libertarian think tank founded in Janua",3,2,1
sent_0051,Owen and the French socialist Henri de Saint-Simon were the fathers of the utopian socialist movement ; they believed th,7,2,5
sent_0052,"It finally closed to all traffic in July 1985 , when it was deemed too expensive to make extensive repairs to keep Latch",13,4,9
sent_0053,"The previous champions in 2005 were Kilmacud Crokes , who were knocked out of the 2006 competition at the semi-final sta",2,0,2
sent_0054,"That night , 300 soldiers of the 1st SS Battalion were able to reinforce the hotel and defeat several attacks on the bui",8,2,6
sent_0055,"He develops significance both as a recurrent character in the series and friend to Dream , appearing in a total of seven",2,1,1
sent_0056,"From 1953 till 1957 Speranskaya worked as chief artist in Kazan Dolls Theatre , since 1957 she worked as stage-artist di",5,3,2
sent_0057,"On April 13 , 1987 , the Iowa Terminal Railroad was sold to Dave Johnson and renamed to Iowa Traction Railroad .",5,3,2
sent_0058,"His works span a wide range of topics from the occult to natural history , literary criticism , biology , cartography , ",1,1,0
sent_0059,"In 1981 , when staying in New York State , the pair developed the idea of running workshops for professional artists , w",4,1,3
sent_0060,This currently sees the club ranked sixth in terms of premierships won .,3,3,0
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Jo",0,0,0
sent_0062,Fishing boats and cargo ships typically have one or more cargo holds .,6,4,2
sent_0063,"Furious at being passed over again , Michael secures another job with a rival company and plans on leaving his family be",5,3,2
sent_0064,"In October 2008 , Bond apologized to former U.S. Attorney Todd Graves , after a U.S. Justice Department report cited Bon",4,3,1
sent_0065,"He toured extensively throughout the world , and earned the marketing nickname `` the Pavarotti of the Organ '' .",5,3,2
sent_0066,XM did offer a free month of service to subscribers who called in complaints of the suspension .,1,1,0
sent_0067,"The first , at a severity of Mw 6.0 , occurred on May 26 , 1994 .",6,2,4
sent_0068,The Federal Trade Commission began an investigation in late 1995 .,1,1,0
sent_0069,"Although the Algeciras Conference temporarily solved the First Moroccan Crisis , it only worsened the tensions between t",4,3,1
sent_0070,By the end of this experiment several results were found .,2,1,1
sent_0071,"Blackburne 's statement that he `` would not tolerate a refusal to ratify the appointment '' , is an indication of the i",2,1,1
sent_0072,The latter was lifted only as the b-side of `` Keep on Loving Me '' .,1,0,1
sent_0073,"However , the two sometimes work as partners , and during a point in which Robin and Ariana were unable to see each othe",2,1,1
sent_0074,"Agen would have another successful run in the 1940s , beginning with the 1943 season when they defeated Stade Bordelais ",1,1,0
sent_0075,"His elder brother , Conte Quinto Mazzolini , served as Italian consul in Jerusalem , and undertook negotiations with Abr",7,4,3
sent_0076,"In the first volume of the series , The Noh 's nature and background is explained .",2,2,0
sent_0077,Plans to artificially oxygenate areas of the Baltic that have experienced eutrophication have been proposed by the Unive,7,3,4
sent_0078,"Overseas teams would not return to Russia until 1998 , when a youth tournament was held in Moscow .",0,0,0
sent_0079,"Because of this association , St. Michael was considered to be the patron saint of colonial Maryland , and as such was h",11,3,8
sent_0080,He ran for Speaker of the Rhode Island House of Representatives four times .,2,1,1
sent_0081,"By opening for acts such as U2 and Bob Dylan , they became a popular alternative rock band of the 1980s , retaining a lo",3,2,1
sent_0082,Separate berthings and heads are found on sailboats over about .,0,0,0
sent_0083,"Their performance was well received and inspired Ruby Hunter , Archie Roach 's partner , to dub the trio Tiddas , which ",5,1,4
sent_0084,These skills were readily proven when squadrons and personnel were mobilized and recalled back to active duty during the,7,7,0
sent_0085,"Charles prorogued parliament on 25 June , but the army was not disbanded , which worried Shaftesbury .",2,2,0
sent_0086,"A British version of this show was developed , known as `` Gladiators : Train 2 Win '' .",2,1,1
sent_0087,"The mouse is around nine inches long , and can jump in bounds of four feet when threatened .",3,1,2
sent_0088,"His son , John Crozier , Jr. , was an early aviation pioneer who began building a human-powered flying machine in the 18",4,2,2
sent_0089,"The first single , `` Dreamer , '' features performances by keyboardist Philippe Saisse , and vocalists Jasmine Roy and ",2,2,0
sent_0090,"These screening activities include : review of group-based data ; hearing , vision , motor , and speech/language screeni",6,5,1
sent_0091,The fractional quantum Hall effect continues to be influential in theories about topological order .,7,1,6
sent_0092,"Following his death , a statue of Sir Arthur was erected behind the National Archives of Canada , overlooking the Ottawa",4,4,0
sent_0093,"In a proposed amendment of the party 's constitution by a delegate to hold an early leadership review of Tim Hudak , McC",4,2,2
sent_0094,"Within England and especially Scotland , there were repeated attempts by the deposed House of Stewart to regain the thro",0,0,0
sent_0095,"Instead of ablating the tissue , the laser cuts a portion of the prostate , which is then cut into smaller pieces and fl",5,3,2
sent_0096,"In 1879 , he was re-elected U.S. Senator and was tipped as a Presidential candidate , but died suddenly after giving a s",3,2,1
sent_0097,"They point to other easy-to-learn languages such as Tok Pisin in Papua New Guinea , which have had deleterious effects o",6,2,4
sent_0098,It was club policy to promote talent into the senior team that was adopted by Bill Dimovski .,5,1,4
sent_0099,"She received her Master Degree in the field of Controls , Guidance and Instrumentation from I.I.T Madras and Ph.d degree",2,1,1
sent_0100,In colonial times all grants of land from the Lords Baltimore were in the shape of leases subject to small and nominal g,6,2,4
sent_0101,The term can be applied to any vessel ; turning turtle is less frequent but more dangerous on ships than on smaller boat,6,2,4
sent_0102,"Since many of the rebbes of the Nadvorna Dynasty married relatives , many of the rebbes in this list are sons-in-law of ",2,1,1
sent_0103,In 1991 he started writing and touring full-time which he still does today .,5,5,0
sent_0104,"That method relies heavily on inductive logic , seeking to show that his Christian beliefs fit best with the evidence .",3,1,2
sent_0105,"Often , objects are so far away that they do not contribute significantly to the final image .",2,1,1
sent_0106,"In 1958 , he won gold medal at the 6th European Championships in Stockholm .",9,2,7
sent_0107,"The enantioselectivity of this reaction is important because only the S enantiomer is medicinally desirable , whereas th",6,2,4
sent_0108,"Later , it carried `` Monitor , '' the network 's very successful weekend radio service .",1,1,0
sent_0109,The United States High Commissioner for Germany and his staff occupied the building from 1949 to 1952 .,9,4,5
sent_0110,"Legislation sponsored by Sweeney and signed into law provides state pensions to surviving family members of police , fir",9,5,4
sent_0111,"If the introduced surface had an ionic or polar nature , there would be water molecules standing upright on 1 or 2 of th",2,1,1
sent_0112,"They acquired the Charles City Western on December 31 , 1963 .",4,1,3
sent_0113,He was born to Afro-Guyanese parents & is of Afro-Guyanese descent .,1,0,1
sent_0114,"Unsure of who he is , Zero helps the band of Reploids , who in turn marvel at his skills .",3,2,1
sent_0115,The power cepstrum of a signal is defined as the squared magnitude of the inverse Fourier transform of the logarithm of ,1,1,0
sent_0116,"He made several practical inventions , the most notable of which was an `` index visible filing system '' which he paten",12,5,7
sent_0117,"The British Army had been shown to be overstretched by the Crimean War , while the mutiny in India had led to the respon",3,2,1
sent_0118,"In the United Kingdom , community empowerment networks are networks of a collection of local community , voluntary and t",7,2,5
sent_0119,"Mark and Marisa , the Drive Time presenters , made the announcement live on air at 5.20 pm GMT and both the staff 's per",11,1,10
sent_0120,Staff were only informed of the decision to cease broadcasting 24 hours earlier at 5pm on the evening of 23 December .,5,2,3
sent_0121,"Davis released about 25 singles during his seven years with Dakar , most of them big R&B sellers produced by Willie Hend",5,3,2
sent_0122,The waist line was put higher and the skirts became longer .,3,2,1
sent_0123,"For patients who do not recover quickly , the protocol also includes support groups and/or psychotherapy .",0,0,0
sent_0124,"The narrator does not end up being sexually assaulted ; instead , she has grabbed her suitcase and fled the compartment ",0,0,0
sent_0125,"Thomas soon became a regular in the Arsenal side , making his league debut on 14 February 1987 in a 1-1 draw with Sheffi",14,8,6
sent_0126,In 1982 Caro was trying to organise an exhibition of British abstract art in South African townships when he met Robert ,4,3,1
sent_0127,"The brightest star in Serpens , Alpha Serpentis , or Unukalhai , is a red giant of spectral type K2III located approxima",5,1,4
sent_0128,"Charles delayed declaring war , however , leading Shaftesbury to support a resolution of the House of Commons providing ",3,2,1
sent_0129,"After the Battle of Culloden in 1746 , these rebellions were crushed .",2,2,0
sent_0130,"Two - and three-year programs are offered in various fields , through the divisions of Games and Animation , Industrial ",18,1,17
sent_0131,It is best served with laksa and homemade tauhu .,2,2,0
sent_0132,The RIAA lists it as one of the Best Selling Albums of All Time .,2,1,1
sent_0133,"Alan , one of the crew , begins to behave strangely and Pete suggests taking a blood sample to check .",6,3,3
sent_0134,"In 1914 , the BSA gave local councils the power to segregate African Americans from white Scouts .",4,3,1
sent_0135,`` Kormoran '' was the only Axis ship to conduct attacks in Australian waters during 1941 and the last Axis surface raid,2,0,2
sent_0136,11 million copies of the flyer were distributed to the public via an 85-newspaper distribution chain .,5,1,4
sent_0137,The very ease of acquiring Esperanto might even accelerate the process .,3,1,2
sent_0138,"The RSNO also performs throughout Scotland , at such venues as the Glasgow Royal Concert Hall , Usher Hall , Caird Hall ",7,7,0
sent_0139,The city is served by two long-distance bus stations : Jiaxing North Bus Station and the new Jiaxing Transportation Cent,2,2,0
sent_0140,"Its bus operations were merged with another city-owned company , Suomen Turistiauto , to form a new bus company called H",3,2,1
sent_0141,The ninth leaf contains a circular world map measuring in circumference .,2,2,0
sent_0142,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethni",0,0,0
sent_0143,"The University of Florida however , refused to recognize BYX .",1,1,0
sent_0144,Ely Cathedral was never vaulted and retains a wooden ceiling over the nave .,1,1,0
sent_0145,His body was laid to rest at St. Gwynno Church in the Llanwynno forestry .,2,1,1
sent_0146,"Five years later , Alvarez was reunited with his family in New York and his father was able to start a business in Hobok",11,1,10
sent_0147,"This church is of medieval origin , the building has undergone a radical transformation in 1885 .",6,1,5
sent_0148,El Camino High School offers the recommended A-G courses based upon the University of California that illustrates the mi,7,4,3
sent_0149,"It was regained by Syria on October 6 , 1973 , the first day of the Yom Kippur War , following the First Battle of Mount",2,0,2
sent_0150,"Callaghan 's decision on the Japanese pilot 's funeral in 1945 would receive praise years later , although a memorial se",1,0,1
sent_0151,"The culture of Bhutan is fully reflected in the capital city in respect of literature , religion , customs , and nationa",0,0,0
sent_0152,"In 1845 , he was chosen Chief Justice of the Court of Queen 's Bench .",16,4,12
sent_0153,"After the British capture of Madrid , Hill had responsibility for an army of 30,000 men .",2,1,1
sent_0154,"One of the better units based at NAS Glenview in the post-WWII period was Attack Squadron 725 , part of NARTU Glenview u",6,4,2
sent_0155,"Until its 2007 acquisition by Tavistock Group , Freebirds World Burrito had its corporate headquarters in College Statio",2,0,2
sent_0156,Passengers for or should change at Twyford during off peak .,3,1,2
sent_0157,"Later , the very different STA was converted into a flightworthy orbiter , re-designated OV-099 , and christened `` Chal",3,3,0
sent_0158,"This font contains many largely recognized shapes and gestures as well as some recognized world symbols , such as the St",7,7,0
sent_0159,Passenger services on the line were terminated on 31 December 1954 .,2,1,1
sent_0160,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long dev",0,0,0
sent_0161,`` Billboard '' magazine ranked the album thirty-second in the decade-end recap of the most successful albums of the 200,7,3,4
sent_0162,"`` Video Concert Hall '' ran daily on USA Network from 1978 to 1981 on a seemingly arbitrary schedule , appearing on ear",3,2,1
sent_0163,The district also provides recreation and leisure services to many non-residents of the area on a fee basis .,17,5,12
sent_0164,"The lodge also hosts fellowship events , conclaves , training events , and an annual family banquet , and supports the c",6,5,1
sent_0165,"In `` The Scarpetta Factor , '' she is working full-time and Wesley is working part-time in New York .",2,2,0
sent_0166,"Though this time , the Brumbies won , 47 to 38 in front of a record crowd at Canberra Stadium .",2,2,0
sent_0167,"Dangaioh 's characters , mecha , and storyline elements appeared in Banpresto 's `` Super Robot Wars '' games .",3,2,1
sent_0168,"From the , 275 or 26.1 % were Roman Catholic , while 624 or 59.3 % belonged to the Swiss Reformed Church .",0,0,0
sent_0169,"Porter wrote in 1980 that strategy target either cost leadership , differentiation , or focus .",6,4,2
sent_0170,A better alternative in order to find the best possible results would be to use the Smith-Waterman algorithm .,3,0,3
sent_0171,"On 19 October 2010 , Tuqiri was officially named in the Australian squad for the Four Nations as a replacement for the i",0,0,0
sent_0172,It 's recommended to have only two males and a dozen or so females .,0,0,0
sent_0173,"According to available information , the Maoists of Nepal have well-established linkages with Indian revolutionary commu",13,0,13
sent_0174,"Its objective is to organize in-service Continuous Capacity Building and professional development training sessions , wo",2,2,0
sent_0175,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at",0,0,0
sent_0176,"In November 1998 , the company suffered a public relations embarrassment when its sales flyer featured a prominent photo",4,2,2
sent_0177,"Centuries later , in 1806 , during the Napoleonic era , was built the Canal de l'Ourcq , destined to the inland navigati",1,1,0
sent_0178,"Instead of having system calls specifically for process management , Plan 9 provides the codice_13 file system .",1,1,0
sent_0179,"His main power , the Omega Beam , is a form of energy that he fires from his eyes as either a concussive force or disint",5,3,2
sent_0180,"Rockwell and NASA thus retroactively re-designated the MPTA as MPTA-098 , though it was never christened with a name .",0,0,0
sent_0181,Maduveya Vayasu song from nanjundi kalyana was a track played during marriages for many many years in Kannada .,5,2,3
sent_0182,"Kabul had textile , cotton production , and carpet production industries , but most of its economy came through tourism ",7,2,5
sent_0183,An `` Dangaioh '' adventure game was released for the PC-8801 in Japan in April 1990 .,6,1,5
sent_0184,"From 1698 to 1843 the famous organ built by Arp Schnitger , one of the Baroque period 's best known organ makers was the",6,4,2
sent_0185,"Instead he awoke when a smaller meteorite hit the Earth in 1992 , seven years too early .",8,3,5
sent_0186,"On October 14 , 2012 , Sidney Rice caught the game winning touchdown from a 46-yard pass from Russell Wilson to beat the",8,4,4
sent_0187,"Thus , any event that would minimize such a surface is entropically favored .",1,0,1
sent_0188,The theatrical flourishes and unique gimmicks she used in her stage show went beyond established burlesque routines like,10,1,9
sent_0189,Latchford viaduct was opened on 8 July 1893 to carry the London and North Western Railway 's Stockport to Warrington lin,2,2,0
sent_0190,At the end of 2008 the Uzbek-Italian Joint Venture Roison-Candy was established by the Uzbek Limited Liability Company R,4,1,3
sent_0191,The weapons do not influence the other racers at all .,2,1,1
sent_0192,"Excluding the special editions , the 2004-2005 Ram SRT-10 came in three colors : Brilliant Black Crystal Pearl Coat , Br",5,5,0
sent_0193,"On 15 January 1999 , Senchuk was appointed as governor of the Lviv region ; for some time he combined two posts .",4,3,1
sent_0194,The school was founded in 1851 as the German-English Academy by a group of Milwaukee German Americans that included educ,8,2,6
sent_0195,Sligo town then became an incorporated municipal borough with a Royal Charter issued by the British King James I in 1613,5,2,3
sent_0196,"Greek and Roman pagans , who saw their relations with the gods in political and social terms , scorned the man who const",9,7,2
sent_0197,The neighborhood comprises an older industrial and residential harbor front area along the Kill Van Kull west of St. Geo,4,3,1
sent_0198,The department came under grant-in-aid scheme of Government of Karnataka in 1992 .,1,1,0
sent_0199,The cockpit was protected from the engine by a firewall ahead of the wing center section where the fuel tanks were locat,3,2,1
sent_0200,"In his 2010 book `` At Home '' , author Bill Bryson suggests Siddal may have suffered from poisoning , because she was a",6,4,2
sent_0201,In 2004 it was expected that redevelopment work in the remaining subway would probably obliterate what remains exist .,3,1,2
sent_0202,The Shi'a praise Muhammad ibn Abu Bakr for his devotion to ` Ali and his resistance to all the other caliphs who the Shi,3,1,2
sent_0203,"The two companies are teaming up again for the Future Vertical Lift prototype called SB-1 Defiant , where employees from",7,2,5
sent_0204,"Also buried at Three Rivers cemetery are his first wife , Blanche , several members of the Blick family who had also pio",6,3,3
sent_0205,This is usually caused by interacting inductive and capacitive elements in the oscillator .,1,0,1
sent_0206,"The final panel of the series shows her with a mask similar to Madame Masque , angrily refusing to see Spider-Man since ",2,2,0
sent_0207,"He had been at the Battle of the Granicus River , and had believed that Memnon 's scorched Earth strategy would work her",3,2,1
sent_0208,A very early form of vaccination known as variolation was developed several thousand years ago in China .,8,2,6
sent_0209,Hoechst 33342 exhibits a 10 fold greater cell-permeability than H 33258 .,1,1,0
sent_0210,"This releases some of the water molecules into the bulk of the water , leading to an increase in entropy .",2,2,0
sent_0211,"The Bears would have to wait until 2000 to play another international , when they played France in the lead-up to the 20",4,3,1
sent_0212,"Historical buildings and monuments in Meaux are mainly located in the old city , inside the old defensive walls , still ",6,3,3
sent_0213,This `` 1-in-200 year event '' flooded major intersections and underpasses and damaged both residential and commercial p,4,4,0
sent_0214,"At this point , the player confronts a boss , who is usually considerably larger and tougher than regular enemies .",3,1,2
sent_0215,"Arminius , leader of the Cherusci and allies , now had a free hand .",2,1,1
sent_0216,"In 2005 , Kesey 's son Zane asked a friend , Matthew Rick , also known as Shady Backflash , to put on a 40th anniversary",5,2,3
sent_0217,He further stated that Hauptmann looked different and that `` John '' was actually dead because he had been murdered by ,4,1,3
sent_0218,"In April 2014 , Zane , along with friend Derek Stevens , announced a Kickstarter to fund a 50th anniversary Furthur Bus ",6,2,4
sent_0219,"It includes thirty-two elementary schools , nine middle schools , ten high schools and one charter school .",8,4,4
sent_0220,Millais painted daily into the winter putting lamps under the tub to warm the water .,2,1,1
sent_0221,"Crime Master slashes her when he finds out about this , but before passing out , she alerts the FBI that he is in league",3,2,1
sent_0222,He was separated from his family as a young boy during the Cuban Revolution when he was sent to the United States to liv,11,1,10
sent_0223,"During the language shift , however , the receding language A still influences language B .",1,1,0
sent_0224,"In 1918 , the municipality was renamed Jones in honor of American congressman William Jones , who authored the Philippin",8,5,3
sent_0225,"The Tsar chose to accept the draft authored by Peter Kharitonov , Deputy State Secretary of the State Chancellory , as t",9,3,6
sent_0226,"In 1862 , Henry Letheby obtained a partly conductive material by anodic oxidation of aniline in sulfuric acid .",5,1,4
sent_0227,"The Crybaby is the twelfth album by Melvins , released in 2000 through Ipecac Recordings , and the last part of a trilog",6,2,4
sent_0228,Australian Amber Wing was the first woman to land a ts fs wake to wake 900 .,3,1,2
sent_0229,"The Prahran and Malvern Tramways Trust opened a line from Alcand Street , St Kilda to Hawthorn Road , Caulfield North al",2,1,1
sent_0230,"The doctor , Erasistratus , suspects love is behind Antiochus 's suffering .",2,1,1
sent_0231,"During the celebrations of his Silver Jubilee in November 1955 , Haile Selassie introduced a revised constitution , wher",5,2,3
sent_0232,"As a result , environmental factors are also understood to contribute heavily to the strength of intimate relationships ",2,2,0
sent_0233,"In line this with , Edwards 's early years , as seen in Comico 's graphic novel , were re-imagined in the comic book min",5,3,2
sent_0234,"The body was made largely of lightweight carbon fiber and Kevlar , known for its strength , and lightness .",5,3,2
sent_0235,"The Nazis did however permit a single dress rehearsal in Salzburg , conducted by Clemens Krauss on 16 August , in order ",9,6,3
sent_0236,"Byers does not oppose the concept of global citizenship , however he criticizes potential implications of the term depen",1,0,1
sent_0237,"Each of the programs uses a combination of funding priorities and geographic requirements to select grants , described o",5,2,3
sent_0238,"Local football team Ammanford A.F.C. play in the Welsh Football League Second Division , while rugby union team Ammanfor",4,3,1
sent_0239,He was also able to more easily control his animal instincts after this second mutation .,4,2,2
sent_0240,"A year later , he was appointed Attorney-General for Ireland and on this occasion was sworn of the Privy Council of Irel",6,4,2
sent_0241,"It hosts the `` Zomercarnaval '' , the second largest Caribbean carnival in Europe , originally called the Antillean car",3,2,1
sent_0242,Hence it can be represented by the integer notation .,1,1,0
sent_0243,"In 1891 , the academy moved to the German-English Academy Building in downtown Milwaukee .",3,1,2
sent_0244,"In England , emphasis was placed on the orientation of the chapels to the east .",1,1,0
sent_0245,On one occasion the lamps went out and the water became icy cold .,3,2,1
sent_0246,"He probably saw active service as a soldier for the Scottish forces in The Netherlands in the later 1570s , although the",2,1,1
sent_0247,The 2005 model introduced a third row of seats to the Pathfinder line for the first time .,3,2,1
sent_0248,"US 258 and the two state highways cross the Tar River on the freeway , then exit US 64 onto Mutual Boulevard at a partia",0,0,0
sent_0249,"A large gravestone was erected in 1866 , over 100 years after his death .",4,2,2
sent_0250,"Charles had concerns about being able to declare his belief in all the dogmas of the Church of England , so as well as h",5,3,2
sent_0251,"The use of high ranking , anonymous sources has caused numerous scandals for the Bush Administration , most notably the ",5,0,5
sent_0252,"It deals with cases of fraud in relation to direct taxes and indirect taxes , tax credits , drug smuggling , and money l",1,1,0
sent_0253,The Commissioner of Parks and Public Property heads one of the departments in those local governments in New Jersey that,3,3,0
sent_0254,"In England and Wales , as an `` attempt '' , attempted murder is an offence under section 1 of the Criminal Attempts Act",9,1,8
sent_0255,"Moreover , some sponsors pulled their advertising off XM in protest of the suspension .",5,3,2
sent_0256,"He is also known for his `` Aramata Collection '' , a private library housing thousands of rare books from the 18th and ",2,1,1
sent_0257,"For example , when two such hydrophobic particles come very close , the clathrate-like baskets surrounding them merge .",3,2,1
sent_0258,"Dr. Jagan himself was personally involved in the organization of the strike , and helped to raise funds across the count",6,3,3
sent_0259,"Historically , the division has been a rural seat and fairly safe for the National Party , which held it for all but six",15,3,12
sent_0260,"After leaving , he tried to find acting jobs and worked as an Elvis impersonator for a short time .",4,2,2
sent_0261,"Frowin founded the Benedictine monastery of New Engleberg at Conception , which was erected into an abbey in 1881 .",2,2,0
sent_0262,"The northern terminus of this section is at Senai Airport Interchange near Senai Airport , while it shares the same Kilo",3,2,1
sent_0263,He was appointed Commander of the Order of the British Empire in the 1948 Queen 's Birthday Honours and was knighted in ,3,2,1
sent_0264,In 2004 the Oxford English University Press included Makaton as a common usage word in the Oxford English Dictionary .,3,1,2
sent_0265,"He and his friends were said to have made bombs for fun on the outskirts of Murray , Utah .",2,1,1
sent_0266,"Montgomery Blair 's Science , Math , and Technology Academy specializes in : Life Science , Physical Science , Engineeri",6,5,1
sent_0267,It is necessary to climb embankments to cross some roads where former bridges have been filled in .,5,0,5
sent_0268,Butters Drive in the Canberra suburb of Phillip is named in his honour .,0,0,0
sent_0269,"Afterward he has joined Emma Frost 's Academy of Tomorrow , a school for gifted beings .",10,3,7
sent_0270,After this she became very ill with a severe cold or pneumonia .,2,1,1
sent_0271,"However , the term cob , defined as a short-legged , stout horse , is a body type rather than a breed .",3,2,1
sent_0272,"As she reads the articles , she also makes veiled references and innuendo relating to the slang use of `` beaver '' .",3,2,1
sent_0273,The origin of the Missionaries of the Sacred Heart is closely connected with the definition of the dogma of the Immacula,4,2,2
sent_0274,"Spielberger was formerly Chairman of the Psychology Department at the University of South Florida in Tampa , Florida and",2,1,1
sent_0275,"Hiester was born in Montgomery County , Pennsylvania on July 17 , 1749 , the son of German immigrants Daniel and Catheri",3,2,1
sent_0276,"He chose a path of confrontation , of conflict .",3,2,1
sent_0277,"The Aura spacecraft has a mass of about 1,765 kg .",2,2,0
sent_0278,"A dam on the creek has created a lake covering for fishing , boating , and swimming .",1,1,0
sent_0279,"The railways were separate , the S&D being administered by the Midland Railway and the London and South Western Railway ",4,4,0
sent_0280,X is revealed to be the leader of Neo Arcadia and Zero confronts X in battle .,4,3,1
sent_0281,"In 1577 , she unsuccessfully proposed to the city council that it should establish a home for poor women , of which she ",4,2,2
sent_0282,DePauw University awarded the degree `` Doctor of Divinity '' in 1892 .,5,1,4
