sent_id,sentence
sent_0050,"The Institut Constant de Rebecque is a Swiss free-market , classical liberal and libertarian think tank founded in January 2005 in Lausanne , named after writer and political philosopher Benjamin Constant ."
sent_0051,Owen and the French socialist Henri de Saint-Simon were the fathers of the utopian socialist movement ; they believed that the ills of industrial work relations could be removed by the establishment of small cooperative communities .
sent_0052,"It finally closed to all traffic in July 1985 , when it was deemed too expensive to make extensive repairs to keep Latchford viaduct operational ."
sent_0053,"The previous champions in 2005 were Kilmacud Crokes , who were knocked out of the 2006 competition at the semi-final stage ."
sent_0054,"That night , 300 soldiers of the 1st SS Battalion were able to reinforce the hotel and defeat several attacks on the building ."
sent_0055,"He develops significance both as a recurrent character in the series and friend to Dream , appearing in a total of seven issues spanning six hundred years ."
sent_0056,"From 1953 till 1957 Speranskaya worked as chief artist in Kazan Dolls Theatre , since 1957 she worked as stage-artist director in Kazan theatres , also she was invited to other cities of Russian Federation ."
sent_0057,"On April 13 , 1987 , the Iowa Terminal Railroad was sold to Dave Johnson and renamed to Iowa Traction Railroad ."
sent_0058,"His works span a wide range of topics from the occult to natural history , literary criticism , biology , cartography , and iconography ."
sent_0059,"In 1981 , when staying in New York State , the pair developed the idea of running workshops for professional artists , which became the Triangle Arts Trust ."
sent_0060,This currently sees the club ranked sixth in terms of premierships won .
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging ."
sent_0062,Fishing boats and cargo ships typically have one or more cargo holds .
sent_0063,"Furious at being passed over again , Michael secures another job with a rival company and plans on leaving his family behind for good ."
sent_0064,"In October 2008 , Bond apologized to former U.S. Attorney Todd Graves , after a U.S. Justice Department report cited Bond for forcing Graves out over a disagreement with Representative Sam Graves ."
sent_0065,"He toured extensively throughout the world , and earned the marketing nickname `` the Pavarotti of the Organ '' ."
sent_0066,XM did offer a free month of service to subscribers who called in complaints of the suspension .
sent_0067,"The first , at a severity of Mw 6.0 , occurred on May 26 , 1994 ."
sent_0068,The Federal Trade Commission began an investigation in late 1995 .
sent_0069,"Although the Algeciras Conference temporarily solved the First Moroccan Crisis , it only worsened the tensions between the Triple Alliance and Triple Entente that ultimately led to the First World War ."
sent_0070,By the end of this experiment several results were found .
sent_0071,"Blackburne 's statement that he `` would not tolerate a refusal to ratify the appointment '' , is an indication of the influence which could then be wielded by a strong Attorney General ."
sent_0072,The latter was lifted only as the b-side of `` Keep on Loving Me '' .
sent_0073,"However , the two sometimes work as partners , and during a point in which Robin and Ariana were unable to see each other , he and Stephanie grow even closer ."
sent_0074,"Agen would have another successful run in the 1940s , beginning with the 1943 season when they defeated Stade Bordelais 11 to 4 to win the Coupe de France ."
sent_0075,"His elder brother , Conte Quinto Mazzolini , served as Italian consul in Jerusalem , and undertook negotiations with Abraham Stern , head of the Lehi terrorist group , which sought to obtain Italian recognition of Jewish sovereignty in Palestine in exchange for placing Zionism under the aegis of Italian fascism ."
sent_0076,"In the first volume of the series , The Noh 's nature and background is explained ."
sent_0077,Plans to artificially oxygenate areas of the Baltic that have experienced eutrophication have been proposed by the University of Gothenburg and Inocean AB .
sent_0078,"Overseas teams would not return to Russia until 1998 , when a youth tournament was held in Moscow ."
sent_0079,"Because of this association , St. Michael was considered to be the patron saint of colonial Maryland , and as such was honored by the river being named for him ."
sent_0080,He ran for Speaker of the Rhode Island House of Representatives four times .
sent_0081,"By opening for acts such as U2 and Bob Dylan , they became a popular alternative rock band of the 1980s , retaining a loyal following to the present day ."
sent_0082,Separate berthings and heads are found on sailboats over about .
sent_0083,"Their performance was well received and inspired Ruby Hunter , Archie Roach 's partner , to dub the trio Tiddas , which is Koori English for the word sisters ."
sent_0084,These skills were readily proven when squadrons and personnel were mobilized and recalled back to active duty during the Korean War and the Berlin Crisis .
sent_0085,"Charles prorogued parliament on 25 June , but the army was not disbanded , which worried Shaftesbury ."
sent_0086,"A British version of this show was developed , known as `` Gladiators : Train 2 Win '' ."
sent_0087,"The mouse is around nine inches long , and can jump in bounds of four feet when threatened ."
sent_0088,"His son , John Crozier , Jr. , was an early aviation pioneer who began building a human-powered flying machine in the 1890s , but was killed in a feud in Grainger County before he could complete it ."
sent_0089,"The first single , `` Dreamer , '' features performances by keyboardist Philippe Saisse , and vocalists Jasmine Roy and Rebeca Vega ."
sent_0090,"These screening activities include : review of group-based data ; hearing , vision , motor , and speech/language screening ; and review by the Special Education administration ."
sent_0091,The fractional quantum Hall effect continues to be influential in theories about topological order .
sent_0092,"Following his death , a statue of Sir Arthur was erected behind the National Archives of Canada , overlooking the Ottawa River This is one of only two statues of civil servants erected in Ottawa , both during MacKenzie King 's tenure as Prime Minister ."
sent_0093,"In a proposed amendment of the party 's constitution by a delegate to hold an early leadership review of Tim Hudak , McCreadie indicated that Party President Richard Ciano should accept the same review if the motion was passed ."
sent_0094,"Within England and especially Scotland , there were repeated attempts by the deposed House of Stewart to regain the throne , leading to severe uprisings ."
sent_0095,"Instead of ablating the tissue , the laser cuts a portion of the prostate , which is then cut into smaller pieces and flushed with irrigation fluid ."
sent_0096,"In 1879 , he was re-elected U.S. Senator and was tipped as a Presidential candidate , but died suddenly after giving a speech in Chicago ."
sent_0097,"They point to other easy-to-learn languages such as Tok Pisin in Papua New Guinea , which have had deleterious effects on minority languages ."
sent_0098,It was club policy to promote talent into the senior team that was adopted by Bill Dimovski .
sent_0099,"She received her Master Degree in the field of Controls , Guidance and Instrumentation from I.I.T Madras and Ph.d degree from the department of Aerospace engineering ."
sent_0100,"In colonial times all grants of land from the Lords Baltimore were in the shape of leases subject to small and nominal ground rents , reserved by the Proprietary , and payable annually at Michaelmas , the Feast of St. Michael and All Angels ."
sent_0101,The term can be applied to any vessel ; turning turtle is less frequent but more dangerous on ships than on smaller boats .
sent_0102,"Since many of the rebbes of the Nadvorna Dynasty married relatives , many of the rebbes in this list are sons-in-law of other rebbes on the list ."
sent_0103,In 1991 he started writing and touring full-time which he still does today .
sent_0104,"That method relies heavily on inductive logic , seeking to show that his Christian beliefs fit best with the evidence ."
sent_0105,"Often , objects are so far away that they do not contribute significantly to the final image ."
sent_0106,"In 1958 , he won gold medal at the 6th European Championships in Stockholm ."
sent_0107,"The enantioselectivity of this reaction is important because only the S enantiomer is medicinally desirable , whereas the R enantiomer produces harmful health effects ."
sent_0108,"Later , it carried `` Monitor , '' the network 's very successful weekend radio service ."
sent_0109,The United States High Commissioner for Germany and his staff occupied the building from 1949 to 1952 .
sent_0110,"Legislation sponsored by Sweeney and signed into law provides state pensions to surviving family members of police , firefighters and emergency services workers who die in the line of duty , as well as the law that removes the remarriage prohibition to receive death benefits for spouses of police officers and firefighters killed while serving the public good ."
sent_0111,"If the introduced surface had an ionic or polar nature , there would be water molecules standing upright on 1 or 2 of the four sp3 orbitals ."
sent_0112,"They acquired the Charles City Western on December 31 , 1963 ."
sent_0113,He was born to Afro-Guyanese parents & is of Afro-Guyanese descent .
sent_0114,"Unsure of who he is , Zero helps the band of Reploids , who in turn marvel at his skills ."
sent_0115,The power cepstrum of a signal is defined as the squared magnitude of the inverse Fourier transform of the logarithm of the squared magnitude of the Fourier transform of a signal .
sent_0116,"He made several practical inventions , the most notable of which was an `` index visible filing system '' which he patented in 1913 and sold to Kardex Rand in 1925 ."
sent_0117,"The British Army had been shown to be overstretched by the Crimean War , while the mutiny in India had led to the responsibility for providing a garrison in the subcontinent from the Honourable East India Company to the Crown forces ."
sent_0118,"In the United Kingdom , community empowerment networks are networks of a collection of local community , voluntary and third sector organisations and groups , set up by the central government as part of an initiative to foster community involvement in regeneration at a local level ."
sent_0119,"Mark and Marisa , the Drive Time presenters , made the announcement live on air at 5.20 pm GMT and both the staff 's personal emails and the stations website was closed shortly thereafter 10pm GMT ."
sent_0120,Staff were only informed of the decision to cease broadcasting 24 hours earlier at 5pm on the evening of 23 December .
sent_0121,"Davis released about 25 singles during his seven years with Dakar , most of them big R&B sellers produced by Willie Henderson ."
sent_0122,The waist line was put higher and the skirts became longer .
sent_0123,"For patients who do not recover quickly , the protocol also includes support groups and/or psychotherapy ."
sent_0124,"The narrator does not end up being sexually assaulted ; instead , she has grabbed her suitcase and fled the compartment ."
sent_0125,"Thomas soon became a regular in the Arsenal side , making his league debut on 14 February 1987 in a 1-1 draw with Sheffield Wednesday at Hillsborough ."
sent_0126,In 1982 Caro was trying to organise an exhibition of British abstract art in South African townships when he met Robert Loder .
sent_0127,"The brightest star in Serpens , Alpha Serpentis , or Unukalhai , is a red giant of spectral type K2III located approximately away which marks the snake 's heart ."
sent_0128,"Charles delayed declaring war , however , leading Shaftesbury to support a resolution of the House of Commons providing for immediately disbanding the army that Charles was raising ."
sent_0129,"After the Battle of Culloden in 1746 , these rebellions were crushed ."
sent_0130,"Two - and three-year programs are offered in various fields , through the divisions of Games and Animation , Industrial Design , Performing Arts , Information Communications , and Human Care ."
sent_0131,It is best served with laksa and homemade tauhu .
sent_0132,The RIAA lists it as one of the Best Selling Albums of All Time .
sent_0133,"Alan , one of the crew , begins to behave strangely and Pete suggests taking a blood sample to check ."
sent_0134,"In 1914 , the BSA gave local councils the power to segregate African Americans from white Scouts ."
sent_0135,`` Kormoran '' was the only Axis ship to conduct attacks in Australian waters during 1941 and the last Axis surface raider to enter Australian waters until 1943 .
sent_0136,11 million copies of the flyer were distributed to the public via an 85-newspaper distribution chain .
sent_0137,The very ease of acquiring Esperanto might even accelerate the process .
sent_0138,"The RSNO also performs throughout Scotland , at such venues as the Glasgow Royal Concert Hall , Usher Hall , Caird Hall , Aberdeen Music Hall , Perth Concert Hall and Eden Court Inverness ."
sent_0139,The city is served by two long-distance bus stations : Jiaxing North Bus Station and the new Jiaxing Transportation Center .
sent_0140,"Its bus operations were merged with another city-owned company , Suomen Turistiauto , to form a new bus company called Helsingin Bussiliikenne ."
sent_0141,The ninth leaf contains a circular world map measuring in circumference .
sent_0142,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy ."
sent_0143,"The University of Florida however , refused to recognize BYX ."
sent_0144,Ely Cathedral was never vaulted and retains a wooden ceiling over the nave .
sent_0145,His body was laid to rest at St. Gwynno Church in the Llanwynno forestry .
sent_0146,"Five years later , Alvarez was reunited with his family in New York and his father was able to start a business in Hoboken , New Jersey ."
sent_0147,"This church is of medieval origin , the building has undergone a radical transformation in 1885 ."
sent_0148,El Camino High School offers the recommended A-G courses based upon the University of California that illustrates the minimum level of academic preparation students ought to achieve in high school to undertake university level work .
sent_0149,"It was regained by Syria on October 6 , 1973 , the first day of the Yom Kippur War , following the First Battle of Mount Hermon ."
sent_0150,"Callaghan 's decision on the Japanese pilot 's funeral in 1945 would receive praise years later , although a memorial service aboard the `` Missouri '' in April 2001 attracted controversy ."
sent_0151,"The culture of Bhutan is fully reflected in the capital city in respect of literature , religion , customs , and national dress code , the monastic practices of the monasteries , music , dance , literature and in the media ."
sent_0152,"In 1845 , he was chosen Chief Justice of the Court of Queen 's Bench ."
sent_0153,"After the British capture of Madrid , Hill had responsibility for an army of 30,000 men ."
sent_0154,"One of the better units based at NAS Glenview in the post-WWII period was Attack Squadron 725 , part of NARTU Glenview until 1970 , when it was redesignated as Attack Squadron 209 and became part of Carrier Air Wing Reserve TWENTY from 1970 onward ."
sent_0155,"Until its 2007 acquisition by Tavistock Group , Freebirds World Burrito had its corporate headquarters in College Station ."
sent_0156,Passengers for or should change at Twyford during off peak .
sent_0157,"Later , the very different STA was converted into a flightworthy orbiter , re-designated OV-099 , and christened `` Challenger '' ."
sent_0158,"This font contains many largely recognized shapes and gestures as well as some recognized world symbols , such as the Star of David , the symbols of the zodiac , index or manicle signs and obscure ampersands ."
sent_0159,Passenger services on the line were terminated on 31 December 1954 .
sent_0160,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality ."
sent_0161,"`` Billboard '' magazine ranked the album thirty-second in the decade-end recap of the most successful albums of the 2000s , while placing it twelfth in the R&B field ."
sent_0162,"`` Video Concert Hall '' ran daily on USA Network from 1978 to 1981 on a seemingly arbitrary schedule , appearing on early morning , daytime , late night , and early evening timeslots alike for durations ranging from one to four hours ."
sent_0163,The district also provides recreation and leisure services to many non-residents of the area on a fee basis .
sent_0164,"The lodge also hosts fellowship events , conclaves , training events , and an annual family banquet , and supports the council activities at Council-run events ."
sent_0165,"In `` The Scarpetta Factor , '' she is working full-time and Wesley is working part-time in New York ."
sent_0166,"Though this time , the Brumbies won , 47 to 38 in front of a record crowd at Canberra Stadium ."
sent_0167,"Dangaioh 's characters , mecha , and storyline elements appeared in Banpresto 's `` Super Robot Wars '' games ."
sent_0168,"From the , 275 or 26.1 % were Roman Catholic , while 624 or 59.3 % belonged to the Swiss Reformed Church ."
sent_0169,"Porter wrote in 1980 that strategy target either cost leadership , differentiation , or focus ."
sent_0170,A better alternative in order to find the best possible results would be to use the Smith-Waterman algorithm .
sent_0171,"On 19 October 2010 , Tuqiri was officially named in the Australian squad for the Four Nations as a replacement for the injured Jarryd Hayne ."
sent_0172,It 's recommended to have only two males and a dozen or so females .
sent_0173,"According to available information , the Maoists of Nepal have well-established linkages with Indian revolutionary communist organizations , primarily with the Communist Party of India , currently leading a protracted `` people 's war '' throughout the subcontinent ."
sent_0174,"Its objective is to organize in-service Continuous Capacity Building and professional development training sessions , workshops and local and international conferences for enhancement of skills and competitive strength of faculty , staff and M.Phil and PhD students at their campuses ."
sent_0175,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton ."
sent_0176,"In November 1998 , the company suffered a public relations embarrassment when its sales flyer featured a prominent photograph of two grinning boys playing the board game `` Scrabble '' with the word `` RAPE '' spelled out in the center of the board , buried amongst nonsense words ."
sent_0177,"Centuries later , in 1806 , during the Napoleonic era , was built the Canal de l'Ourcq , destined to the inland navigation when the Marne river is not navigable because of temporary sandbanks ."
sent_0178,"Instead of having system calls specifically for process management , Plan 9 provides the codice_13 file system ."
sent_0179,"His main power , the Omega Beam , is a form of energy that he fires from his eyes as either a concussive force or disintegrating energy , capable of transmuting or erasing living objects and organisms from existence as well as resurrecting them , depending on the dark lord 's will ."
sent_0180,"Rockwell and NASA thus retroactively re-designated the MPTA as MPTA-098 , though it was never christened with a name ."
sent_0181,Maduveya Vayasu song from nanjundi kalyana was a track played during marriages for many many years in Kannada .
sent_0182,"Kabul had textile , cotton production , and carpet production industries , but most of its economy came through tourism which it lost during its destruction ."
sent_0183,An `` Dangaioh '' adventure game was released for the PC-8801 in Japan in April 1990 .
sent_0184,"From 1698 to 1843 the famous organ built by Arp Schnitger , one of the Baroque period 's best known organ makers was the main organ ."
sent_0185,"Instead he awoke when a smaller meteorite hit the Earth in 1992 , seven years too early ."
sent_0186,"On October 14 , 2012 , Sidney Rice caught the game winning touchdown from a 46-yard pass from Russell Wilson to beat the New England Patriots 24-23 ."
sent_0187,"Thus , any event that would minimize such a surface is entropically favored ."
sent_0188,The theatrical flourishes and unique gimmicks she used in her stage show went beyond established burlesque routines like the fan dance and balloon dance .
sent_0189,Latchford viaduct was opened on 8 July 1893 to carry the London and North Western Railway 's Stockport to Warrington line over the Manchester Ship Canal .
sent_0190,At the end of 2008 the Uzbek-Italian Joint Venture Roison-Candy was established by the Uzbek Limited Liability Company Roison Electronics with partnership of Candy Group .
sent_0191,The weapons do not influence the other racers at all .
sent_0192,"Excluding the special editions , the 2004-2005 Ram SRT-10 came in three colors : Brilliant Black Crystal Pearl Coat , Bright Silver Metallic Clear Coat , and Flame Red Clear Coat ."
sent_0193,"On 15 January 1999 , Senchuk was appointed as governor of the Lviv region ; for some time he combined two posts ."
sent_0194,The school was founded in 1851 as the German-English Academy by a group of Milwaukee German Americans that included educationist Peter Engelmann and hardware wholesaler William Frankfurth .
sent_0195,Sligo town then became an incorporated municipal borough with a Royal Charter issued by the British King James I in 1613/14 .
sent_0196,"Greek and Roman pagans , who saw their relations with the gods in political and social terms , scorned the man who constantly trembled with fear at the thought of the gods , as a slave might fear a cruel and capricious master ."
sent_0197,The neighborhood comprises an older industrial and residential harbor front area along the Kill Van Kull west of St. George .
sent_0198,The department came under grant-in-aid scheme of Government of Karnataka in 1992 .
sent_0199,The cockpit was protected from the engine by a firewall ahead of the wing center section where the fuel tanks were located .
sent_0200,"In his 2010 book `` At Home '' , author Bill Bryson suggests Siddal may have suffered from poisoning , because she was a `` devoted swallower '' of Fowler 's Solution , a so-called complexion improver made from dilute arsenic ."
sent_0201,In 2004 it was expected that redevelopment work in the remaining subway would probably obliterate what remains exist .
sent_0202,The Shi'a praise Muhammad ibn Abu Bakr for his devotion to ` Ali and his resistance to all the other caliphs who the Shi'a believe to be usurpers .
sent_0203,"The two companies are teaming up again for the Future Vertical Lift prototype called SB-1 Defiant , where employees from both companies will work together ."
sent_0204,"Also buried at Three Rivers cemetery are his first wife , Blanche , several members of the Blick family who had also pioneered 1890s Rhodesia with Burnham , Roderick , his granddaughter Martha Burnham Burleigh , and `` Pete '' Ingram , the Montana cowboy who had survived the Shangani Patrol massacre along with Burnham ."
sent_0205,This is usually caused by interacting inductive and capacitive elements in the oscillator .
sent_0206,"The final panel of the series shows her with a mask similar to Madame Masque , angrily refusing to see Spider-Man since she blames him for her scars ."
sent_0207,"He had been at the Battle of the Granicus River , and had believed that Memnon 's scorched Earth strategy would work here ."
sent_0208,A very early form of vaccination known as variolation was developed several thousand years ago in China .
sent_0209,Hoechst 33342 exhibits a 10 fold greater cell-permeability than H 33258 .
sent_0210,"This releases some of the water molecules into the bulk of the water , leading to an increase in entropy ."
sent_0211,"The Bears would have to wait until 2000 to play another international , when they played France in the lead-up to the 2000 Rugby League World Cup ."
sent_0212,"Historical buildings and monuments in Meaux are mainly located in the old city , inside the old defensive walls , still nowadays partially kept thanks to an important segment of the original surrounding wall from the Gallo-Roman period ."
sent_0213,This `` 1-in-200 year event '' flooded major intersections and underpasses and damaged both residential and commercial properties .
sent_0214,"At this point , the player confronts a boss , who is usually considerably larger and tougher than regular enemies ."
sent_0215,"Arminius , leader of the Cherusci and allies , now had a free hand ."
sent_0216,"In 2005 , Kesey 's son Zane asked a friend , Matthew Rick , also known as Shady Backflash , to put on a 40th anniversary of his father 's Acid Tests ."
sent_0217,He further stated that Hauptmann looked different and that `` John '' was actually dead because he had been murdered by his confederates .
sent_0218,"In April 2014 , Zane , along with friend Derek Stevens , announced a Kickstarter to fund a 50th anniversary Furthur Bus Trip , offering donors a chance to ride the famous bus ."
sent_0219,"It includes thirty-two elementary schools , nine middle schools , ten high schools and one charter school ."
sent_0220,Millais painted daily into the winter putting lamps under the tub to warm the water .
sent_0221,"Crime Master slashes her when he finds out about this , but before passing out , she alerts the FBI that he is in league with Otto Octavius and his inhumane experiments ."
sent_0222,He was separated from his family as a young boy during the Cuban Revolution when he was sent to the United States to live with a foster family through an outreach program while his father was placed in a Cuban prison .
sent_0223,"During the language shift , however , the receding language A still influences language B ."
sent_0224,"In 1918 , the municipality was renamed Jones in honor of American congressman William Jones , who authored the Philippine Autonomy Act of 1916 that provided for greater autonomy for the Philippines under American colonial rule ."
sent_0225,"The Tsar chose to accept the draft authored by Peter Kharitonov , Deputy State Secretary of the State Chancellory , as the basis for the new constitution ."
sent_0226,"In 1862 , Henry Letheby obtained a partly conductive material by anodic oxidation of aniline in sulfuric acid ."
sent_0227,"The Crybaby is the twelfth album by Melvins , released in 2000 through Ipecac Recordings , and the last part of a trilogy : `` The Maggot , '' `` The Bootlicker '' and `` The Crybaby . ''"
sent_0228,Australian Amber Wing was the first woman to land a ts fs wake to wake 900 .
sent_0229,"The Prahran and Malvern Tramways Trust opened a line from Alcand Street , St Kilda to Hawthorn Road , Caulfield North along Carlisle Street/Balaclava Road on 12 April 1913 ."
sent_0230,"The doctor , Erasistratus , suspects love is behind Antiochus 's suffering ."
sent_0231,"During the celebrations of his Silver Jubilee in November 1955 , Haile Selassie introduced a revised constitution , whereby he retained effective power , while extending political participation to the people by allowing the lower house of parliament to become an elected body ."
sent_0232,"As a result , environmental factors are also understood to contribute heavily to the strength of intimate relationships ."
sent_0233,"In line this with , Edwards 's early years , as seen in Comico 's graphic novel , were re-imagined in the comic book mini-series , `` Robotech : From the Stars '' , published WildStorm ."
sent_0234,"The body was made largely of lightweight carbon fiber and Kevlar , known for its strength , and lightness ."
sent_0235,"The Nazis did however permit a single dress rehearsal in Salzburg , conducted by Clemens Krauss on 16 August , in order that Strauss and an invited audience could hear the work performed ."
sent_0236,"Byers does not oppose the concept of global citizenship , however he criticizes potential implications of the term depending on one 's definition of it , such as ones that provide support for the `` ruthlessly capitalist economic system that now dominates the planet . ''"
sent_0237,"Each of the programs uses a combination of funding priorities and geographic requirements to select grants , described on the foundation 's web site ."
sent_0238,"Local football team Ammanford A.F.C. play in the Welsh Football League Second Division , while rugby union team Ammanford RFC were formed in 1887 and play in the Welsh Rugby Union leagues ."
sent_0239,He was also able to more easily control his animal instincts after this second mutation .
sent_0240,"A year later , he was appointed Attorney-General for Ireland and on this occasion was sworn of the Privy Council of Ireland ."
sent_0241,"It hosts the `` Zomercarnaval '' , the second largest Caribbean carnival in Europe , originally called the Antillean carnival ."
sent_0242,Hence it can be represented by the integer notation .
sent_0243,"In 1891 , the academy moved to the German-English Academy Building in downtown Milwaukee ."
sent_0244,"In England , emphasis was placed on the orientation of the chapels to the east ."
sent_0245,On one occasion the lamps went out and the water became icy cold .
sent_0246,"He probably saw active service as a soldier for the Scottish forces in The Netherlands in the later 1570s , although there is no certain documentary evidence of this ."
sent_0247,The 2005 model introduced a third row of seats to the Pathfinder line for the first time .
sent_0248,"US 258 and the two state highways cross the Tar River on the freeway , then exit US 64 onto Mutual Boulevard at a partial interchange on the east side of the river in Princeville ."
sent_0249,"A large gravestone was erected in 1866 , over 100 years after his death ."
sent_0250,"Charles had concerns about being able to declare his belief in all the dogmas of the Church of England , so as well as hunting and fishing , he studied divinity books ."
sent_0251,"The use of high ranking , anonymous sources has caused numerous scandals for the Bush Administration , most notably the Plame Affair ."
sent_0252,"It deals with cases of fraud in relation to direct taxes and indirect taxes , tax credits , drug smuggling , and money laundering , cases involving United Nations trade sanctions , conflict diamonds and CITES ."
sent_0253,The Commissioner of Parks and Public Property heads one of the departments in those local governments in New Jersey that operate under the Walsh Act form of municipal governance .
