pred_s,pred_p,pred_o,gt_s,gt_p,gt_o,tier,triple_sim
councils,held,1048,councils,held,1048,tier1_exact,1.0
councils,held,1071,councils,held,1071,tier1_exact,1.0
councils,held,1080,councils,held,1080,tier1_exact,1.0
graner,handcuffed,him,graner,handcuffed,him,tier1_exact,1.0
graner,left,him,graner,left,him,tier1_exact,1.0
felicia,a relationship with,spider man noir,felicia,a relationship with,spider man noir,tier1_exact,1.0
plant communities,include,creosote,plant communities,include,creosote,tier1_exact,1.0
plant communities,include,sagebrush,plant communities,include,sagebrush,tier1_exact,1.0
plant communities,include,bristlecone pine forests,plant communities,include,bristlecone pine forests,tier1_exact,1.0
mark portmann,left,band,mark portmann,left,band,tier1_exact,1.0
band,released,sahara,band,released,sahara,tier1_exact,1.0
chapters bremen cathedral,located,within city boundary,chapters bremen cathedral,located,within city boundary,tier1_exact,1.0
they,can,380v,they,can,380v,tier1_exact,1.0
they,can,1000v,they,can,1000v,tier1_exact,1.0
they,can,even higher,they,can,even higher,tier1_exact,1.0
it,united with,clitheroe rural district,it,united with,clitheroe rural district,tier1_exact,1.0
chapel,located,14th floor,chapel,located,14th floor,tier1_exact,1.0
study hall,located,15th floor,study hall,located,15th floor,tier1_exact,1.0
turbomachinery,may use,one more centrifugal compressors,turbomachinery,may use,one more centrifugal compressors,tier1_exact,1.0
locomotives,pulled,trains,locomotives,pulled,trains,tier1_exact,1.0
muhammad ibn abu bakr,escorted,aisha,muhammad ibn abu bakr,escorted,aisha,tier1_exact,1.0
shops,built,close proximity maz plant,shops,built,close proximity maz plant,tier1_exact,1.0
medical clinics,built,close proximity maz plant,medical clinics,built,close proximity maz plant,tier1_exact,1.0
cinemas,built,close proximity maz plant,cinemas,built,close proximity maz plant,tier1_exact,1.0
armah,contrasts,two worlds,armah,contrasts,two worlds,tier1_exact,1.0
ballard,given,drug,ballard,given,drug,tier1_exact,1.0
citizens responsibility ethics washington,filed,ethics committee complaint,citizens responsibility ethics washington,filed,ethics committee complaint,tier1_exact,1.0
dc comics,held,memorial service,dc comics,held,memorial service,tier1_exact,1.0
dodo,intended to,common accent,dodo,intended to,common accent,tier1_exact,1.0
act rugby union,renamed,act southern nsw rugby union,act rugby union,renamed,act southern nsw rugby union,tier1_exact,1.0
failure perform duty,could lead to,re enslavement,failure perform duty,could lead to,re enslavement,tier1_exact,1.0
university,banned,smoking,university,banned,smoking,tier1_exact,1.0
george bluth sr,patriarch of,bluth family,george bluth sr,patriarch of,bluth family,tier1_exact,1.0
bluth company,markets,mini mansions,bluth company,markets,mini mansions,tier1_exact,1.0
bluth company,builds,mini mansions,bluth company,builds,mini mansions,tier1_exact,1.0
godzilla,battled,battra,godzilla,battled,battra,tier1_exact,1.0
battra,battled,godzilla,battra,battled,godzilla,tier1_exact,1.0
hapoel lod,won,state cup,hapoel lod,won,state cup,tier1_exact,1.0
he,finds,himself,he,finds,himself,tier1_exact,1.0
he,lodged,other medical students,he,lodged,other medical students,tier1_exact,1.0
he,lodged,henry stephens,he,lodged,henry stephens,tier1_exact,1.0
he,represented,nickel belt,he,represented,nickel belt,tier1_exact,1.0
he,talked to,mcgee,he,talked to,mcgee,tier1_exact,1.0
earth,hangs,air,earth,hangs,air,tier1_exact,1.0
knievel,lost control of,motorcycle,knievel,lost control of,motorcycle,tier1_exact,1.0
knievel,crashed into,cameraman,knievel,crashed into,cameraman,tier1_exact,1.0
she,published,omaha tribe,she,published,omaha tribe,tier1_exact,1.0
sun,announced,project indiana,sun,announced,project indiana,tier1_exact,1.0
droit,can mean,whole body law,droit,can mean,whole body law,tier1_exact,1.0
she,joined,women s auxiliary air force,she,joined,women s auxiliary air force,tier1_exact,1.0
boston college,joined,atlantic coast conference,boston college,joined,atlantic coast conference,tier1_exact,1.0
boston college,left,big east conference,boston college,left,big east conference,tier1_exact,1.0
uta,ordered,77 siemens s70 light rail vehicles,uta,ordered,77 siemens s70 light rail vehicles,tier1_exact,1.0
uta,ordered from,siemens ag,uta,ordered from,siemens ag,tier1_exact,1.0
he,advocated,strong prosecution union war effort,he,advocated,strong prosecution union war effort,tier1_exact,1.0
he,advocated,end slavery,he,advocated,end slavery,tier1_exact,1.0
he,advocated,civil rights freed african americans,he,advocated,civil rights freed african americans,tier1_exact,1.0
welsh methodists,broke away from,anglican church,welsh methodists,broke away from,anglican church,tier1_exact,1.0
inhabitants,speak,bumthangkha,inhabitants,speak,bumthangkha,tier1_exact,1.0
inhabitants,speak,khengkha,inhabitants,speak,khengkha,tier1_exact,1.0
it,part of,surrey hills area outstanding beauty,it,part of,surrey hills area outstanding beauty,tier1_exact,1.0
it,situated on,green sand way,it,situated on,green sand way,tier1_exact,1.0
jal,introduced,jet service,jal,introduced,jet service,tier1_exact,1.0
kim,played for,varsity lacrosse team,kim,played for,varsity lacrosse team,tier1_exact,1.0
lens subluxation,characterized by,partial displacement lens,lens subluxation,characterized by,partial displacement lens,tier1_exact,1.0
noatak,primarily reached by,air,noatak,primarily reached by,air,tier1_exact,1.0
brown,left,federal government,brown,left,federal government,tier1_exact,1.0
acoustic mimicry complexes,may,widespread,acoustic mimicry complexes,may,widespread,tier1_exact,1.0
richmond,won,ten premierships,richmond,won,ten premierships,tier1_exact,1.0
sukhum,became,capital abkhazian autonomous soviet socialist republic,sukhum,became,capital abkhazian autonomous soviet socialist republic,tier1_exact,1.0
2nd battalion 13th light infantry,raised,winchester,2nd battalion 13th light infantry,raised,winchester,tier1_exact,1.0
bourbons,built,additional reception rooms,bourbons,built,additional reception rooms,tier1_exact,1.0
bourbons,reconstructed,sala d ercole,bourbons,reconstructed,sala d ercole,tier1_exact,1.0
main street tunnel,carrying,niagara road 27,main street tunnel,carrying,niagara road 27,tier1_exact,1.0
pac bulletins,widely distributed,these meetings,pac bulletins,widely distributed,these meetings,tier1_exact,1.0
river stour trust,formed,1968,river stour trust,formed,1968,tier1_exact,1.0
sas,killed,irish national liberation army members,sas,killed,irish national liberation army members,tier1_exact,1.0
triple baseball national championship game,established,2006,triple baseball national championship game,established,2006,tier1_exact,1.0
wilbur cross highway,ended,sturbridge,wilbur cross highway,ended,sturbridge,tier1_exact,1.0
charleston courier,founded,1803,charleston courier,founded,1803,tier1_exact,1.0
charleston daily news,founded,1865,charleston daily news,founded,1865,tier1_exact,1.0
album,produced by,roy thomas baker,album,produced by,roy thomas baker,tier1_exact,1.0
album,would,self released,album,would,self released,tier1_exact,1.0
city,founded by,western town lot company,city,founded by,western town lot company,tier1_exact,1.0
community,served by,united states postal service hinsdale post office,community,served by,united states postal service hinsdale post office,tier1_exact,1.0
prefecture apostolic hpyeng yang,renamed as,prefecture apostolic peng yang,prefecture apostolic hpyeng yang,renamed as,prefecture apostolic peng yang,tier1_exact,1.0
philosophical society australasia,folded,1822,philosophical society australasia,folded,1822,tier1_exact,1.0
overall result,would be decided,aggregate,overall result,would be decided,aggregate,tier1_exact,1.0
group,played,tokyo,group,played,tokyo,tier1_exact,1.0
group,played,osaka,group,played,osaka,tier1_exact,1.0
group,played,fukuoka,group,played,fukuoka,tier1_exact,1.0
group,played,jakarta,group,played,jakarta,tier1_exact,1.0
group,played,manila,group,played,manila,tier1_exact,1.0
group,played,singapore,group,played,singapore,tier1_exact,1.0
group,played,guam,group,played,guam,tier1_exact,1.0
magnet,rotates,external gauge,magnet,rotates,external gauge,tier1_exact,1.0
opening credits sequence collection,directed by,hanada daizaburo,opening credits sequence collection,directed by,hanada daizaburo,tier1_exact,1.0
rest group,reach,small shop,rest group,reach,small shop,tier1_exact,1.0
crocodile,devours,annabelle,crocodile,devours,annabelle,tier1_exact,1.0
riders,climbed,off,riders,climbed,off,tier1_exact,1.0
second,titled,consider her ways,second,titled,consider her ways,tier1_exact,1.0
site,consists of,three subterranean grotto follies,site,consists of,three subterranean grotto follies,tier1_exact,1.0
youth hostel,closed,october 2008,youth hostel,closed,october 2008,tier1_exact,1.0
these orientations,allow,easy movement,these orientations,allow,easy movement,tier1_exact,1.0
these orientations,allow,degrees freedom,these orientations,allow,degrees freedom,tier1_exact,1.0
engine,equipped with,electronically controlled carburetor,engine,equipped with,electronically controlled carburetor,tier1_exact,1.0
line,extended,prahran malvern tramways trust,line,extended,prahran malvern tramways trust,tier1_exact,1.0
line,extended,hawthorn road,line,extended,hawthorn road,tier1_exact,1.0
pascalina,organized,magazzino,pascalina,organized,magazzino,tier1_exact,1.0
pascalina,led,magazzino,pascalina,led,magazzino,tier1_exact,1.0
he,not,figure authority,he,not,figure authority,tier1_exact,1.0
wakeboarding,practiced at,competitive level,wakeboarding,practiced at,competitive level,tier1_exact,1.0
scieszka,painted,apartments,scieszka,painted,apartments,tier1_exact,1.0
greenfish,launched by,electric boat co,greenfish,launched by,electric boat co,tier1_exact,1.0
greenfish,sponsored by,mrs thomas j doyle,greenfish,sponsored by,mrs thomas j doyle,tier1_exact,1.0
it,became,gigantic charity,it,became,gigantic charity,tier1_exact,1.0
cure,topped,online music sales charts,cure,topped,online music sales charts,tier1_exact,1.0
failure perform duty,could leads to,prosecution law,failure perform duty,could lead to,prosecution law,tier2_semantic,0.9986
residue,can be strained,through cheesecloth lined sieve,residue,can be strained through,cheesecloth lined sieve,tier2_semantic,0.9956
siddal,may have suffered,poisoning,siddal,may have suffered from,poisoning,tier2_semantic,0.9943
vaccinations,against,other viral diseases,vaccinations,against other,viral diseases,tier2_semantic,0.9941
practice,can results in,hyperinflation,practice,can result in,hyperinflation,tier2_semantic,0.9926
matthew rick,known as,shady backflash,matthew rick,also known as,shady backflash,tier2_semantic,0.9922
missionaries sacred heart,connected with,definition dogma immaculate conception b v m,missionaries sacred heart,closely connected with,definition dogma immaculate conception b v m,tier2_semantic,0.9922
news courier,bought by,owners charleston s main evening paper evening post,news courier,bought by,owners charleston s main evening paper,tier2_semantic,0.9912
henry stephens,became,famous inventor,henry stephens,became a,famous inventor,tier2_semantic,0.9903
latchford viaduct,deemed,too expensive make extensive repairs,latchford viaduct,deemed,too expensive make extensive repairs keep operational,tier2_semantic,0.9899
she,became,ill,she,became,very ill,tier2_semantic,0.9885
lehi terrorist group,sought,italian recognition,lehi terrorist group,sought to obtain,italian recognition,tier2_semantic,0.9885
she,promoted,section officer,she,promoted to,section officer,tier2_semantic,0.9883
microbe,can not survive,outside narrow ph range,microbe,can not survive outside,narrow ph range,tier2_semantic,0.9883
residue,can be reprocessed,more dripping,residue,can be reprocessed for,more dripping,tier2_semantic,0.9875
cyprinidae,been affected,southwestern north america,cyprinidae,been severely affected,southwestern north america,tier2_semantic,0.9868
university,banned,smoking any its property,university,banned smoking,any its property,tier2_semantic,0.9866
their mission,lasted,limited period,their mission,lasted for,limited period,tier2_semantic,0.9865
font,contains,index manicle signs,font,contains,index signs,tier2_semantic,0.9863
stewart,won,last major championship,stewart,won,his last major championship,tier2_semantic,0.9862
he,sworn,privy council ireland,he,sworn of,privy council ireland,tier2_semantic,0.9858
spirits,believe,humans are invaders,spirits,believe that,humans are invaders,tier2_semantic,0.9853
keibler,asked,time off,keibler,asked for,time off,tier2_semantic,0.9853
burnham,died,heart failure,burnham,died of,heart failure,tier2_semantic,0.9851
town,served by,somerset dorset railway,town,served by,station somerset dorset railway,tier2_semantic,0.9845
lead single,holds,same name,lead single,holds the same,name,tier2_semantic,0.9841
railways,administered by,midland railway london south western railway companies,railways,administered by,midland railway london south western railway companies great western railway,tier2_semantic,0.9839
it,can be represented by,integer notation,it,can hence be represented by,integer notation,tier2_semantic,0.9838
term,can be applied to,vessel,term,can be applied to,any vessel,tier2_semantic,0.983
lady mary wortley montagu,encountered,resistance,lady mary wortley montagu,encountered,considerable resistance,tier2_semantic,0.9825
men,compete,separate categories,men,compete in,separate categories,tier2_semantic,0.9825
clathrate like baskets,surrounding,hydrophobic particles,clathrate like baskets,surrounding,such hydrophobic particles,tier2_semantic,0.9823
german english academy,founded,group milwaukee german americans,german english academy,founded by,group milwaukee german americans,tier2_semantic,0.9822
alvarez,reunited with,family,alvarez,reunited with,his family,tier2_semantic,0.9822
lodge,may is open,mid may mid october,lodge,open,mid may mid october,tier2_semantic,0.9807
shea,born,september 5 1900,shea,born on,september 5 1900,tier2_semantic,0.9803
his caucus,elected,watson,watson,elected by,his caucus,tier2_semantic,0.9802
school,founded,german english academy,school,founded as,german english academy,tier2_semantic,0.9802
summer programs office,runs,programs,summer programs office,runs,these programs,tier2_semantic,0.9797
she,died,heart attack,she,died of,heart attack,tier2_semantic,0.9795
mothra,accompanied,two cosmos,mothra,accompanied by,two cosmos,tier2_semantic,0.9794
women,compete,separate categories,women,compete in,separate categories,tier2_semantic,0.9794
lead single,differs,tiger jk s past releases,lead single,differs from,tiger jk s past releases,tier2_semantic,0.9793
aura spacecraft,a mass of,1 765 kg,aura spacecraft,a mass of,about 1 765 kg,tier2_semantic,0.979
charles city,abandoned,trackage,remaining trackage,abandoned,charles city,tier2_semantic,0.9784
least one model,produced,february 1993,least one model,being produced,february 1993,tier2_semantic,0.9782
hill corps,consisted of,pablo morillo s spanish division,hill corps,usually consisted of,pablo morillo s spanish division,tier2_semantic,0.9782
she,died,october 1915,she,died in,october 1915,tier2_semantic,0.9778
he,made,practical inventions,he,made,several practical inventions,tier2_semantic,0.9778
high court judges,referred to as,honourable mr mrs justice smith,high court judges,therefore referred to as,honourable mr mrs justice smith,tier2_semantic,0.9778
1h nmr spectra,can be acquired,16 repeats,good 1h nmr spectra,can be acquired with,16 repeats,tier2_semantic,0.9776
sas,killed,provisional irish republican army,sas,killed,provisional irish republican army members,tier2_semantic,0.9774
hill corps,consisted of,portuguese division,hill corps,usually consisted of,portuguese division,tier2_semantic,0.9774
sligo,became,incorporated municipal borough,sligo town,became,incorporated municipal borough,tier2_semantic,0.977
brady,attempts,phone sheriff,brady,attempts to phone,sheriff,tier2_semantic,0.9769
hoechst 33342,exhibits,10 fold greater cell permeability,hoechst 33342,exhibits,10 fold greater cell permeability h 33258,tier2_semantic,0.9766
she,relocates,florida,she,relocates to,florida,tier2_semantic,0.9766
he,took,124 wickets,he,also took,124 wickets,tier2_semantic,0.9766
li hongzhi,may taught,falun gong exercises,li hongzhi,taught,falun gong exercises,tier2_semantic,0.9765
tyabb airport,been operating,more thirty years,tyabb airport,been operating for,more thirty years,tier2_semantic,0.9765
building,occupied,united states high commissioner germany,united states high commissioner germany his staff,occupied,building,tier2_semantic,0.9764
character,notes,practical difficulties,character,notes,some practical difficulties,tier2_semantic,0.9764
shea,born in,san francisco,shea,born in,san francisco california,tier2_semantic,0.9763
original limited artist edition,published,1989,original limited artist edition 250,published,1989,tier2_semantic,0.9762
oilseed radish,can be used for,increase soil fertility,oilseed radish,can be grown to increase,soil fertility,tier2_semantic,0.9758
hazelwood,came through,invasion,hazelwood,came through untouched,invasion,tier2_semantic,0.9757
algeciras conference,solved,first moroccan crisis,algeciras conference,temporarily solved,first moroccan crisis,tier2_semantic,0.9756
2006 ram srt 10,came in,brilliant black crystal clear coat,redesigned 2006 ram srt 10,came in,brilliant black crystal clear coat,tier2_semantic,0.9749
stations,called,midsomer norton welton,stations,both called,midsomer norton welton,tier2_semantic,0.9746
latchford viaduct,closed,all traffic,latchford viaduct,finally closed to,all traffic,tier2_semantic,0.9746
kim,graduated,ballard high school,kim,graduated from,ballard high school,tier2_semantic,0.9745
alpha serpentis,marks,snake s heart,alpha serpentis,marks,snake s heart serpens,tier2_semantic,0.974
nc 111,diverges,greenwood boulevard,nc 111,diverges on,greenwood boulevard,tier2_semantic,0.9737
depauw university,awarded,doctor divinity,depauw university,awarded,degree doctor divinity,tier2_semantic,0.9736
cafeteria,located,sixth floor,cafeteria,also located,sixth floor,tier2_semantic,0.9735
bromodeoxyuridine,used to,detect dividing cells,hoechst,used to detect dividing cells,bromodeoxyuridine,tier2_semantic,0.9735
2006 ram srt 10,came in,mineral gray metallic,redesigned 2006 ram srt 10,came in,mineral gray metallic,tier2_semantic,0.9734
she,appeared in,television films,she,appeared in,two television films,tier2_semantic,0.973
mutation,gives,superhuman strength,mutation,gives him,superhuman strength,tier2_semantic,0.9726
hill corps,consisted of,william stewart s 2nd division,hill corps,usually consisted of,william stewart s 2nd division,tier2_semantic,0.9724
he,held,attorney general,he,held,post attorney general,tier2_semantic,0.9724
li hongzhi,may gave,lectures,li hongzhi,gave,lectures,tier2_semantic,0.9724
they,known as,northern territories,they,also known as,northern territories,tier2_semantic,0.9723
commissioners,supervise,providers,commissioners,would supervise,providers,tier2_semantic,0.9718
interpretations,become,more inward spiritual,interpretations,become more,spiritual,tier2_semantic,0.9717
she,served,nrotc units,she,served occasionally for,nrotc units,tier2_semantic,0.9716
weapons,do not influence,other racers,weapons,do not influence at all,other racers,tier2_semantic,0.9715
john cecil masterman,chairman,twenty committee,john cecil masterman,chairman of,twenty committee,tier2_semantic,0.9715
simpson,surrendered,police,simpson,surrendered to,police,tier2_semantic,0.9713
division,may maintained,defensive positions,division,maintained,defensive positions,tier2_semantic,0.9712
he,re elected,u s senator,he,re elected,senator,tier2_semantic,0.9712
programs,created,non profits,programs,created by,non profits,tier2_semantic,0.9711
chevalier,fulfilled,promise,chevalier,fulfilled,his promise,tier2_semantic,0.9708
beast,can outperform,olympic level athlete,beast,can outperform,any olympic level athlete,tier2_semantic,0.9707
cabinet secretaries,can be classified using,title,cabinet secretaries,classified using,title,tier2_semantic,0.9706
hapoel lod,played,top division,hapoel lod,played in,top division,tier2_semantic,0.9702
flemish region,assigned,powers,flemish region,assigned,all its powers,tier2_semantic,0.9698
employees both companies,work,together,employees both companies,will work,together,tier2_semantic,0.9698
steinbrenner family,added,monument,steinbrenner family,added,monument honor steinbrenner,tier2_semantic,0.9698
commissioners,supervise,merchants,commissioners,would supervise,merchants,tier2_semantic,0.9697
stuart pretenders,aided,britain s continental enemies,stuart pretenders,aided for,britain s continental enemies own ends,tier2_semantic,0.9697
division,may broke out of,beachhead,division,broke out of,beachhead,tier2_semantic,0.9695
knievel,broke,arms,knievel,broke,his arms,tier2_semantic,0.9693
it,served with,homemade tauhu,it,best served with,homemade tauhu,tier2_semantic,0.9691
charleston courier,merged,charleston daily news,charleston courier charleston daily news,merged to form,news courier,tier2_semantic,0.9687
slave,might,fear cruel capricious master,slave,might fear,capricious master,tier2_semantic,0.9686
film,uses,computer generated graphics,film,uses,some computer generated graphics,tier2_semantic,0.9686
