pred_s,pred_p,pred_o,gt_s,gt_p,gt_o,tier,triple_sim
july 1985,closed,latchford viaduct,,,,no_match,0.0
300 soldiers,defeat,several attacks,,,,no_match,0.0
300 soldiers,to,reinforce hotel,,,,no_match,0.0
he,appears,issues,,,,no_match,0.0
he,appears,series,,,,no_match,0.0
speranskaya,worked,kazan dolls theatre,,,,no_match,0.0
april 13,1987,occurred iowa terminal railroad,,,,no_match,0.0
iowa terminal railroad,sold,april 13 1987,,,,no_match,0.0
1981,occurred,year,,,,no_match,0.0
pair,developed,idea,,,,no_match,0.0
pair,decided,running workshops,,,,no_match,0.0
club,ranked,sixth,,,,no_match,0.0
arrangements,made for,mid august performances 1944,,,,no_match,0.0
arrangements,made for,performances,,,,no_match,0.0
arrangements,made for,1944 performances,,,,no_match,0.0
arrangements,made,performances,,,,no_match,0.0
arrangements,made,august,,,,no_match,0.0
arrangements,made,mid august,,,,no_match,0.0
joseph goebbels,declared,war,,,,no_match,0.0
joseph goebbels,closed,all theatres,,,,no_match,0.0
joseph goebbels,closed,theatres,,,,no_match,0.0
joseph goebbels,closed,all,,,,no_match,0.0
joseph goebbels,closed,third reich,,,,no_match,0.0
joseph goebbels,declared,total,,,,no_match,0.0
joseph goebbels,declared,war total,,,,no_match,0.0
joseph goebbels,closed,theatres within,,,,no_match,0.0
joseph goebbels,closed,third reich theatres within,,,,no_match,0.0
michael,plans,leaving,,,,no_match,0.0
michael,goes,rival company,,,,no_match,0.0
bond,forced,graves out,,,,no_match,0.0
bond,a disagreement,sam graves,,,,no_match,0.0
sam graves,involved in a disagreement,bond,,,,no_match,0.0
he,earned,nickname,,,,no_match,0.0
xm,suspended,service,,,,no_match,0.0
subscribers,called,complaints,,,,no_match,0.0
subscribers,received,free month service,,,,no_match,0.0
first,occurred,may 26,,,,no_match,0.0
first,occurred,1994,,,,no_match,0.0
first,magnitude,6 0,,,,no_match,0.0
first,occurred,may,,,,no_match,0.0
federal trade commission,investigated,late 1995,,,,no_match,0.0
first moroccan crisis,worsened,tensions,,,,no_match,0.0
end,of,experiment,,,,no_match,0.0
blackburne,statement,would not tolerate refusal ratify appointment,,,,no_match,0.0
blackburne,would not tolerate,refusal ratify appointment,,,,no_match,0.0
blackburne,would,wield influence,,,,no_match,0.0
influence,can,wielded,,,,no_match,0.0
robin,work,partners,,,,no_match,0.0
robin,work,stephanie,,,,no_match,0.0
ariana,work,partners,,,,no_match,0.0
ariana,work,robin,,,,no_match,0.0
ariana,see,robin,,,,no_match,0.0
robin,grow,closer,,,,no_match,0.0
stephanie,grow,closer,,,,no_match,0.0
agen,begins,1943 season,,,,no_match,0.0
1943 season,starts,agen,,,,no_match,0.0
agen,defeats,stade bordelais,,,,no_match,0.0
coupe de france,won by,agen,,,,no_match,0.0
conte quinto mazzolini,undertook,negotiations,,,,no_match,0.0
conte quinto mazzolini,sought,italian recognition,,,,no_match,0.0
conte quinto mazzolini,sought,recognition jewish sovereignty palestine,,,,no_match,0.0
lehi terrorist group,sought,recognition jewish sovereignty palestine,,,,no_match,0.0
first volume,contains,noh,,,,no_match,0.0
series,volume,first,,,,no_match,0.0
university gothenburg,proposed,plans,,,,no_match,0.0
inocean ab,proposed,plans,,,,no_match,0.0
overseas teams,return,moscow,,,,no_match,0.0
russia,would not return,overseas teams,,,,no_match,0.0
he,ran,for,,,,no_match,0.0
he,ran,four times,,,,no_match,0.0
speaker rhode island house representatives,for,four times,,,,no_match,0.0
u2,opened for,they,,,,no_match,0.0
they,retained,loyal following,,,,no_match,0.0
they,became,popular,,,,no_match,0.0
performance,received,well,,,,no_match,0.0
ruby hunter,and,archie roach,,,,no_match,0.0
these skills,proven,readily,,,,no_match,0.0
squadrons,mobilized,back active duty,,,,no_match,0.0
personnel,mobilized,back active duty,,,,no_match,0.0
shaftesbury,worried,something,,,,no_match,0.0
something,worried,shaftesbury,,,,no_match,0.0
gladiators,developed,british version,,,,no_match,0.0
mouse,jump,bounds,,,,no_match,0.0
john crozier jr,began,building,,,,no_match,0.0
john crozier jr,began,building 1890s,,,,no_match,0.0
john crozier jr,in,grainger county,,,,no_match,0.0
john crozier jr,before,he could complete it,,,,no_match,0.0
fractional quantum hall effect,continues,be influential,,,,no_match,0.0
theories,continue,be about,,,,no_match,0.0
statue,behind,national archives canada,,,,no_match,0.0
mackenzie king,erected,statue,,,,no_match,0.0
delegate,propose,amendment,,,,no_match,0.0
motion,trigger,review,,,,no_match,0.0
scotland,a part of,england,,,,no_match,0.0
house stewart,led,uprisings,,,,no_match,0.0
uprisings,occurred,england,,,,no_match,0.0
uprisings,occurred,scotland,,,,no_match,0.0
portion,cuts,smaller pieces,,,,no_match,0.0
portion,cut,smaller pieces,,,,no_match,0.0
he,died,suddenly,,,,no_match,0.0
he,gave,speech chicago,,,,no_match,0.0
they,point,tok pisin,,,,no_match,0.0
bill dimovski,adopted,policy,,,,no_match,0.0
club,promotes,talent,,,,no_match,0.0
she,received,master degree,,,,no_match,0.0
i i t madras,awarded,ph d degree,,,,no_match,0.0
department aerospace engineering,awarded,ph d degree,,,,no_match,0.0
grants,of,shape,,,,no_match,0.0
vessel,turning turtle,is less frequent,,,,no_match,0.0
ships,turning turtle,is less frequent,,,,no_match,0.0
ships,turning turtle,is more dangerous,,,,no_match,0.0
smaller boats,turning turtle,is less frequent,,,,no_match,0.0
smaller boats,turning turtle,is more dangerous,,,,no_match,0.0
method,relies,heavily,,,,no_match,0.0
method,seeks,show,,,,no_match,0.0
method,seeks,evidence,,,,no_match,0.0
his christian beliefs,fit,best,,,,no_match,0.0
objects,contribute,significantly,,,,no_match,0.0
objects,do not,contribute,,,,no_match,0.0
he,won,medal,,,,no_match,0.0
he,won,6th european championships,,,,no_match,0.0
he,won,european championships,,,,no_match,0.0
he,won,1958,,,,no_match,0.0
reaction,produces,r enantiomer,,,,no_match,0.0
reaction,produces,s enantiomer,,,,no_match,0.0
r enantiomer,not,medicinally desirable,,,,no_match,0.0
united states high commissioner germany,staff,building,,,,no_match,0.0
building,occupied,staff,,,,no_match,0.0
staff,occupied,building,,,,no_match,0.0
united states high commissioner germany,in,building,,,,no_match,0.0
building,in,united states high commissioner germany,,,,no_match,0.0
united states high commissioner germany,stayed,building,,,,no_match,0.0
united states high commissioner germany,resided,building,,,,no_match,0.0
building,resided,united states high commissioner germany,,,,no_match,0.0
united states high commissioner germany,occupied,1949,,,,no_match,0.0
united states high commissioner germany,occupied,1952,,,,no_match,0.0
building,occupied,1949,,,,no_match,0.0
building,occupied,1952,,,,no_match,0.0
united states high commissioner germany,stayed from,1949,,,,no_match,0.0
united states high commissioner germany,stayed until,1952,,,,no_match,0.0
building,stayed from,1949,,,,no_match,0.0
building,stayed until,1952,,,,no_match,0.0
legislation,provides,surviving family members,,,,no_match,0.0
legislation,provides,police,,,,no_match,0.0
legislation,provides,firefighters,,,,no_match,0.0
legislation,provides,emergency services workers,,,,no_match,0.0
legislation,provides,death line duty,,,,no_match,0.0
legislation,removes,death benefits,,,,no_match,0.0
legislation,removes,spouses,,,,no_match,0.0
legislation,removes,police officers,,,,no_match,0.0
legislation,removes,firefighters,,,,no_match,0.0
legislation,removes,killed while serving public good,,,,no_match,0.0
surface,nature,ionic,,,,no_match,0.0
surface,nature,polar,,,,no_match,0.0
water molecules,stand,upright,,,,no_match,0.0
water molecules,stand,on,,,,no_match,0.0
they,acquired,december 31 1963,,,,no_match,0.0
they,acquired,charles city western december 31 1963,,,,no_match,0.0
he,born,to,,,,no_match,0.0
power cepstrum,of,signal,,,,no_match,0.0
fourier transform,of,signal,,,,no_match,0.0
logarithm,of,squared magnitude,,,,no_match,0.0
inverse,of,fourier transform,,,,no_match,0.0
he,sold to,kardex rand,,,,no_match,0.0
british army,shown,overstretched,,,,no_match,0.0
honourable east india company,lost,responsibility,,,,no_match,0.0
community empowerment networks,consist of,local community,,,,no_match,0.0
central government,initiates,community empowerment networks,,,,no_match,0.0
community empowerment networks,set up,part,,,,no_match,0.0
community empowerment networks,set up,initiative,,,,no_match,0.0
community empowerment networks,foster,community involvement,,,,no_match,0.0
community empowerment networks,foster,regeneration,,,,no_match,0.0
mark,made,announcement,,,,no_match,0.0
mark,present,drive time,,,,no_match,0.0
mark,present,marisa,,,,no_match,0.0
marisa,present,drive time,,,,no_match,0.0
mark,made,announcement live,,,,no_match,0.0
mark,made,announcement air,,,,no_match,0.0
mark,made,announcement 5 20 pm gmt,,,,no_match,0.0
drive time,present,marisa,,,,no_match,0.0
announcement,made,live,,,,no_match,0.0
announcement,made,air,,,,no_match,0.0
announcement,made,5 20 pm gmt,,,,no_match,0.0
staff,informed,24 hours earlier,,,,no_match,0.0
staff,informed,23 december,,,,no_match,0.0
staff,informed,of,,,,no_match,0.0
staff,informed,decision,,,,no_match,0.0
decision,made,24 hours earlier,,,,no_match,0.0
decision,made,5pm,,,,no_match,0.0
decision,made,23 december,,,,no_match,0.0
davis,worked with,dakar,,,,no_match,0.0
dakar,employed,davis,,,,no_match,0.0
davis,produced,singles,,,,no_match,0.0
davis,released,big r b sellers,,,,no_match,0.0
waist line,became,longer,,,,no_match,0.0
thomas,became,regular,,,,no_match,0.0
thomas,made,his debut,,,,no_match,0.0
thomas,made,debut,,,,no_match,0.0
thomas,made,league debut,,,,no_match,0.0
thomas,made,debut 14 february 1987,,,,no_match,0.0
thomas,made,debut 1 1 draw,,,,no_match,0.0
thomas,made,debut hillsborough,,,,no_match,0.0
arsenal,became,team,,,,no_match,0.0
arsenal,became,arsenal side,,,,no_match,0.0
arsenal,became,arsenal,,,,no_match,0.0
arsenal,became,the,,,,no_match,0.0
arsenal,became,a,,,,no_match,0.0
arsenal,became,side 14 february 1987,,,,no_match,0.0
arsenal,became,side 1 1 draw,,,,no_match,0.0
arsenal,became,side sheffield wednesday,,,,no_match,0.0
arsenal,became,side hillsborough,,,,no_match,0.0
arsenal,became,side 14 february 1987 1 1 draw,,,,no_match,0.0
arsenal,became,side sheffield wednesday hillsborough,,,,no_match,0.0
arsenal,became,side 14 february 1987 hillsborough,,,,no_match,0.0
arsenal,became,side 1 1 draw sheffield wednesday,,,,no_match,0.0
caro,trying to organise,exhibition,,,,no_match,0.0
robert loder,met,caro,,,,no_match,0.0
caro,trying to,organise,,,,no_match,0.0
exhibition,in,south african townships,,,,no_match,0.0
alpha serpentis,of,spectral type k2iii,,,,no_match,0.0
alpha serpentis,located,approximately away,,,,no_match,0.0
shaftesbury,support,resolution,,,,no_match,0.0
rebellions,crushed,battle culloden,,,,no_match,0.0
two year programs,offered,in,,,,no_match,0.0
three year programs,offered,in,,,,no_match,0.0
two year programs,offered,through,,,,no_match,0.0
three year programs,offered,through,,,,no_match,0.0
two year programs,offered,various fields,,,,no_match,0.0
two year programs,offered,through divisions,,,,no_match,0.0
three year programs,offered,through divisions,,,,no_match,0.0
two year programs,offered,divisions,,,,no_match,0.0
three year programs,offered,divisions,,,,no_match,0.0
two year programs,offered,games animation,,,,no_match,0.0
three year programs,offered,games animation,,,,no_match,0.0
two year programs,offered,industrial design,,,,no_match,0.0
three year programs,offered,industrial design,,,,no_match,0.0
two year programs,offered,performing arts,,,,no_match,0.0
three year programs,offered,performing arts,,,,no_match,0.0
two year programs,offered,information communications,,,,no_match,0.0
three year programs,offered,information communications,,,,no_match,0.0
two year programs,offered,human care,,,,no_match,0.0
three year programs,offered,human care,,,,no_match,0.0
pete,suggests,taking,,,,no_match,0.0
pete,suggests,check,,,,no_match,0.0
pete,takes,blood sample,,,,no_match,0.0
pete,takes,check,,,,no_match,0.0
bsa,gave,local councils,,,,no_match,0.0
local councils,the power,segregate,,,,no_match,0.0
1914,the year,in,,,,no_match,0.0
bsa,gave,power,,,,no_match,0.0
african americans,segregated,local councils,,,,no_match,0.0
white scouts,not segregated,local councils,,,,no_match,0.0
11 million copies,distributed,via,,,,no_match,0.0
11 million copies,distributed,85 newspaper distribution chain,,,,no_match,0.0
public,distributed to,11 million copies,,,,no_match,0.0
85 newspaper distribution chain,used for,distributing,,,,no_match,0.0
85 newspaper distribution chain,distributed,11 million copies,,,,no_match,0.0
process,accelerates,esperanto,,,,no_match,0.0
process,accelerates,ease,,,,no_match,0.0
jiaxing north bus station,serves,city,,,,no_match,0.0
its bus operations,merged with,suomen turistiauto,,,,no_match,0.0
its bus operations,formed,helsingin bussiliikenne,,,,no_match,0.0
helsingin bussiliikenne,formed,its bus operations,,,,no_match,0.0
helsingin bussiliikenne,formed,suomen turistiauto,,,,no_match,0.0
circular world map,measuring,circumference,,,,no_match,0.0
americans,consider,new york city,,,,no_match,0.0
europeans,consider,new york city,,,,no_match,0.0
his body,laid to rest,at,,,,no_match,0.0
his body,laid to rest,llanwynno forestry,,,,no_match,0.0
alvarez,reunited with,his,,,,no_match,0.0
building,transformation,1885,,,,no_match,0.0
el camino high school,offers,recommended courses,,,,no_match,0.0
university california,specifies,minimum level academic preparation,,,,no_match,0.0
university california,specifies,level academic preparation,,,,no_match,0.0
university california,illustrates,minimum level academic preparation,,,,no_match,0.0
university california,illustrates,level academic preparation,,,,no_match,0.0
students,ought to achieve,level academic preparation,,,,no_match,0.0
students,undertake,university level work,,,,no_match,0.0
syria,regained,mount hermon,,,,no_match,0.0
october 6,1973,is date,,,,no_match,0.0
october 6,1973,is day,,,,no_match,0.0
october 6,1973,is first day,,,,no_match,0.0
first battle mount hermon,occurred,october 6 1973,,,,no_match,0.0
callaghan,made,decision,,,,no_match,0.0
decision,relate,praise,,,,no_match,0.0
decision,receive,praise,,,,no_match,0.0
funeral,take,place,,,,no_match,0.0
missouri,host,memorial service,,,,no_match,0.0
time,of,memorial service,,,,no_match,0.0
he,chosen,chief justice,,,,no_match,0.0
he,chosen,court queen s bench,,,,no_match,0.0
he,chosen,queen s bench,,,,no_match,0.0
he,chosen,chief justice court,,,,no_match,0.0
british,capture,madrid,,,,no_match,0.0
hill,responsibility for,army,,,,no_match,0.0
hill,responsible for,army,,,,no_match,0.0
attack squadron 209,part of,carrier air wing reserve twenty,,,,no_match,0.0
attack squadron 725,until,1970,,,,no_match,0.0
attack squadron 209,from,1970,,,,no_match,0.0
passengers,should change,at,,,,no_match,0.0
passengers,change,at,,,,no_match,0.0
passengers,change,during,,,,no_match,0.0
passengers,change,off peak,,,,no_match,0.0
passenger services,terminated,31 december 1954,,,,no_match,0.0
sikorsky,say,that,,,,no_match,0.0
sikorsky,say,factors,,,,no_match,0.0
sikorsky,say,requirement creep,,,,no_match,0.0
sikorsky,say,long development period,,,,no_match,0.0
boeing,say,factors,,,,no_match,0.0
boeing,say,requirement creep,,,,no_match,0.0
boeing,say,long development period,,,,no_match,0.0
factors,cause,problems,,,,no_match,0.0
decade end recap,ranked,album,,,,no_match,0.0
decade end recap,placed,album,,,,no_match,0.0
decade end recap,placed,thirty second,,,,no_match,0.0
decade end recap,placed,twelfth,,,,no_match,0.0
video concert hall,ran,daily,,,,no_match,0.0
video concert hall,ran,on,,,,no_match,0.0
video concert hall,ran,from,,,,no_match,0.0
video concert hall,ran,to,,,,no_match,0.0
video concert hall,ran,1981,,,,no_match,0.0
video concert hall,appeared,on,,,,no_match,0.0
video concert hall,appeared,daytime,,,,no_match,0.0
video concert hall,appeared,late night,,,,no_match,0.0
video concert hall,appeared,early evening,,,,no_match,0.0
video concert hall,appeared,one,,,,no_match,0.0
video concert hall,appeared,four,,,,no_match,0.0
district,provides,services,,,,no_match,0.0
district,provides,many non residents,,,,no_match,0.0
district,provides,non residents,,,,no_match,0.0
district,provides,fee basis,,,,no_match,0.0
district,provides,basis,,,,no_match,0.0
district,provides,fee,,,,no_match,0.0
district,provides,leisure,,,,no_match,0.0
district,provides,many,,,,no_match,0.0
area,provides,recreation leisure services,,,,no_match,0.0
area,provides,services,,,,no_match,0.0
area,provides,basis,,,,no_match,0.0
area,provides,fee,,,,no_match,0.0
area,provides,recreation,,,,no_match,0.0
area,provides,leisure,,,,no_match,0.0
district,to,many non residents,,,,no_match,0.0
district,to,non residents,,,,no_match,0.0
district,on,fee basis,,,,no_match,0.0
district,on,fee,,,,no_match,0.0
lodge,supports,council activities,,,,no_match,0.0
she,works,new york,,,,no_match,0.0
wesley,works,new york,,,,no_match,0.0
brumbies,won,game,,,,no_match,0.0
canberra stadium,hosted,game,,,,no_match,0.0
canberra stadium,hosted,crowd,,,,no_match,0.0
record crowd,attended,game,,,,no_match,0.0
record crowd,attended,canberra stadium,,,,no_match,0.0
dangaioh,characters,characters,,,,no_match,0.0
dangaioh,mecha,mecha,,,,no_match,0.0
dangaioh,storyline elements,storyline elements,,,,no_match,0.0
banpresto,uses,dangaioh,,,,no_match,0.0
dangaioh,used by,banpresto,,,,no_match,0.0
characters,appears in,super robot wars,,,,no_match,0.0
storyline elements,appears in,super robot wars,,,,no_match,0.0
275,belongs to,roman catholic,,,,no_match,0.0
275,belongs to,swiss reformed church,,,,no_match,0.0
26 1,represents,roman catholic,,,,no_match,0.0
porter,wrote,1980,,,,no_match,0.0
porter,wrote,that,,,,no_match,0.0
strategy,target,focus,,,,no_match,0.0
smith waterman,used for,results,,,,no_match,0.0
tuqiri,named,australian squad,,,,no_match,0.0
tuqiri,selected,four nations,,,,no_match,0.0
it,contains,two males,,,,no_match,0.0
it,contains,dozen so females,,,,no_match,0.0
continuous capacity building,organizes,workshops,,,,no_match,0.0
continuous capacity building,organizes,conferences,,,,no_match,0.0
continuous capacity building,for,enhancement skills,,,,no_match,0.0
faculty,receives,training sessions,,,,no_match,0.0
faculty,receives,workshops,,,,no_match,0.0
faculty,receives,conferences,,,,no_match,0.0
staff,receives,workshops,,,,no_match,0.0
m phil phd students,receives,training sessions,,,,no_match,0.0
m phil phd students,receives,conferences,,,,no_match,0.0
campuses,hosts,training sessions,,,,no_match,0.0
campuses,hosts,workshops,,,,no_match,0.0
campuses,hosts,conferences,,,,no_match,0.0
peter bywaters,offers,live basis,,,,no_match,0.0
peter bywaters,offers,tuition,,,,no_match,0.0
peter bywaters,offers,his home,,,,no_match,0.0
peter bywaters,offers,brighton,,,,no_match,0.0
peter bywaters,offers,personal english second language tuition live basis,,,,no_match,0.0
peter bywaters,offers,personal english second language tuition his home,,,,no_match,0.0
peter bywaters,offers,personal english second language tuition his home brighton,,,,no_match,0.0
peter bywaters,offers,personal english second language tuition live basis his home,,,,no_match,0.0
peter bywaters,offers,personal english second language tuition live basis his home brighton,,,,no_match,0.0
peter bywaters,offers,english second language tuition,,,,no_match,0.0
peter bywaters,offers,english second language tuition live basis,,,,no_match,0.0
peter bywaters,offers,english second language tuition his home,,,,no_match,0.0
peter bywaters,offers,english second language tuition his home brighton,,,,no_match,0.0
peter bywaters,offers,english second language tuition live basis his home,,,,no_match,0.0
peter bywaters,offers,english second language tuition live basis his home brighton,,,,no_match,0.0
peter bywaters,offers,second language tuition,,,,no_match,0.0
peter bywaters,offers,second language tuition live basis,,,,no_match,0.0
peter bywaters,offers,second language tuition his home,,,,no_match,0.0
peter bywaters,offers,second language tuition his home brighton,,,,no_match,0.0
peter bywaters,offers,second language tuition live basis his home,,,,no_match,0.0
peter bywaters,offers,second language tuition live basis his home brighton,,,,no_match,0.0
peter bywaters,offers,language tuition,,,,no_match,0.0
peter bywaters,offers,language tuition live basis,,,,no_match,0.0
peter bywaters,offers,language tuition his home,,,,no_match,0.0
peter bywaters,offers,language tuition his home brighton,,,,no_match,0.0
peter bywaters,offers,language tuition live basis his home,,,,no_match,0.0
peter bywaters,offers,language tuition live basis his home brighton,,,,no_match,0.0
peter bywaters,offers,tuition his home,,,,no_match,0.0
peter bywaters,offers,tuition his home brighton,,,,no_match,0.0
peter bywaters,offers,tuition live basis his home,,,,no_match,0.0
peter bywaters,offers,tuition live basis his home brighton,,,,no_match,0.0
sales flyer,contained,photograph,,,,no_match,0.0
photograph,depicted,playing scrabble,,,,no_match,0.0
boys,used,board game,,,,no_match,0.0
canal de l ourcq,destined,inland navigation,,,,no_match,0.0
his main power,fires,energy,,,,no_match,0.0
dark lord,controls,omega beam,,,,no_match,0.0
rockwell,re designated,mpta 098,,,,no_match,0.0
nasa,re designated,mpta 098,,,,no_match,0.0
maduveya vayasu,from,nanjundi kalyana,,,,no_match,0.0
maduveya vayasu,played,during,,,,no_match,0.0
maduveya vayasu,played,marriages,,,,no_match,0.0
maduveya vayasu,played,for,,,,no_match,0.0
many many years,played,maduveya vayasu,,,,no_match,0.0
maduveya vayasu,played,in,,,,no_match,0.0
kannada,played,maduveya vayasu,,,,no_match,0.0
tourism,came,kabul,,,,no_match,0.0
dangaioh,released,game,,,,no_match,0.0
dangaioh,released,for,,,,no_match,0.0
dangaioh,released,pc 8801,,,,no_match,0.0
dangaioh,released,in,,,,no_match,0.0
dangaioh,released,april 1990,,,,no_match,0.0
