sent_id,Subject,Predicate,Object,sentence,final_decision,pred_has_negation
sent_0061,Arrangements,not were made for,August performances,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Arrangements,not were made for,performances in 1944,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Arrangements,not were made,in 1944,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Arrangements,not were made,performances,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Arrangements,not were made,august,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Arrangements,not were made,mid august,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Joseph Goebbels,not declared,total war,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Joseph Goebbels,not declared,war,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Joseph Goebbels,not closed,all theatres,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Joseph Goebbels,not closed,theatres,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Joseph Goebbels,not closed,theatres within the third reich resulting,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Joseph Goebbels,not closed,all,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Joseph Goebbels,not closed,Third Reich,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Joseph Goebbels,not declared,total,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Joseph Goebbels,not declared,declared total war,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Joseph Goebbels,not closed,theatres within,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Joseph Goebbels,not closed,closed all theatres within the third reich,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Joseph Goebbels,not closed,theatres within the,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,The 20 July plot,not was,to assassinate Hitler,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,The 20 July plot,not was,plot,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,The 20 July plot,not was,to assassinate,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,The 20 July plot,not was,assassinate Hitler,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Hitler,not was,assassinate,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Hitler,not was,the 20 july plot to assassinate,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,Hitler,not was,plot to assassinate,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,The Third Reich,not was,closed,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,The Third Reich,not was,hitler joseph goebbels,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",UNVERIFIED,True
sent_0061,The Third Reich,not was,joseph goebbels,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",UNVERIFIED,True
sent_0061,The Third Reich,not was,closed all theatres,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,The Third Reich,not was,joseph goebbels declared total war and closed,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0061,The Third Reich,not was,closed all theatres,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",REJECT,True
sent_0071,Blackburne,could not has statement,"""would not tolerate a refusal to ratify the appointment""","Blackburne 's statement that he `` would not tolerate a refusal to ratify the appointment '' , is an indication of the influence which could then be wielded by a strong Attorney General .",ACCEPT,True
sent_0071,Blackburne,could would not tolerate,refusal to ratify the appointment,"Blackburne 's statement that he `` would not tolerate a refusal to ratify the appointment '' , is an indication of the influence which could then be wielded by a strong Attorney General .",ACCEPT,True
sent_0071,Blackburne,could not would,the influence,"Blackburne 's statement that he `` would not tolerate a refusal to ratify the appointment '' , is an indication of the influence which could then be wielded by a strong Attorney General .",REJECT,True
sent_0071,influence,not can be,wielded,"Blackburne 's statement that he `` would not tolerate a refusal to ratify the appointment '' , is an indication of the influence which could then be wielded by a strong Attorney General .",REJECT,True
sent_0071,Attorney General,could not is,indication of the influence,"Blackburne 's statement that he `` would not tolerate a refusal to ratify the appointment '' , is an indication of the influence which could then be wielded by a strong Attorney General .",REJECT,True
sent_0073,Robin,unable work,partners,"However , the two sometimes work as partners , and during a point in which Robin and Ariana were unable to see each other , he and Stephanie grow even closer .",REJECT,True
sent_0073,Robin,unable work,Stephanie,"However , the two sometimes work as partners , and during a point in which Robin and Ariana were unable to see each other , he and Stephanie grow even closer .",REJECT,True
sent_0073,Ariana,unable work,partners,"However , the two sometimes work as partners , and during a point in which Robin and Ariana were unable to see each other , he and Stephanie grow even closer .",REJECT,True
sent_0073,Ariana,unable work,Robin,"However , the two sometimes work as partners , and during a point in which Robin and Ariana were unable to see each other , he and Stephanie grow even closer .",REJECT,True
sent_0073,Robin,unable see,Ariana,"However , the two sometimes work as partners , and during a point in which Robin and Ariana were unable to see each other , he and Stephanie grow even closer .",ACCEPT,True
sent_0073,Ariana,unable see,Robin,"However , the two sometimes work as partners , and during a point in which Robin and Ariana were unable to see each other , he and Stephanie grow even closer .",ACCEPT,True
sent_0073,Robin,unable grow,closer,"However , the two sometimes work as partners , and during a point in which Robin and Ariana were unable to see each other , he and Stephanie grow even closer .",REJECT,True
sent_0073,Stephanie,unable grow,closer,"However , the two sometimes work as partners , and during a point in which Robin and Ariana were unable to see each other , he and Stephanie grow even closer .",REJECT,True
sent_0078,Overseas teams,would not return,Russia,"Overseas teams would not return to Russia until 1998 , when a youth tournament was held in Moscow .",REJECT,True
sent_0078,Overseas teams,not return,1998,"Overseas teams would not return to Russia until 1998 , when a youth tournament was held in Moscow .",REJECT,True
sent_0078,Overseas teams,not return,Moscow,"Overseas teams would not return to Russia until 1998 , when a youth tournament was held in Moscow .",REJECT,True
sent_0078,Russia,would not return,Overseas teams,"Overseas teams would not return to Russia until 1998 , when a youth tournament was held in Moscow .",REJECT,True
sent_0078,A youth tournament,not is held,Moscow,"Overseas teams would not return to Russia until 1998 , when a youth tournament was held in Moscow .",REJECT,True
sent_0085,Charles,not prorogued,parliament,"Charles prorogued parliament on 25 June , but the army was not disbanded , which worried Shaftesbury .",REJECT,True
sent_0085,parliament,not was,prorogued,"Charles prorogued parliament on 25 June , but the army was not disbanded , which worried Shaftesbury .",REJECT,True
sent_0085,Charles,not disbanded,the army,"Charles prorogued parliament on 25 June , but the army was not disbanded , which worried Shaftesbury .",ACCEPT,True
sent_0085,the army,not was,not disbanded,"Charles prorogued parliament on 25 June , but the army was not disbanded , which worried Shaftesbury .",ACCEPT,True
sent_0105,objects,not contribute,significantly,"Often , objects are so far away that they do not contribute significantly to the final image .",ACCEPT,True
sent_0105,objects,do not,contribute,"Often , objects are so far away that they do not contribute significantly to the final image .",ACCEPT,True
sent_0105,objects,not be,away,"Often , objects are so far away that they do not contribute significantly to the final image .",REJECT,True
sent_0105,objects,not be,far,"Often , objects are so far away that they do not contribute significantly to the final image .",REJECT,True
sent_0123,patients,not includes,support groups,"For patients who do not recover quickly , the protocol also includes support groups and/or psychotherapy .",REJECT,True
sent_0123,patients,not includes,psychotherapy,"For patients who do not recover quickly , the protocol also includes support groups and/or psychotherapy .",REJECT,True
sent_0124,The narrator,not has,suitcase,"The narrator does not end up being sexually assaulted ; instead , she has grabbed her suitcase and fled the compartment .",REJECT,True
sent_0124,The narrator,not grabbed,suitcase,"The narrator does not end up being sexually assaulted ; instead , she has grabbed her suitcase and fled the compartment .",REJECT,True
sent_0124,The narrator,not fled,compartment,"The narrator does not end up being sexually assaulted ; instead , she has grabbed her suitcase and fled the compartment .",REJECT,True
sent_0124,The narrator,not has,fled,"The narrator does not end up being sexually assaulted ; instead , she has grabbed her suitcase and fled the compartment .",REJECT,True
sent_0142,New York City,not is iconic,Americans,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",REJECT,True
sent_0142,New York City,not is iconic,Europeans,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",REJECT,True
sent_0142,New York City,not is,city,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",REJECT,True
sent_0142,New York City,not is,melting pot,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",REJECT,True
sent_0142,Americans,not consider,New York City,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",REJECT,True
sent_0142,Europeans,not consider,New York City,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",REJECT,True
sent_0142,New York City,not has,ethnic groups,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",REJECT,True
sent_0142,New York City,not has,neighborhoods,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",REJECT,True
sent_0142,New York City,not has,Chinatown,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",REJECT,True
sent_0142,New York City,not has,Little Italy,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",REJECT,True
sent_0144,Ely Cathedral,never has,wooden ceiling,Ely Cathedral was never vaulted and retains a wooden ceiling over the nave .,REJECT,True
sent_0144,Ely Cathedral,never retains,wooden ceiling,Ely Cathedral was never vaulted and retains a wooden ceiling over the nave .,REJECT,True
sent_0144,Ely Cathedral,never has,nave,Ely Cathedral was never vaulted and retains a wooden ceiling over the nave .,REJECT,True
sent_0144,Ely Cathedral,never,vaulted,Ely Cathedral was never vaulted and retains a wooden ceiling over the nave .,ACCEPT,True
sent_0160,Sikorsky,not say,factors,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",REJECT,True
sent_0160,Sikorsky,not say,budget cuts,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",REJECT,True
sent_0160,Sikorsky,not say,requirement creep,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",REJECT,True
sent_0160,Sikorsky,not say,long development period,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",REJECT,True
sent_0160,Boeing,not say,factors,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",REJECT,True
sent_0160,Boeing,not say,budget cuts,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",REJECT,True
sent_0160,Boeing,not say,requirement creep,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",REJECT,True
sent_0160,Boeing,not say,long development period,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",REJECT,True
sent_0160,factors,not cause,problems,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",REJECT,True
sent_0160,requirement creep,not cause,problems,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",REJECT,True
sent_0160,long development period,not cause,problems,"Sikorsky and Boeing say that factors outside their control , like budget cuts , `` requirement creep , '' and a long development period caused problems with the Comanche and not team dysfunctionality .",REJECT,True
sent_0175,Peter Bywaters,not offers,personal English as a second language tuition,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,live-in basis,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,tuition,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,at his home,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,in Brighton,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,at his home in Brighton,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,personal English as a second language tuition on a live-in basis,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,personal english as a second language tuition on,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,personal english as a second language tuition on,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,personal English as a second language tuition on a live-in basis at his home,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,personal English as a second language tuition on a live-in basis at his home in Brighton,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,English as a second language tuition,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,English as a second language tuition on a live-in basis,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,english as a second language tuition on,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,english as a second language tuition on,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,English as a second language tuition on a live-in basis at his home,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,English as a second language tuition on a live-in basis at his home in Brighton,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,second language tuition,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,second language tuition on a live-in basis,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,second language tuition on,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,second language tuition on,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,second language tuition on a live-in basis at his home,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,second language tuition on a live-in basis at his home in Brighton,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,language tuition,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,language tuition on a live-in basis,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,language tuition on,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,at his home in brighton,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,language tuition on a live-in basis at his home,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,language tuition on a live-in basis at his home in Brighton,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,tuition on a live-in basis,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,at his home,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,at his home in brighton,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,Peter Bywaters,not offers,tuition on a live-in basis at his home,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0175,[Peter Bywaters,not offers,tuition on a live-in basis at his home in Brighton,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",REJECT,True
sent_0177,Canal de l'Ourcq,not built,1806,"Centuries later , in 1806 , during the Napoleonic era , was built the Canal de l'Ourcq , destined to the inland navigation when the Marne river is not navigable because of temporary sandbanks .",REJECT,True
sent_0177,Canal de l'Ourcq,not built,Napoleonic era,"Centuries later , in 1806 , during the Napoleonic era , was built the Canal de l'Ourcq , destined to the inland navigation when the Marne river is not navigable because of temporary sandbanks .",REJECT,True
sent_0177,Canal de l'Ourcq,not destined,inland navigation,"Centuries later , in 1806 , during the Napoleonic era , was built the Canal de l'Ourcq , destined to the inland navigation when the Marne river is not navigable because of temporary sandbanks .",REJECT,True
sent_0177,Marne river,is not navigable,temporary sandbanks,"Centuries later , in 1806 , during the Napoleonic era , was built the Canal de l'Ourcq , destined to the inland navigation when the Marne river is not navigable because of temporary sandbanks .",ACCEPT,True
sent_0180,Rockwell,never retroactively re designated,MPTA,"Rockwell and NASA thus retroactively re-designated the MPTA as MPTA-098 , though it was never christened with a name .",REJECT,True
sent_0180,Rockwell,never re designated,MPTA-098,"Rockwell and NASA thus retroactively re-designated the MPTA as MPTA-098 , though it was never christened with a name .",REJECT,True
sent_0180,NASA,never retroactively re designated,MPTA,"Rockwell and NASA thus retroactively re-designated the MPTA as MPTA-098 , though it was never christened with a name .",REJECT,True
sent_0180,NASA,never re designated,MPTA-098,"Rockwell and NASA thus retroactively re-designated the MPTA as MPTA-098 , though it was never christened with a name .",REJECT,True
sent_0180,MPTA,never was re designated,MPTA-098,"Rockwell and NASA thus retroactively re-designated the MPTA as MPTA-098 , though it was never christened with a name .",REJECT,True
sent_0191,The weapons,do not influence,the other racers,The weapons do not influence the other racers at all .,ACCEPT,True
sent_0191,The other racers,not are,at all,The weapons do not influence the other racers at all .,REJECT,True
sent_0191,The weapons,do not influence,at all,The weapons do not influence the other racers at all .,ACCEPT,True
sent_0236,Byers,potential not opposes,concept,"Byers does not oppose the concept of global citizenship , however he criticizes potential implications of the term depending on one 's definition of it , such as ones that provide support for the `` ruthlessly capitalist economic system that now dominates the planet . ''",ACCEPT,True
sent_0236,Byers,potential not criticizes,implications,"Byers does not oppose the concept of global citizenship , however he criticizes potential implications of the term depending on one 's definition of it , such as ones that provide support for the `` ruthlessly capitalist economic system that now dominates the planet . ''",REJECT,True
sent_0236,concept,potential not has,definition,"Byers does not oppose the concept of global citizenship , however he criticizes potential implications of the term depending on one 's definition of it , such as ones that provide support for the `` ruthlessly capitalist economic system that now dominates the planet . ''",REJECT,True
sent_0236,definition,potential not provides,support,"Byers does not oppose the concept of global citizenship , however he criticizes potential implications of the term depending on one 's definition of it , such as ones that provide support for the `` ruthlessly capitalist economic system that now dominates the planet . ''",REJECT,True
sent_0236,system,potential not provides,support,"Byers does not oppose the concept of global citizenship , however he criticizes potential implications of the term depending on one 's definition of it , such as ones that provide support for the `` ruthlessly capitalist economic system that now dominates the planet . ''",REJECT,True
