pred_s,pred_p,pred_o,gt_s,gt_p,gt_o,tier,triple_sim
commissioners,in charge of,finances,commissioners,in charge of,finances,tier1_exact,1.0
commissioners,attend,war councils,commissioners,attend,war councils,tier1_exact,1.0
he,became,lord justice appeal,he,became,lord justice appeal,tier1_exact,1.0
wild radish seeds,not suitable for,human consumption,wild radish seeds,not suitable for,human consumption,tier1_exact,1.0
local middle classes,in,aberdare,local middle classes,in,aberdare,tier1_exact,1.0
he,made,officer order st john,he,made,officer order st john,tier1_exact,1.0
texas,executed,over four times more inmates virginia,texas,executed,over four times more inmates virginia,tier1_exact,1.0
texas,executed,nearly 37 times more inmates california,texas,executed,nearly 37 times more inmates california,tier1_exact,1.0
city,boomed,population,population,boomed,city,tier1_exact,1.0
city,formed,5 boroughs,5 boroughs,formed,city,tier1_exact,1.0
oilseed radish,can be used as,cover crop,oilseed radish,can be used as,cover crop,tier1_exact,1.0
he,played,37 times,he,played,37 times,tier1_exact,1.0
he,scored,nine goals,he,scored,nine goals,tier1_exact,1.0
they,held,first triangle workshop,they,held,first triangle workshop,tier1_exact,1.0
adnan latif,in,car accident,adnan latif,in,car accident,tier1_exact,1.0
adnan latif,suffered,significant head injuries,adnan latif,suffered,significant head injuries,tier1_exact,1.0
he,accused,maroboduus being only king among germans,he,accused,maroboduus being only king among germans,tier1_exact,1.0
councils,held,657,councils,held,657,tier1_exact,1.0
councils,held,669,councils,held,669,tier1_exact,1.0
councils,held,846,councils,held,846,tier1_exact,1.0
councils,held,850,councils,held,850,tier1_exact,1.0
councils,held,852,councils,held,852,tier1_exact,1.0
councils,held,853,councils,held,853,tier1_exact,1.0
councils,held,862,councils,held,862,tier1_exact,1.0
councils,held,980,councils,held,980,tier1_exact,1.0
councils,held,986,councils,held,986,tier1_exact,1.0
councils,held,996,councils,held,996,tier1_exact,1.0
councils,held,1048,councils,held,1048,tier1_exact,1.0
councils,held,1071,councils,held,1071,tier1_exact,1.0
councils,held,1080,councils,held,1080,tier1_exact,1.0
graner,handcuffed,him,graner,handcuffed,him,tier1_exact,1.0
graner,left,him,graner,left,him,tier1_exact,1.0
felicia,a relationship with,spider man noir,felicia,a relationship with,spider man noir,tier1_exact,1.0
plant communities,include,creosote,plant communities,include,creosote,tier1_exact,1.0
plant communities,include,sagebrush,plant communities,include,sagebrush,tier1_exact,1.0
plant communities,include,bristlecone pine forests,plant communities,include,bristlecone pine forests,tier1_exact,1.0
mark portmann,left,band,mark portmann,left,band,tier1_exact,1.0
band,released,sahara,band,released,sahara,tier1_exact,1.0
chapters bremen cathedral,located,within city boundary,chapters bremen cathedral,located,within city boundary,tier1_exact,1.0
they,can,380v,they,can,380v,tier1_exact,1.0
they,can,1000v,they,can,1000v,tier1_exact,1.0
they,can,even higher,they,can,even higher,tier1_exact,1.0
it,united with,clitheroe rural district,it,united with,clitheroe rural district,tier1_exact,1.0
chapel,located,14th floor,chapel,located,14th floor,tier1_exact,1.0
study hall,located,15th floor,study hall,located,15th floor,tier1_exact,1.0
turbomachinery,may use,one more centrifugal compressors,turbomachinery,may use,one more centrifugal compressors,tier1_exact,1.0
locomotives,pulled,trains,locomotives,pulled,trains,tier1_exact,1.0
hex,left,cole,cole,left,hex,tier1_exact,1.0
muhammad ibn abu bakr,escorted,aisha,muhammad ibn abu bakr,escorted,aisha,tier1_exact,1.0
shops,built,close proximity maz plant,shops,built,close proximity maz plant,tier1_exact,1.0
medical clinics,built,close proximity maz plant,medical clinics,built,close proximity maz plant,tier1_exact,1.0
cinemas,built,close proximity maz plant,cinemas,built,close proximity maz plant,tier1_exact,1.0
armah,contrasts,two worlds,armah,contrasts,two worlds,tier1_exact,1.0
ballard,given,drug,ballard,given,drug,tier1_exact,1.0
barbara,fought,mugger,barbara,fought,mugger,tier1_exact,1.0
chevalier,erected,shrine,chevalier,erected,shrine,tier1_exact,1.0
citizens responsibility ethics washington,filed,ethics committee complaint,citizens responsibility ethics washington,filed,ethics committee complaint,tier1_exact,1.0
dc comics,held,memorial service,dc comics,held,memorial service,tier1_exact,1.0
beuerlein,out dueling,brett favre,beuerlein,out dueling,brett favre,tier1_exact,1.0
dodo,intended to,common accent,dodo,intended to,common accent,tier1_exact,1.0
act rugby union,renamed,act southern nsw rugby union,act rugby union,renamed,act southern nsw rugby union,tier1_exact,1.0
failure perform duty,could lead to,re enslavement,failure perform duty,could lead to,re enslavement,tier1_exact,1.0
university,banned,smoking,university,banned,smoking,tier1_exact,1.0
george bluth sr,patriarch of,bluth family,george bluth sr,patriarch of,bluth family,tier1_exact,1.0
bluth company,markets,mini mansions,bluth company,markets,mini mansions,tier1_exact,1.0
bluth company,builds,mini mansions,bluth company,builds,mini mansions,tier1_exact,1.0
godzilla,battled,battra,godzilla,battled,battra,tier1_exact,1.0
battra,battled,godzilla,battra,battled,godzilla,tier1_exact,1.0
hapoel lod,won,state cup,hapoel lod,won,state cup,tier1_exact,1.0
he,finds,himself,he,finds,himself,tier1_exact,1.0
he,lodged,other medical students,he,lodged,other medical students,tier1_exact,1.0
he,lodged,henry stephens,he,lodged,henry stephens,tier1_exact,1.0
he,represented,nickel belt,he,represented,nickel belt,tier1_exact,1.0
he,talked to,mcgee,he,talked to,mcgee,tier1_exact,1.0
he,a member of,european convention,he,a member of,european convention,tier1_exact,1.0
earth,hangs,air,earth,hangs,air,tier1_exact,1.0
knievel,lost control of,motorcycle,knievel,lost control of,motorcycle,tier1_exact,1.0
knievel,crashed into,cameraman,knievel,crashed into,cameraman,tier1_exact,1.0
she,published,omaha tribe,she,published,omaha tribe,tier1_exact,1.0
sun,announced,project indiana,sun,announced,project indiana,tier1_exact,1.0
droit,can mean,whole body law,droit,can mean,whole body law,tier1_exact,1.0
she,joined,women s auxiliary air force,she,joined,women s auxiliary air force,tier1_exact,1.0
boston college,joined,atlantic coast conference,boston college,joined,atlantic coast conference,tier1_exact,1.0
boston college,left,big east conference,boston college,left,big east conference,tier1_exact,1.0
uta,ordered,77 siemens s70 light rail vehicles,uta,ordered,77 siemens s70 light rail vehicles,tier1_exact,1.0
uta,ordered from,siemens ag,uta,ordered from,siemens ag,tier1_exact,1.0
he,advocated,strong prosecution union war effort,he,advocated,strong prosecution union war effort,tier1_exact,1.0
he,advocated,end slavery,he,advocated,end slavery,tier1_exact,1.0
he,advocated,civil rights freed african americans,he,advocated,civil rights freed african americans,tier1_exact,1.0
welsh methodists,broke away from,anglican church,welsh methodists,broke away from,anglican church,tier1_exact,1.0
inhabitants,speak,bumthangkha,inhabitants,speak,bumthangkha,tier1_exact,1.0
inhabitants,speak,khengkha,inhabitants,speak,khengkha,tier1_exact,1.0
it,makes,drumming noises,it,makes,drumming noises,tier1_exact,1.0
it,part of,surrey hills area outstanding beauty,it,part of,surrey hills area outstanding beauty,tier1_exact,1.0
it,situated on,green sand way,it,situated on,green sand way,tier1_exact,1.0
jal,introduced,jet service,jal,introduced,jet service,tier1_exact,1.0
kim,played for,varsity lacrosse team,kim,played for,varsity lacrosse team,tier1_exact,1.0
lens subluxation,characterized by,partial displacement lens,lens subluxation,characterized by,partial displacement lens,tier1_exact,1.0
li hongzhi,gave,lectures,li hongzhi,gave,lectures,tier1_exact,1.0
li hongzhi,taught,falun gong exercises,li hongzhi,taught,falun gong exercises,tier1_exact,1.0
barrack blocks,in,gorgan wall forts,barrack blocks,in,gorgan wall forts,tier1_exact,1.0
marciano,retained,belt,marciano,retained,belt,tier1_exact,1.0
noatak,primarily reached by,air,noatak,primarily reached by,air,tier1_exact,1.0
brown,left,federal government,brown,left,federal government,tier1_exact,1.0
pink floyd,album,dark side moon,pink floyd,album,dark side moon,tier1_exact,1.0
richmond,won,ten premierships,richmond,won,ten premierships,tier1_exact,1.0
spennymoor town f c,won,fa carlsberg vase,spennymoor town f c,won,fa carlsberg vase,tier1_exact,1.0
sukhum,became,capital abkhazian autonomous soviet socialist republic,sukhum,became,capital abkhazian autonomous soviet socialist republic,tier1_exact,1.0
2nd battalion 13th light infantry,raised,winchester,2nd battalion 13th light infantry,raised,winchester,tier1_exact,1.0
bourbons,built,additional reception rooms,bourbons,built,additional reception rooms,tier1_exact,1.0
bourbons,reconstructed,sala d ercole,bourbons,reconstructed,sala d ercole,tier1_exact,1.0
main street tunnel,carrying,niagara road 27,main street tunnel,carrying,niagara road 27,tier1_exact,1.0
pac bulletins,widely distributed,these meetings,pac bulletins,widely distributed,these meetings,tier1_exact,1.0
river stour trust,formed,1968,river stour trust,formed,1968,tier1_exact,1.0
sas,killed,provisional irish republican army members,sas,killed,provisional irish republican army members,tier1_exact,1.0
sas,killed,irish national liberation army members,sas,killed,irish national liberation army members,tier1_exact,1.0
triple baseball national championship game,established,2006,triple baseball national championship game,established,2006,tier1_exact,1.0
wilbur cross highway,ended,sturbridge,wilbur cross highway,ended,sturbridge,tier1_exact,1.0
charleston courier,founded,1803,charleston courier,founded,1803,tier1_exact,1.0
charleston daily news,founded,1865,charleston daily news,founded,1865,tier1_exact,1.0
album,produced by,roy thomas baker,album,produced by,roy thomas baker,tier1_exact,1.0
album,would,self released,album,would,self released,tier1_exact,1.0
city,founded by,western town lot company,city,founded by,western town lot company,tier1_exact,1.0
community,served by,united states postal service hinsdale post office,community,served by,united states postal service hinsdale post office,tier1_exact,1.0
prefecture apostolic hpyeng yang,renamed as,prefecture apostolic peng yang,prefecture apostolic hpyeng yang,renamed as,prefecture apostolic peng yang,tier1_exact,1.0
philosophical society australasia,folded,1822,philosophical society australasia,folded,1822,tier1_exact,1.0
field,at,lake elsinore diamond,field,at,lake elsinore diamond,tier1_exact,1.0
overall result,would be decided,aggregate,overall result,would be decided,aggregate,tier1_exact,1.0
group,played,tokyo,group,played,tokyo,tier1_exact,1.0
group,played,osaka,group,played,osaka,tier1_exact,1.0
group,played,fukuoka,group,played,fukuoka,tier1_exact,1.0
group,played,jakarta,group,played,jakarta,tier1_exact,1.0
group,played,manila,group,played,manila,tier1_exact,1.0
group,played,singapore,group,played,singapore,tier1_exact,1.0
group,played,guam,group,played,guam,tier1_exact,1.0
magnet,rotates,external gauge,magnet,rotates,external gauge,tier1_exact,1.0
lodge,open,mid may mid october,lodge,open,mid may mid october,tier1_exact,1.0
opening credits sequence collection,directed by,hanada daizaburo,opening credits sequence collection,directed by,hanada daizaburo,tier1_exact,1.0
rest group,reach,small shop,rest group,reach,small shop,tier1_exact,1.0
crocodile,devours,annabelle,crocodile,devours,annabelle,tier1_exact,1.0
riders,climbed,off,riders,climbed,off,tier1_exact,1.0
second,titled,consider her ways,second,titled,consider her ways,tier1_exact,1.0
site,consists of,three subterranean grotto follies,site,consists of,three subterranean grotto follies,tier1_exact,1.0
youth hostel,closed,october 2008,youth hostel,closed,october 2008,tier1_exact,1.0
these orientations,allow,easy movement,these orientations,allow,easy movement,tier1_exact,1.0
these orientations,allow,degrees freedom,these orientations,allow,degrees freedom,tier1_exact,1.0
engine,equipped with,electronically controlled carburetor,engine,equipped with,electronically controlled carburetor,tier1_exact,1.0
line,extended,prahran malvern tramways trust,line,extended,prahran malvern tramways trust,tier1_exact,1.0
line,extended,hawthorn road,line,extended,hawthorn road,tier1_exact,1.0
pascalina,organized,magazzino,pascalina,organized,magazzino,tier1_exact,1.0
pascalina,led,magazzino,pascalina,led,magazzino,tier1_exact,1.0
michael,lives with,george michael,michael,lives with,george michael,tier1_exact,1.0
he,not,figure authority,he,not,figure authority,tier1_exact,1.0
wakeboarding,practiced by,men,wakeboarding,practiced by,men,tier1_exact,1.0
wakeboarding,practiced by,women,wakeboarding,practiced by,women,tier1_exact,1.0
wakeboarding,practiced at,competitive level,wakeboarding,practiced at,competitive level,tier1_exact,1.0
scieszka,painted,apartments,scieszka,painted,apartments,tier1_exact,1.0
wright,the subject of,is your life,wright,the subject of,is your life,tier1_exact,1.0
wright,surprised by,eamonn andrews,wright,surprised by,eamonn andrews,tier1_exact,1.0
michael aspel,surprised,wright,michael aspel,surprised,wright,tier1_exact,1.0
greenfish,launched by,electric boat co,greenfish,launched by,electric boat co,tier1_exact,1.0
greenfish,sponsored by,mrs thomas j doyle,greenfish,sponsored by,mrs thomas j doyle,tier1_exact,1.0
it,became,gigantic charity,it,became,gigantic charity,tier1_exact,1.0
cure,topped,online music sales charts,cure,topped,online music sales charts,tier1_exact,1.0
condon,saw,hauptmann,condon,saw,hauptmann,tier1_exact,1.0
residue,can be strained,through cheesecloth lined sieve,residue,can be strained through,cheesecloth lined sieve,tier2_semantic,0.9956
siddal,may have suffered,poisoning,siddal,may have suffered from,poisoning,tier2_semantic,0.9943
vaccinations,against,other viral diseases,vaccinations,against other,viral diseases,tier2_semantic,0.9941
restrictions,reduce,person s pleasure,restrictions,reducing,person s pleasure,tier2_semantic,0.9939
matthew rick,known as,shady backflash,matthew rick,also known as,shady backflash,tier2_semantic,0.9922
missionaries sacred heart,connected with,definition dogma immaculate conception b v m,missionaries sacred heart,closely connected with,definition dogma immaculate conception b v m,tier2_semantic,0.9922
news courier,bought by,owners charleston s main evening paper evening post,news courier,bought by,owners charleston s main evening paper,tier2_semantic,0.9912
henry stephens,became,famous inventor,henry stephens,became a,famous inventor,tier2_semantic,0.9903
failure perform duty,leads to,prosecution law,failure perform duty,could lead to,prosecution law,tier2_semantic,0.9902
stauffenberg,convinced,no one room could have survived,stauffenberg,convinced that,no one room could have survived,tier2_semantic,0.9901
latchford viaduct,deemed,too expensive make extensive repairs,latchford viaduct,deemed,too expensive make extensive repairs keep operational,tier2_semantic,0.9899
ballard,returns,home,ballard,returning,home,tier2_semantic,0.9885
she,became,ill,she,became,very ill,tier2_semantic,0.9885
lehi terrorist group,sought,italian recognition,lehi terrorist group,sought to obtain,italian recognition,tier2_semantic,0.9885
she,promoted,section officer,she,promoted to,section officer,tier2_semantic,0.9883
residue,can be reprocessed,more dripping,residue,can be reprocessed for,more dripping,tier2_semantic,0.9875
li hongzhi,began,public teachings falun gong,li hongzhi,began,his public teachings falun gong,tier2_semantic,0.9868
cyprinidae,been affected,southwestern north america,cyprinidae,been severely affected,southwestern north america,tier2_semantic,0.9868
their mission,lasted,limited period,their mission,lasted for,limited period,tier2_semantic,0.9865
stewart,won,last major championship,stewart,won,his last major championship,tier2_semantic,0.9862
senai airport interchange,located at,senai airport,senai airport interchange,near,senai airport,tier2_semantic,0.9861
he,sworn,privy council ireland,he,sworn of,privy council ireland,tier2_semantic,0.9858
hazelwood,joined,another fast mobile carrier task force,hazelwood,joining,another fast mobile carrier task force,tier2_semantic,0.9855
spirits,believe,humans are invaders,spirits,believe that,humans are invaders,tier2_semantic,0.9853
keibler,asked,time off,keibler,asked for,time off,tier2_semantic,0.9853
burnham,died,heart failure,burnham,died of,heart failure,tier2_semantic,0.9851
many young south african artists,made,debut through numerous road shows which toured country,many young south african artists,made their debut through,numerous road shows which toured country,tier2_semantic,0.9848
town,served by,somerset dorset railway,town,served by,station somerset dorset railway,tier2_semantic,0.9845
lead single,holds,same name,lead single,holds the same,name,tier2_semantic,0.9841
nasa,retroactively re designated,mpta,nasa,thus retroactively re designated,mpta,tier2_semantic,0.9841
first,occurred,may 26 1994,first,occurred on,may 26 1994,tier2_semantic,0.9839
railways,administered by,midland railway london south western railway companies,railways,administered by,midland railway london south western railway companies great western railway,tier2_semantic,0.9839
it,can be represented by,integer notation,it,can hence be represented by,integer notation,tier2_semantic,0.9838
wild radish seeds,contain,48 oil content,wild radish seeds,contain up to,48 oil content,tier2_semantic,0.9836
rockwell,retroactively re designated,mpta,rockwell,thus retroactively re designated,mpta,tier2_semantic,0.9831
term,can be applied to,vessel,term,can be applied to,any vessel,tier2_semantic,0.983
hezbollah,captured,two israeli soldiers,hezbollah,captured,further two israeli soldiers,tier2_semantic,0.9829
fstack protector flag,protects,some vulnerable functions,fstack protector flag,protects,only some vulnerable functions,tier2_semantic,0.9825
lady mary wortley montagu,encountered,resistance,lady mary wortley montagu,encountered,considerable resistance,tier2_semantic,0.9825
beuerlein,passing,then franchise record 373 yards,beuerlein,passing for,then franchise record 373 yards,tier2_semantic,0.9825
men,compete,separate categories,men,compete in,separate categories,tier2_semantic,0.9825
clathrate like baskets,surrounding,hydrophobic particles,clathrate like baskets,surrounding,such hydrophobic particles,tier2_semantic,0.9823
german english academy,founded,group milwaukee german americans,german english academy,founded by,group milwaukee german americans,tier2_semantic,0.9822
alvarez,reunited with,family,alvarez,reunited with,his family,tier2_semantic,0.9822
arrangements,made for,august performances,arrangements,made for,mid august performances,tier2_semantic,0.9814
chris hero,teamed with,necro,necro,teaming with,chris hero,tier2_semantic,0.9814
16 repeats,takes,minutes,16 repeats,takes,only minutes,tier2_semantic,0.9813
human tornado,allied with,claudio castagnoli,claudio castagnoli,an ally of,human tornado,tier2_semantic,0.9809
beuerlein,connecting,3 tds,beuerlein,connecting with,3 tds,tier2_semantic,0.9809
shea,born,september 5 1900,shea,born on,september 5 1900,tier2_semantic,0.9803
he,return,rugby union,he,returning,rugby union,tier2_semantic,0.9803
his caucus,elected,watson,watson,elected by,his caucus,tier2_semantic,0.9802
school,founded,german english academy,school,founded as,german english academy,tier2_semantic,0.9802
decision,close,station,decision,to close,station,tier2_semantic,0.9801
curley,performed,solo organ recital,curley,performed an organ recital,solo,tier2_semantic,0.98
summer programs office,runs,programs,summer programs office,runs,these programs,tier2_semantic,0.9797
she,died,heart attack,she,died of,heart attack,tier2_semantic,0.9795
mothra,accompanied,two cosmos,mothra,accompanied by,two cosmos,tier2_semantic,0.9794
women,compete,separate categories,women,compete in,separate categories,tier2_semantic,0.9794
lead single,differs,tiger jk s past releases,lead single,differs from,tiger jk s past releases,tier2_semantic,0.9793
he,possesses,neither patriarchal power nor heroic defiance,he,possessed of,neither patriarchal power nor heroic defiance,tier2_semantic,0.9791
aura spacecraft,a mass of,1 765 kg,aura spacecraft,a mass of,about 1 765 kg,tier2_semantic,0.979
university south florida,in,tampa,university south florida,in,tampa florida,tier2_semantic,0.9785
these,lack,anykey inscription,these,lacking,anykey inscription,tier2_semantic,0.9785
charles city,abandoned,trackage,remaining trackage,abandoned,charles city,tier2_semantic,0.9784
least one model,produced,february 1993,least one model,being produced,february 1993,tier2_semantic,0.9782
hill corps,consisted of,pablo morillo s spanish division,hill corps,usually consisted of,pablo morillo s spanish division,tier2_semantic,0.9782
she,died,october 1915,she,died in,october 1915,tier2_semantic,0.9778
he,made,practical inventions,he,made,several practical inventions,tier2_semantic,0.9778
