sent_id,sentence,Subject,Predicate,Object,drop_reason
sent_0014,"with a .535 slugging percentage , and the Astros , where he batted .260 in 64 games , primarily at second base .",he,played,at second base,predicate_not_grounded
sent_0015,They are also known in Japan as `` Northern Territories '' .,They,are known,as,object_not_grounded
sent_0016,She resigns after the events of `` The Last Precinct '' and relocates to Florida to become a private forensic consultant .,She,becomes,private forensic consultant,predicate_not_grounded
sent_0016,She resigns after the events of `` The Last Precinct '' and relocates to Florida to become a private forensic consultant .,The Last Precinct,is,event,object_not_grounded
sent_0016,She resigns after the events of `` The Last Precinct '' and relocates to Florida to become a private forensic consultant .,The Last Precinct,causes,She resigns,predicate_not_grounded
sent_0017,"Upon exiting Davidson Township , Sullivan County , Muncy Creek enters Lycoming County and flows along the border between Shrewsbury Township and Penn Township for several miles .",Davidson Township,located in,Sullivan County,predicate_not_grounded
sent_0017,"Upon exiting Davidson Township , Sullivan County , Muncy Creek enters Lycoming County and flows along the border between Shrewsbury Township and Penn Township for several miles .",Sullivan County,located in,Pennsylvania,object_ungroundable
sent_0017,"Upon exiting Davidson Township , Sullivan County , Muncy Creek enters Lycoming County and flows along the border between Shrewsbury Township and Penn Township for several miles .",Muncy Creek,exits,Davidson Township,predicate_not_grounded
sent_0017,"Upon exiting Davidson Township , Sullivan County , Muncy Creek enters Lycoming County and flows along the border between Shrewsbury Township and Penn Township for several miles .",Lycoming County,located in,Pennsylvania,object_ungroundable
sent_0018,"Although the villages were located close to industrial sites , they were generally physically separated from them and generally consisted of relatively high quality housing , with integrated community amenities and attractive physical environments .",villages,had,community amenities,predicate_not_grounded
sent_0018,"Although the villages were located close to industrial sites , they were generally physically separated from them and generally consisted of relatively high quality housing , with integrated community amenities and attractive physical environments .",villages,had,physical environments,predicate_not_grounded
sent_0021,"A character notes some practical difficulties with such a map and states that `` we now use the country itself , as its own map , and I assure you it does nearly as well . ''",character,states,that,object_not_grounded
sent_0021,"A character notes some practical difficulties with such a map and states that `` we now use the country itself , as its own map , and I assure you it does nearly as well . ''",character,assures,you,predicate_not_grounded
sent_0021,"A character notes some practical difficulties with such a map and states that `` we now use the country itself , as its own map , and I assure you it does nearly as well . ''",map,is used,country,predicate_not_grounded
sent_0023,He stayed for less than a year before being appointed Chief Constable of Kent in July 1946 .,He,of,Kent,predicate_not_grounded
sent_0023,He stayed for less than a year before being appointed Chief Constable of Kent in July 1946 .,He,in,July 1946,predicate_not_grounded
sent_0025,McLay also suggests that the songs negate what many consider to be a `` heretical '' ending for a comedy .,McLay,suggests,that,object_not_grounded
sent_0025,McLay also suggests that the songs negate what many consider to be a `` heretical '' ending for a comedy .,the songs,negate,a,object_not_grounded
sent_0025,McLay also suggests that the songs negate what many consider to be a `` heretical '' ending for a comedy .,a,be,heretical,subject_not_grounded
sent_0025,McLay also suggests that the songs negate what many consider to be a `` heretical '' ending for a comedy .,a,be,ending,subject_not_grounded
sent_0025,McLay also suggests that the songs negate what many consider to be a `` heretical '' ending for a comedy .,a,be,comedy,subject_not_grounded
sent_0026,Byrom Street Cutting became a runaway catch point for runaway trains in the tunnel .,Byrom Street Cutting,became,for,object_not_grounded
sent_0026,Byrom Street Cutting became a runaway catch point for runaway trains in the tunnel .,Byrom Street Cutting,became,a,object_not_grounded
sent_0026,Byrom Street Cutting became a runaway catch point for runaway trains in the tunnel .,Byrom Street Cutting,became,in,object_not_grounded
sent_0028,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",Cashel Byron,does not reveal,illegal profession,predicate_not_grounded
sent_0032,"For liquid-packed vessels , thermal relief valves are generally characterized by the relatively small size of the valve necessary to provide protection from excess pressure caused by thermal expansion .",thermal expansion,causes,excess pressure,predicate_not_grounded
sent_0033,The Original Celtics were a barnstorming professional basketball team in the 1920s .,The Original Celtics,were,a,object_not_grounded
sent_0033,The Original Celtics were a barnstorming professional basketball team in the 1920s .,The Original Celtics,were,in,object_not_grounded
sent_0033,The Original Celtics were a barnstorming professional basketball team in the 1920s .,The Original Celtics,in,the 1920s,predicate_not_grounded
sent_0034,"As the student of Torah ascends through the thought of the Pardes system , as the interpretations become more inward and spiritual , it becomes progressively understood that God desires man 's observance of the Jewish precepts , so to speak .",man,is,subject,object_ungroundable
sent_0034,"As the student of Torah ascends through the thought of the Pardes system , as the interpretations become more inward and spiritual , it becomes progressively understood that God desires man 's observance of the Jewish precepts , so to speak .",Jewish precepts,are,spoken,object_ungroundable
sent_0036,"Around the `` triangle area , '' which includes Quanzhou , Xiamen and Zhangzhou , locals all speak Minnan languages .",Quanzhou,speaks,Minnan languages,predicate_not_grounded
sent_0036,"Around the `` triangle area , '' which includes Quanzhou , Xiamen and Zhangzhou , locals all speak Minnan languages .",Xiamen,speaks,Minnan languages,predicate_not_grounded
sent_0036,"Around the `` triangle area , '' which includes Quanzhou , Xiamen and Zhangzhou , locals all speak Minnan languages .",Zhangzhou,speaks,Minnan languages,predicate_not_grounded
sent_0039,"The second session , taking place on November 12 , 1960 , produced Joe Primrose 's `` St. James Infirmary '' and the sad and mood `` I 've Just Got to Forget You '' .",Joe Primrose,created,"""St. James Infirmary""",predicate_not_grounded
sent_0039,"The second session , taking place on November 12 , 1960 , produced Joe Primrose 's `` St. James Infirmary '' and the sad and mood `` I 've Just Got to Forget You '' .",Joe Primrose,created,"""I've Just Got to Forget You""",predicate_not_grounded
sent_0039,"The second session , taking place on November 12 , 1960 , produced Joe Primrose 's `` St. James Infirmary '' and the sad and mood `` I 've Just Got to Forget You '' .",St. James Infirmary,was,a song,object_ungroundable
sent_0039,"The second session , taking place on November 12 , 1960 , produced Joe Primrose 's `` St. James Infirmary '' and the sad and mood `` I 've Just Got to Forget You '' .","""I've Just Got to Forget You""",was,a song,object_ungroundable
sent_0041,"He held the post as Attorney-General until 1834 ; he was readmitted in 1841 and after serving for a year , became Master of the Rolls in Ireland .",He,served,year,predicate_not_grounded
sent_0042,She began her film career in 1947 in the film `` A New Oath '' .,She,started,her film career,predicate_not_grounded
sent_0042,She began her film career in 1947 in the film `` A New Oath '' .,She,started,1947,predicate_not_grounded
sent_0042,She began her film career in 1947 in the film `` A New Oath '' .,She,started,A New Oath,predicate_not_grounded
sent_0042,She began her film career in 1947 in the film `` A New Oath '' .,She,had,film career,predicate_not_grounded
sent_0042,She began her film career in 1947 in the film `` A New Oath '' .,She,had,1947,predicate_not_grounded
sent_0042,She began her film career in 1947 in the film `` A New Oath '' .,She,had,A New Oath,predicate_not_grounded
sent_0042,She began her film career in 1947 in the film `` A New Oath '' .,She,made,A New Oath,predicate_not_grounded
sent_0042,She began her film career in 1947 in the film `` A New Oath '' .,She,made,film,predicate_not_grounded
sent_0042,She began her film career in 1947 in the film `` A New Oath '' .,She,made,1947,predicate_not_grounded
sent_0043,"Continuing duties specified for freed slaves in manumission agreements became more common into the Hellenistic era , and they may have been customary earlier .",Duties,may,be,object_not_grounded
sent_0043,"Continuing duties specified for freed slaves in manumission agreements became more common into the Hellenistic era , and they may have been customary earlier .",Hellenistic era,is,time,object_ungroundable
sent_0043,"Continuing duties specified for freed slaves in manumission agreements became more common into the Hellenistic era , and they may have been customary earlier .",Duties,continue,into,object_not_grounded
sent_0045,The Israeli controlled sector was captured by Israel in the Six-Day War of June 1967 .,Six-Day War,occurred,June 1967,predicate_not_grounded
sent_0045,The Israeli controlled sector was captured by Israel in the Six-Day War of June 1967 .,Six-Day War,involved,Israel,predicate_not_grounded
sent_0047,"Here , equality between the two vectors in homogeneous coordinates means that the numbers on the right side are equal to the numbers on the left side up to some common scaling factor formula_8 .",vectors,have,equality,predicate_not_grounded
sent_0047,"Here , equality between the two vectors in homogeneous coordinates means that the numbers on the right side are equal to the numbers on the left side up to some common scaling factor formula_8 .",vectors,mean,numbers,predicate_not_grounded
sent_0047,"Here , equality between the two vectors in homogeneous coordinates means that the numbers on the right side are equal to the numbers on the left side up to some common scaling factor formula_8 .",right side,have,numbers,predicate_not_grounded
sent_0047,"Here , equality between the two vectors in homogeneous coordinates means that the numbers on the right side are equal to the numbers on the left side up to some common scaling factor formula_8 .",left side,have,numbers,predicate_not_grounded
sent_0047,"Here , equality between the two vectors in homogeneous coordinates means that the numbers on the right side are equal to the numbers on the left side up to some common scaling factor formula_8 .",vectors,have,common scaling factor,predicate_not_grounded
sent_0047,"Here , equality between the two vectors in homogeneous coordinates means that the numbers on the right side are equal to the numbers on the left side up to some common scaling factor formula_8 .",vectors,be,scaled,object_ungroundable
sent_0050,"The Institut Constant de Rebecque is a Swiss free-market , classical liberal and libertarian think tank founded in January 2005 in Lausanne , named after writer and political philosopher Benjamin Constant .",Institut Constant de Rebecque,is,a,object_not_grounded
sent_0051,Owen and the French socialist Henri de Saint-Simon were the fathers of the utopian socialist movement ; they believed that the ills of industrial work relations could be removed by the establishment of small cooperative communities .,Owen,was,father,object_not_grounded
sent_0051,Owen and the French socialist Henri de Saint-Simon were the fathers of the utopian socialist movement ; they believed that the ills of industrial work relations could be removed by the establishment of small cooperative communities .,Henri de Saint-Simon,was,father,object_not_grounded
sent_0053,"The previous champions in 2005 were Kilmacud Crokes , who were knocked out of the 2006 competition at the semi-final stage .",Kilmacud Crokes,of,2006 competition,predicate_not_grounded
sent_0053,"The previous champions in 2005 were Kilmacud Crokes , who were knocked out of the 2006 competition at the semi-final stage .",2006 competition,has,semi-final stage,predicate_not_grounded
sent_0053,"The previous champions in 2005 were Kilmacud Crokes , who were knocked out of the 2006 competition at the semi-final stage .",2006 competition,has,Kilmacud Crokes,predicate_not_grounded
sent_0054,"That night , 300 soldiers of the 1st SS Battalion were able to reinforce the hotel and defeat several attacks on the building .",300 soldiers,to,reinforce hotel,predicate_not_grounded
sent_0054,"That night , 300 soldiers of the 1st SS Battalion were able to reinforce the hotel and defeat several attacks on the building .",300 soldiers,to,defeat several attacks,predicate_not_grounded
sent_0054,"That night , 300 soldiers of the 1st SS Battalion were able to reinforce the hotel and defeat several attacks on the building .",hotel,were,attacked,object_ungroundable
sent_0055,"He develops significance both as a recurrent character in the series and friend to Dream , appearing in a total of seven issues spanning six hundred years .",He,appears,issues,predicate_not_grounded
sent_0055,"He develops significance both as a recurrent character in the series and friend to Dream , appearing in a total of seven issues spanning six hundred years .",He,appears,series,predicate_not_grounded
sent_0055,"He develops significance both as a recurrent character in the series and friend to Dream , appearing in a total of seven issues spanning six hundred years .",He,appears,Dream,predicate_not_grounded
sent_0055,"He develops significance both as a recurrent character in the series and friend to Dream , appearing in a total of seven issues spanning six hundred years .",He,spans,six hundred years,predicate_not_grounded
sent_0055,"He develops significance both as a recurrent character in the series and friend to Dream , appearing in a total of seven issues spanning six hundred years .",He,appears,seven issues,predicate_not_grounded
sent_0058,"His works span a wide range of topics from the occult to natural history , literary criticism , biology , cartography , and iconography .",His works,cover,occult,predicate_not_grounded
sent_0058,"His works span a wide range of topics from the occult to natural history , literary criticism , biology , cartography , and iconography .",His works,cover,natural history,predicate_not_grounded
sent_0058,"His works span a wide range of topics from the occult to natural history , literary criticism , biology , cartography , and iconography .",His works,cover,literary criticism,predicate_not_grounded
sent_0058,"His works span a wide range of topics from the occult to natural history , literary criticism , biology , cartography , and iconography .",His works,cover,biology,predicate_not_grounded
sent_0058,"His works span a wide range of topics from the occult to natural history , literary criticism , biology , cartography , and iconography .",His works,cover,cartography,predicate_not_grounded
sent_0058,"His works span a wide range of topics from the occult to natural history , literary criticism , biology , cartography , and iconography .",His works,cover,iconography,predicate_not_grounded
sent_0059,"In 1981 , when staying in New York State , the pair developed the idea of running workshops for professional artists , which became the Triangle Arts Trust .",1981,occurred,year,object_ungroundable
sent_0059,"In 1981 , when staying in New York State , the pair developed the idea of running workshops for professional artists , which became the Triangle Arts Trust .",New York State,location,-,object_not_grounded
sent_0059,"In 1981 , when staying in New York State , the pair developed the idea of running workshops for professional artists , which became the Triangle Arts Trust .",the pair,stayed,New York State,predicate_not_grounded
sent_0059,"In 1981 , when staying in New York State , the pair developed the idea of running workshops for professional artists , which became the Triangle Arts Trust .",the pair,decided,running workshops,predicate_not_grounded
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",The 20 July plot,was,to,object_not_grounded
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",The 20 July plot,was,a,object_not_grounded
sent_0063,"Furious at being passed over again , Michael secures another job with a rival company and plans on leaving his family behind for good .",Michael,leaves,family,predicate_not_grounded
sent_0063,"Furious at being passed over again , Michael secures another job with a rival company and plans on leaving his family behind for good .",Michael,has,job,predicate_not_grounded
sent_0063,"Furious at being passed over again , Michael secures another job with a rival company and plans on leaving his family behind for good .",Michael,has,family,predicate_not_grounded
sent_0063,"Furious at being passed over again , Michael secures another job with a rival company and plans on leaving his family behind for good .",Michael,goes,to a rival company,predicate_not_grounded
sent_0064,"In October 2008 , Bond apologized to former U.S. Attorney Todd Graves , after a U.S. Justice Department report cited Bond for forcing Graves out over a disagreement with Representative Sam Graves .",Bond,forced,Graves out,predicate_not_grounded
sent_0065,"He toured extensively throughout the world , and earned the marketing nickname `` the Pavarotti of the Organ '' .",He,has,the marketing nickname,predicate_not_grounded
sent_0065,"He toured extensively throughout the world , and earned the marketing nickname `` the Pavarotti of the Organ '' .",He,has,the nickname,predicate_not_grounded
sent_0066,XM did offer a free month of service to subscribers who called in complaints of the suspension .,XM,offered,a free month of service,predicate_not_grounded
sent_0066,XM did offer a free month of service to subscribers who called in complaints of the suspension .,XM,suspended,service,predicate_not_grounded
sent_0066,XM did offer a free month of service to subscribers who called in complaints of the suspension .,Subscribers,complained,of the suspension,predicate_not_grounded
sent_0066,XM did offer a free month of service to subscribers who called in complaints of the suspension .,XM,suspended,service to subscribers,predicate_not_grounded
sent_0066,XM did offer a free month of service to subscribers who called in complaints of the suspension .,Subscribers,received,a free month of service,predicate_not_grounded
sent_0068,The Federal Trade Commission began an investigation in late 1995 .,Federal Trade Commission,investigated,late 1995,predicate_not_grounded
sent_0070,By the end of this experiment several results were found .,end,of,this experiment,predicate_not_grounded
sent_0071,"Blackburne 's statement that he `` would not tolerate a refusal to ratify the appointment '' , is an indication of the influence which could then be wielded by a strong Attorney General .",refusal to ratify the appointment,is,object of tolerance,object_ungroundable
sent_0072,The latter was lifted only as the b-side of `` Keep on Loving Me '' .,The latter,was lifted,as,object_not_grounded
sent_0072,The latter was lifted only as the b-side of `` Keep on Loving Me '' .,The latter,of,Keep on Loving Me,predicate_not_grounded
sent_0074,"Agen would have another successful run in the 1940s , beginning with the 1943 season when they defeated Stade Bordelais 11 to 4 to win the Coupe de France .",Agen,has,successful run,predicate_not_grounded
sent_0074,"Agen would have another successful run in the 1940s , beginning with the 1943 season when they defeated Stade Bordelais 11 to 4 to win the Coupe de France .",Agen,begins,1943 season,predicate_not_grounded
sent_0074,"Agen would have another successful run in the 1940s , beginning with the 1943 season when they defeated Stade Bordelais 11 to 4 to win the Coupe de France .",1943 season,starts,Agen,predicate_not_grounded
sent_0074,"Agen would have another successful run in the 1940s , beginning with the 1943 season when they defeated Stade Bordelais 11 to 4 to win the Coupe de France .",Agen,defeats,Stade Bordelais,predicate_not_grounded
sent_0074,"Agen would have another successful run in the 1940s , beginning with the 1943 season when they defeated Stade Bordelais 11 to 4 to win the Coupe de France .",Agen,wins,Coupe de France,predicate_not_grounded
sent_0074,"Agen would have another successful run in the 1940s , beginning with the 1943 season when they defeated Stade Bordelais 11 to 4 to win the Coupe de France .",Coupe de France,is won by,Agen,predicate_not_grounded
sent_0076,"In the first volume of the series , The Noh 's nature and background is explained .",The first volume,contains,The Noh,predicate_not_grounded
sent_0080,He ran for Speaker of the Rhode Island House of Representatives four times .,He,ran,for,object_not_grounded
sent_0080,He ran for Speaker of the Rhode Island House of Representatives four times .,Speaker of the Rhode Island House of Representatives,for,four times,predicate_not_grounded
sent_0081,"By opening for acts such as U2 and Bob Dylan , they became a popular alternative rock band of the 1980s , retaining a loyal following to the present day .",U2,opened for,they,predicate_not_grounded
sent_0081,"By opening for acts such as U2 and Bob Dylan , they became a popular alternative rock band of the 1980s , retaining a loyal following to the present day .",they,opened for,Bob Dylan,predicate_not_grounded
sent_0081,"By opening for acts such as U2 and Bob Dylan , they became a popular alternative rock band of the 1980s , retaining a loyal following to the present day .",they,retained,a loyal following,predicate_not_grounded
sent_0081,"By opening for acts such as U2 and Bob Dylan , they became a popular alternative rock band of the 1980s , retaining a loyal following to the present day .",they,retained,a loyal following to the present day,predicate_not_grounded
sent_0081,"By opening for acts such as U2 and Bob Dylan , they became a popular alternative rock band of the 1980s , retaining a loyal following to the present day .",they,have,a loyal following,predicate_not_grounded
sent_0081,"By opening for acts such as U2 and Bob Dylan , they became a popular alternative rock band of the 1980s , retaining a loyal following to the present day .",they,have,a loyal following to the present day,predicate_not_grounded
sent_0082,Separate berthings and heads are found on sailboats over about .,sailboats,have,berthings,predicate_not_grounded
sent_0082,Separate berthings and heads are found on sailboats over about .,sailboats,have,heads,predicate_not_grounded
sent_0082,Separate berthings and heads are found on sailboats over about .,sailboats,have,about,predicate_not_grounded
sent_0083,"Their performance was well received and inspired Ruby Hunter , Archie Roach 's partner , to dub the trio Tiddas , which is Koori English for the word sisters .",Ruby Hunter,dubbed,Tiddas,predicate_not_grounded
sent_0083,"Their performance was well received and inspired Ruby Hunter , Archie Roach 's partner , to dub the trio Tiddas , which is Koori English for the word sisters .",Ruby Hunter,and,Archie Roach,predicate_not_grounded
sent_0085,"Charles prorogued parliament on 25 June , but the army was not disbanded , which worried Shaftesbury .",Shaftesbury,worried,something,object_ungroundable
sent_0085,"Charles prorogued parliament on 25 June , but the army was not disbanded , which worried Shaftesbury .",something,worried,Shaftesbury,subject_ungroundable
sent_0089,"The first single , `` Dreamer , '' features performances by keyboardist Philippe Saisse , and vocalists Jasmine Roy and Rebeca Vega .",Philippe Saisse,performs,keyboardist,predicate_not_grounded
sent_0089,"The first single , `` Dreamer , '' features performances by keyboardist Philippe Saisse , and vocalists Jasmine Roy and Rebeca Vega .",Jasmine Roy,performs,vocalist,object_not_grounded
sent_0089,"The first single , `` Dreamer , '' features performances by keyboardist Philippe Saisse , and vocalists Jasmine Roy and Rebeca Vega .",Rebeca Vega,performs,vocalist,object_not_grounded
sent_0089,"The first single , `` Dreamer , '' features performances by keyboardist Philippe Saisse , and vocalists Jasmine Roy and Rebeca Vega .",Dreamer,has,Philippe Saisse,predicate_not_grounded
sent_0089,"The first single , `` Dreamer , '' features performances by keyboardist Philippe Saisse , and vocalists Jasmine Roy and Rebeca Vega .",Dreamer,has,Jasmine Roy,predicate_not_grounded
sent_0089,"The first single , `` Dreamer , '' features performances by keyboardist Philippe Saisse , and vocalists Jasmine Roy and Rebeca Vega .",Dreamer,has,Rebeca Vega,predicate_not_grounded
sent_0091,The fractional quantum Hall effect continues to be influential in theories about topological order .,The fractional quantum Hall effect,continue,to be influential,predicate_not_grounded
sent_0091,The fractional quantum Hall effect continues to be influential in theories about topological order .,Theories,continue,to be about,predicate_not_grounded
sent_0091,The fractional quantum Hall effect continues to be influential in theories about topological order .,The fractional quantum Hall effect,be,in,object_not_grounded
sent_0091,The fractional quantum Hall effect continues to be influential in theories about topological order .,The fractional quantum Hall effect,is,in,object_not_grounded
sent_0091,The fractional quantum Hall effect continues to be influential in theories about topological order .,Theories,be,in,object_not_grounded
sent_0091,The fractional quantum Hall effect continues to be influential in theories about topological order .,Theories,are,in,object_not_grounded
sent_0092,"Following his death , a statue of Sir Arthur was erected behind the National Archives of Canada , overlooking the Ottawa River This is one of only two statues of civil servants erected in Ottawa , both during MacKenzie King 's tenure as Prime Minister .",statue,of,Sir Arthur,predicate_not_grounded
sent_0092,"Following his death , a statue of Sir Arthur was erected behind the National Archives of Canada , overlooking the Ottawa River This is one of only two statues of civil servants erected in Ottawa , both during MacKenzie King 's tenure as Prime Minister .",National Archives of Canada,overlooks,Ottawa River,predicate_not_grounded
sent_0092,"Following his death , a statue of Sir Arthur was erected behind the National Archives of Canada , overlooking the Ottawa River This is one of only two statues of civil servants erected in Ottawa , both during MacKenzie King 's tenure as Prime Minister .",Ottawa,has,statue of Sir Arthur,predicate_not_grounded
sent_0092,"Following his death , a statue of Sir Arthur was erected behind the National Archives of Canada , overlooking the Ottawa River This is one of only two statues of civil servants erected in Ottawa , both during MacKenzie King 's tenure as Prime Minister .",Ottawa,has,statue of civil servants,predicate_not_grounded
sent_0093,"In a proposed amendment of the party 's constitution by a delegate to hold an early leadership review of Tim Hudak , McCreadie indicated that Party President Richard Ciano should accept the same review if the motion was passed .",delegate,propose,amendment,predicate_not_grounded
sent_0093,"In a proposed amendment of the party 's constitution by a delegate to hold an early leadership review of Tim Hudak , McCreadie indicated that Party President Richard Ciano should accept the same review if the motion was passed .",delegate,propose,constitution,predicate_not_grounded
sent_0093,"In a proposed amendment of the party 's constitution by a delegate to hold an early leadership review of Tim Hudak , McCreadie indicated that Party President Richard Ciano should accept the same review if the motion was passed .",motion,trigger,review,predicate_not_grounded
sent_0094,"Within England and especially Scotland , there were repeated attempts by the deposed House of Stewart to regain the throne , leading to severe uprisings .",England,is located in,Scotland,predicate_not_grounded
sent_0094,"Within England and especially Scotland , there were repeated attempts by the deposed House of Stewart to regain the throne , leading to severe uprisings .",Scotland,is a part of,England,predicate_not_grounded
sent_0094,"Within England and especially Scotland , there were repeated attempts by the deposed House of Stewart to regain the throne , leading to severe uprisings .",House of Stewart,attempted,regain the throne,predicate_not_grounded
sent_0094,"Within England and especially Scotland , there were repeated attempts by the deposed House of Stewart to regain the throne , leading to severe uprisings .",House of Stewart,led,uprisings,predicate_not_grounded
sent_0094,"Within England and especially Scotland , there were repeated attempts by the deposed House of Stewart to regain the throne , leading to severe uprisings .",uprisings,occurred,England,predicate_not_grounded
sent_0094,"Within England and especially Scotland , there were repeated attempts by the deposed House of Stewart to regain the throne , leading to severe uprisings .",uprisings,occurred,Scotland,predicate_not_grounded
sent_0095,"Instead of ablating the tissue , the laser cuts a portion of the prostate , which is then cut into smaller pieces and flushed with irrigation fluid .",laser,is used for,cutting,object_ungroundable
sent_0096,"In 1879 , he was re-elected U.S. Senator and was tipped as a Presidential candidate , but died suddenly after giving a speech in Chicago .",He,gave,speech,predicate_not_grounded
sent_0096,"In 1879 , he was re-elected U.S. Senator and was tipped as a Presidential candidate , but died suddenly after giving a speech in Chicago .",He,gave,speech in Chicago,predicate_not_grounded
sent_0098,It was club policy to promote talent into the senior team that was adopted by Bill Dimovski .,club,has,policy,predicate_not_grounded
sent_0098,It was club policy to promote talent into the senior team that was adopted by Bill Dimovski .,club,promotes,talent,predicate_not_grounded
