sentence_id,sentence,Subject,Predicate,Object
dev_0149,"However , Jesus is not accepted as the son by Muslims , who strictly maintain that he was a human being who was loved by God and exalted by God to ranks of the most righteous .",Muslims,strictly maintain that Jesus was,a human being
dev_0149,"However , Jesus is not accepted as the son by Muslims , who strictly maintain that he was a human being who was loved by God and exalted by God to ranks of the most righteous .",Muslims,strictly maintain that Jesus was loved by,God
dev_0149,"However , Jesus is not accepted as the son by Muslims , who strictly maintain that he was a human being who was loved by God and exalted by God to ranks of the most righteous .",Muslims,strictly maintain that Jesus was exalted to ranks of the most righteous by,God
dev_0196,"From 1970 to 1985 , Gideon Rodan taught at the University of Connecticut School of Dental Medicine until he switched over to Merck .",Gideon Rodan,taught at,the University of Connecticut School of Dental Medicine
dev_0196,"From 1970 to 1985 , Gideon Rodan taught at the University of Connecticut School of Dental Medicine until he switched over to Merck .",Gideon Rodan,switched over to,Merck
dev_0196,"From 1970 to 1985 , Gideon Rodan taught at the University of Connecticut School of Dental Medicine until he switched over to Merck .",the University of Connecticut,has,a School of Dental Medicine
dev_0024,"After a short absence Keibler began a short feud with the evil Jillian Hall , which led to the two having a match on `` Velocity '' , which Keibler lost .",Keibler,began,a short feud with the evil Jillian Hall
dev_0024,"After a short absence Keibler began a short feud with the evil Jillian Hall , which led to the two having a match on `` Velocity '' , which Keibler lost .",a short feud with the evil Jillian Hall,led to,the two having a match on `` Velocity ''
dev_0024,"After a short absence Keibler began a short feud with the evil Jillian Hall , which led to the two having a match on `` Velocity '' , which Keibler lost .",Keibler,lost,a match on `` Velocity ''
dev_0218,Walcott was brought on one knee in the third round and the fight ended with hardly a scratch on Langford .,Walcott,was brought on one knee,in the fight
dev_0218,Walcott was brought on one knee in the third round and the fight ended with hardly a scratch on Langford .,in the fight,hardly a scratch on,Langford
dev_0218,Walcott was brought on one knee in the third round and the fight ended with hardly a scratch on Langford .,the fight,ended with hardly a scratch on,Langford
dev_0264,"On 12 July 2006 , Hezbollah launched a series of rocket attacks and raids into Israeli territory , where they killed three Israeli soldiers and captured a further two .",Hezbollah,launched,a series of rocket attacks
dev_0264,"On 12 July 2006 , Hezbollah launched a series of rocket attacks and raids into Israeli territory , where they killed three Israeli soldiers and captured a further two .",Hezbollah,launched,a series of raids
dev_0264,"On 12 July 2006 , Hezbollah launched a series of rocket attacks and raids into Israeli territory , where they killed three Israeli soldiers and captured a further two .",a series of rocket attacks and raids,killed,three Israeli soldiers
dev_0264,"On 12 July 2006 , Hezbollah launched a series of rocket attacks and raids into Israeli territory , where they killed three Israeli soldiers and captured a further two .",a series of rocket attacks and raids,captured,a further two Israeli soldiers
dev_0264,"On 12 July 2006 , Hezbollah launched a series of rocket attacks and raids into Israeli territory , where they killed three Israeli soldiers and captured a further two .",Hezbollah,killed,three Israeli soldiers
dev_0264,"On 12 July 2006 , Hezbollah launched a series of rocket attacks and raids into Israeli territory , where they killed three Israeli soldiers and captured a further two .",Hezbollah,captured,a further two Israeli soldiers
dev_0071,Courtelary is first mentioned in 968 as `` Curtis Alerici '' in a list of the properties of Moutier-Grandval Abbey .,Courtelary,is first mentioned as,`` Curtis Alerici ''
dev_0071,Courtelary is first mentioned in 968 as `` Curtis Alerici '' in a list of the properties of Moutier-Grandval Abbey .,Moutier-Grandval Abbey,has,properties
dev_0071,Courtelary is first mentioned in 968 as `` Curtis Alerici '' in a list of the properties of Moutier-Grandval Abbey .,a list,is of,the properties of Moutier-Grandval Abbey
dev_0005,"The strike obtained political support from the Political Affairs Committee , and the workers were addressed at numerous public meetings by Dr. Cheddi Jagan , Janet Jagan and leaders of the GIWU .","Dr. Cheddi Jagan , Janet Jagan and leaders of the GIWU",addressed,the workers at numerous public meetings
dev_0005,"The strike obtained political support from the Political Affairs Committee , and the workers were addressed at numerous public meetings by Dr. Cheddi Jagan , Janet Jagan and leaders of the GIWU .",The strike,obtained,political support from the Political Affairs Committee
dev_0005,"The strike obtained political support from the Political Affairs Committee , and the workers were addressed at numerous public meetings by Dr. Cheddi Jagan , Janet Jagan and leaders of the GIWU .",the workers,were addressed,"by Dr. Cheddi Jagan , Janet Jagan and leaders of the GIWU"
dev_0005,"The strike obtained political support from the Political Affairs Committee , and the workers were addressed at numerous public meetings by Dr. Cheddi Jagan , Janet Jagan and leaders of the GIWU .",the workers,had a,strike
dev_0005,"The strike obtained political support from the Political Affairs Committee , and the workers were addressed at numerous public meetings by Dr. Cheddi Jagan , Janet Jagan and leaders of the GIWU .",The strike,had,numerous public meetings
dev_0005,"The strike obtained political support from the Political Affairs Committee , and the workers were addressed at numerous public meetings by Dr. Cheddi Jagan , Janet Jagan and leaders of the GIWU .",The strike,obtained,"political support from Dr. Cheddi Jagan , Janet Jagan and leaders of the GIWU"
dev_0019,US 258 and NC 122 parallel the river north before the two routes diverge northeast of Tarboro .,US 258 and NC 122,parallel,the river north before the two routes diverge
dev_0019,US 258 and NC 122 parallel the river north before the two routes diverge northeast of Tarboro .,US 258,parallel,the river north before diverge
dev_0019,US 258 and NC 122 parallel the river north before the two routes diverge northeast of Tarboro .,NC 122,parallel,the river north before diverge
dev_0019,US 258 and NC 122 parallel the river north before the two routes diverge northeast of Tarboro .,the two routes,diverge,northeast of Tarboro
dev_0019,US 258 and NC 122 parallel the river north before the two routes diverge northeast of Tarboro .,US 258 and NC 122,diverge,northeast of Tarboro
dev_0356,"A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .",A number of rare and endemic,are adapted to,the unique limestone limestone of the mountains
dev_0356,"A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .",the limestone soils of the mountains,are,unique
dev_0356,"A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .",the cliffdweller,is adapted to,the unique limestone soils of the mountains
dev_0356,"A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .",the bristlecone cryptantha,is adapted to,the unique limestone soils of the mountains
dev_0356,"A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .",Inyo rock daisy,is adapted to,the unique limestone soils of the mountains
dev_0356,"A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .",cliffdweller,is,rare and endemic
dev_0356,"A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .",bristlecone cryptantha,is,rare and endemic
dev_0356,"A number of rare and endemic plants are adapted to the unique limestone soils of the mountains , including the cliffdweller , bristlecone cryptantha , and Inyo rock daisy .",Inyo rock daisy,is,rare and endemic
dev_0016,"These include any Assistant to the President , Deputy Assistant to the President , and Special Assistant to the President .",These,include,any Assistant to the President
dev_0016,"These include any Assistant to the President , Deputy Assistant to the President , and Special Assistant to the President .",These,include,any Deputy Assistant to the President
dev_0016,"These include any Assistant to the President , Deputy Assistant to the President , and Special Assistant to the President .",These,include,any Special Assistant to the President
dev_0236,He was awarded the Queen 's Police Medal in the 1957 New Year Honours .,He,was awarded,the Queen 's Police Medal
dev_0236,He was awarded the Queen 's Police Medal in the 1957 New Year Honours .,He,has,the Queen 's Police Medal
dev_0332,"with a .535 slugging percentage , and the Astros , where he batted .260 in 64 games , primarily at second base .",he,batted,".260 in 64 games , primarily at second base"
dev_0332,"with a .535 slugging percentage , and the Astros , where he batted .260 in 64 games , primarily at second base .",he,primarily batted  at,second base
dev_0332,"with a .535 slugging percentage , and the Astros , where he batted .260 in 64 games , primarily at second base .",he,has,.535 slugging percentage
dev_0332,"with a .535 slugging percentage , and the Astros , where he batted .260 in 64 games , primarily at second base .",he,is in,"the Astros , where he batted .260 in 64 games , primarily at second base"
dev_0332,"with a .535 slugging percentage , and the Astros , where he batted .260 in 64 games , primarily at second base .",he,"batted .260 in 64 games , with a .535 slugging percentage",primarily at second base
dev_0023,They are also known in Japan as `` Northern Territories '' .,They,are also known as,`` Northern Territories ''
dev_0260,She resigns after the events of `` The Last Precinct '' and relocates to Florida to become a private forensic consultant .,She,resigns,after the events of `` The Last Precinct ''
dev_0260,She resigns after the events of `` The Last Precinct '' and relocates to Florida to become a private forensic consultant .,She,relocates to,Florida
dev_0260,She resigns after the events of `` The Last Precinct '' and relocates to Florida to become a private forensic consultant .,She,becomes,a private forensic consultant
dev_0260,She resigns after the events of `` The Last Precinct '' and relocates to Florida to become a private forensic consultant .,`` The Last Precinct '',had,events
dev_0391,"Upon exiting Davidson Township , Sullivan County , Muncy Creek enters Lycoming County and flows along the border between Shrewsbury Township and Penn Township for several miles .",Muncy Creek,enters,Lycoming County
dev_0391,"Upon exiting Davidson Township , Sullivan County , Muncy Creek enters Lycoming County and flows along the border between Shrewsbury Township and Penn Township for several miles .",Muncy Creek,exits,"Davidson Township , Sullivan County"
dev_0391,"Upon exiting Davidson Township , Sullivan County , Muncy Creek enters Lycoming County and flows along the border between Shrewsbury Township and Penn Township for several miles .",Davidson Township,is in,Sullivan County
dev_0391,"Upon exiting Davidson Township , Sullivan County , Muncy Creek enters Lycoming County and flows along the border between Shrewsbury Township and Penn Township for several miles .",Muncy Creek,flows along for several miles,the border between Shrewsbury Township and Penn Township
dev_0391,"Upon exiting Davidson Township , Sullivan County , Muncy Creek enters Lycoming County and flows along the border between Shrewsbury Township and Penn Township for several miles .",the border,is between,Shrewsbury Township and Penn Township
dev_0337,"Although the villages were located close to industrial sites , they were generally physically separated from them and generally consisted of relatively high quality housing , with integrated community amenities and attractive physical environments .",the villages,were located close to,industrial sites
dev_0337,"Although the villages were located close to industrial sites , they were generally physically separated from them and generally consisted of relatively high quality housing , with integrated community amenities and attractive physical environments .",the villages,were generally physically separated from,the industrial sites
dev_0337,"Although the villages were located close to industrial sites , they were generally physically separated from them and generally consisted of relatively high quality housing , with integrated community amenities and attractive physical environments .",the villages,generally consisted of,relatively high quality housing
dev_0259,"The RSNO 's base is at Henry Wood Hall in Glasgow and is also used as its recording venue ; a new base is being constructed within the Royal Concert Hall , Buchanan Street .",The RSNO,has,a base
dev_0259,"The RSNO 's base is at Henry Wood Hall in Glasgow and is also used as its recording venue ; a new base is being constructed within the Royal Concert Hall , Buchanan Street .",Henry Wood Hall,is in,Glasgow
dev_0259,"The RSNO 's base is at Henry Wood Hall in Glasgow and is also used as its recording venue ; a new base is being constructed within the Royal Concert Hall , Buchanan Street .",The RSNO 's base,is also used as,its recording venue
dev_0259,"The RSNO 's base is at Henry Wood Hall in Glasgow and is also used as its recording venue ; a new base is being constructed within the Royal Concert Hall , Buchanan Street .",a new base,is being constructed,"within the Royal Concert Hall , Buchanan Street"
dev_0259,"The RSNO 's base is at Henry Wood Hall in Glasgow and is also used as its recording venue ; a new base is being constructed within the Royal Concert Hall , Buchanan Street .",the Royal Concert Hall,is on,Buchanan Street
dev_0361,Dripping can be clarified by adding a sliced raw potato and cooking until potato turns brown .,Dripping,can be clarified,by adding a sliced raw potato and cooking until potato turns brown
dev_0102,"A character notes some practical difficulties with such a map and states that `` we now use the country itself , as its own map , and I assure you it does nearly as well . ''",A character,has,a map
dev_0102,"A character notes some practical difficulties with such a map and states that `` we now use the country itself , as its own map , and I assure you it does nearly as well . ''",A character,notes,some practical difficulties
dev_0194,"Having returned to the Second Division at the first attempt , they gained promotion to the First Division in 1974 .",they,gained,promotion to the First Division
dev_0194,"Having returned to the Second Division at the first attempt , they gained promotion to the First Division in 1974 .",they,returned to,the Second Division at the first attempt
dev_0197,He stayed for less than a year before being appointed Chief Constable of Kent in July 1946 .,He,stayed,for less than a year
dev_0197,He stayed for less than a year before being appointed Chief Constable of Kent in July 1946 .,He,was appointed,Chief Constable
dev_0256,"In many of her writings , King often refers to the comical contradictions between the material reality of her upbringing and the snobbish behavior of her grandmother .",King,has,many writings
dev_0256,"In many of her writings , King often refers to the comical contradictions between the material reality of her upbringing and the snobbish behavior of her grandmother .",King,has,a grandmother
dev_0256,"In many of her writings , King often refers to the comical contradictions between the material reality of her upbringing and the snobbish behavior of her grandmother .",King,often refers to,the comical contradictions between the material reality of her upbringing and the snobbish behavior of her grandmother
dev_0256,"In many of her writings , King often refers to the comical contradictions between the material reality of her upbringing and the snobbish behavior of her grandmother .",King's grandmother,has,snobbish behavior
dev_0256,"In many of her writings , King often refers to the comical contradictions between the material reality of her upbringing and the snobbish behavior of her grandmother .",contradictions,are,comical
dev_0256,"In many of her writings , King often refers to the comical contradictions between the material reality of her upbringing and the snobbish behavior of her grandmother .",King's upbringing,has,material reality
dev_0133,McLay also suggests that the songs negate what many consider to be a `` heretical '' ending for a comedy .,McLay,also suggests that the songs negate,what many consider to be a `` heretical '' ending for a comedy
dev_0133,McLay also suggests that the songs negate what many consider to be a `` heretical '' ending for a comedy .,many,consider a comedy ending,`` heretical ''
dev_0347,Byrom Street Cutting became a runaway catch point for runaway trains in the tunnel .,Byrom Street Cutting,became,a runaway catch point for runaway trains
dev_0347,Byrom Street Cutting became a runaway catch point for runaway trains in the tunnel .,Byrom Street Cutting,is,a runaway catch point for runaway trains
dev_0298,"The division maintained defensive positions until the offensive of 23 May , when it broke out of the beachhead , took Cisterna , and raced to Civitavecchia and Rome .",The division,maintained,defensive positions
dev_0298,"The division maintained defensive positions until the offensive of 23 May , when it broke out of the beachhead , took Cisterna , and raced to Civitavecchia and Rome .",the offensive,was on,23 May
dev_0298,"The division maintained defensive positions until the offensive of 23 May , when it broke out of the beachhead , took Cisterna , and raced to Civitavecchia and Rome .",The division,broke out of,the beachhead
dev_0298,"The division maintained defensive positions until the offensive of 23 May , when it broke out of the beachhead , took Cisterna , and raced to Civitavecchia and Rome .",The division,took,Cisterna
dev_0298,"The division maintained defensive positions until the offensive of 23 May , when it broke out of the beachhead , took Cisterna , and raced to Civitavecchia and Rome .",The division,raced to,Civitavecchia
dev_0298,"The division maintained defensive positions until the offensive of 23 May , when it broke out of the beachhead , took Cisterna , and raced to Civitavecchia and Rome .",The division,raced to,Rome
dev_0392,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",The novel,follows,Cashel Byron
dev_0392,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",Cashel Byron,is,a world champion prizefighter
dev_0392,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",Cashel Byron,tries to woo,wealthy aristocrat Lydia Carew
dev_0392,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",Lydia Carew,is,wealthy
dev_0392,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",Lydia Carew,is,an aristocrat
dev_0392,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",Cashel Byron,has,an illegal profession
dev_0392,"The novel follows Cashel Byron , a world champion prizefighter , as he tries to woo wealthy aristocrat Lydia Carew without revealing his illegal profession .",Cashel Byron,tries to woo without revealing,his illegal profession
dev_0234,A different judge then ordered the case reviewed by a higher court .,A different judge,ordered,the case reviewed by a higher court
dev_0234,A different judge then ordered the case reviewed by a higher court .,the case,was reviewed,by a higher court
dev_0338,"In 1717 Lady Mary Wortley Montagu observed the practice in Istanbul and attempted to popularize it in Britain , but encountered considerable resistance .",Lady Mary Wortley Montagu,observed,the practice
dev_0338,"In 1717 Lady Mary Wortley Montagu observed the practice in Istanbul and attempted to popularize it in Britain , but encountered considerable resistance .",Lady Mary Wortley Montagu,attempted to popularize,the practice
dev_0338,"In 1717 Lady Mary Wortley Montagu observed the practice in Istanbul and attempted to popularize it in Britain , but encountered considerable resistance .",Lady Mary Wortley Montagu,encountered,considerable resistance
dev_0338,"In 1717 Lady Mary Wortley Montagu observed the practice in Istanbul and attempted to popularize it in Britain , but encountered considerable resistance .",considerable resistance,was to popularize,the practice
dev_0338,"In 1717 Lady Mary Wortley Montagu observed the practice in Istanbul and attempted to popularize it in Britain , but encountered considerable resistance .",Mary Wortley Montagu,was,a Lady
dev_0326,"Wallonia is also home to about 80 % of the population of the French Community of Belgium , a political level responsible for matters related mainly to culture and education , with the remainder living in Brussels .",Wallonia,is home to about 80 % of the,population of the French Community of Belgium
dev_0326,"Wallonia is also home to about 80 % of the population of the French Community of Belgium , a political level responsible for matters related mainly to culture and education , with the remainder living in Brussels .",Wallonia,is home to 80 % of the population of the French Community of,Belgium
dev_0326,"Wallonia is also home to about 80 % of the population of the French Community of Belgium , a political level responsible for matters related mainly to culture and education , with the remainder living in Brussels .",Wallonia,is home to 80 % of the population with the remainder living in,Brussels
dev_0242,"For liquid-packed vessels , thermal relief valves are generally characterized by the relatively small size of the valve necessary to provide protection from excess pressure caused by thermal expansion .",liquid-packed vessels,have,thermal relief valves
dev_0242,"For liquid-packed vessels , thermal relief valves are generally characterized by the relatively small size of the valve necessary to provide protection from excess pressure caused by thermal expansion .",thermal relief valves,are generally characterized by,the relatively small size of the valve necessary to provide protection from excess pressure caused by thermal expansion
dev_0242,"For liquid-packed vessels , thermal relief valves are generally characterized by the relatively small size of the valve necessary to provide protection from excess pressure caused by thermal expansion .",excess pressure,is caused by,thermal expansion
dev_0242,"For liquid-packed vessels , thermal relief valves are generally characterized by the relatively small size of the valve necessary to provide protection from excess pressure caused by thermal expansion .",the valve,provides protection from,excess pressure caused by thermal expansion
dev_0242,"For liquid-packed vessels , thermal relief valves are generally characterized by the relatively small size of the valve necessary to provide protection from excess pressure caused by thermal expansion .",liquid-packed vessels,generally have,relatively small thermal relief valves
dev_0057,The Original Celtics were a barnstorming professional basketball team in the 1920s .,The Original Celtics,were,a barnstorming professional basketball team
dev_0205,"As the student of Torah ascends through the thought of the Pardes system , as the interpretations become more inward and spiritual , it becomes progressively understood that God desires man 's observance of the Jewish precepts , so to speak .",the student of Torah,ascends through,the thought of the Pardes system
dev_0205,"As the student of Torah ascends through the thought of the Pardes system , as the interpretations become more inward and spiritual , it becomes progressively understood that God desires man 's observance of the Jewish precepts , so to speak .",the interpretations,become more,inward
dev_0205,"As the student of Torah ascends through the thought of the Pardes system , as the interpretations become more inward and spiritual , it becomes progressively understood that God desires man 's observance of the Jewish precepts , so to speak .",the interpretations,become more,spiritual
dev_0205,"As the student of Torah ascends through the thought of the Pardes system , as the interpretations become more inward and spiritual , it becomes progressively understood that God desires man 's observance of the Jewish precepts , so to speak .",it,becomes,progressively understood that God desires man 's observance of the Jewish precepts
dev_0205,"As the student of Torah ascends through the thought of the Pardes system , as the interpretations become more inward and spiritual , it becomes progressively understood that God desires man 's observance of the Jewish precepts , so to speak .",God,desires,man 's observance of the Jewish precepts
dev_0186,Just above seen is a replica of a Shiva lingam .,a replica of a Shiva lingam,is seen,Just above
dev_0226,"Around the `` triangle area , '' which includes Quanzhou , Xiamen and Zhangzhou , locals all speak Minnan languages .",the triangle area,includes,Quanzhou
dev_0226,"Around the `` triangle area , '' which includes Quanzhou , Xiamen and Zhangzhou , locals all speak Minnan languages .",the triangle area,includes,Xiamen
dev_0226,"Around the `` triangle area , '' which includes Quanzhou , Xiamen and Zhangzhou , locals all speak Minnan languages .",the triangle area,includes,Zhangzhou
dev_0226,"Around the `` triangle area , '' which includes Quanzhou , Xiamen and Zhangzhou , locals all speak Minnan languages .",locals,speak,Minnan languages
dev_0223,"This used the section of the C&HP line from Buxton as far as Parsley Hay , from where a single line ran south to Ashbourne , where it connected with the North Staffordshire Railway .",This,used,the section of the C&HP line
dev_0223,"This used the section of the C&HP line from Buxton as far as Parsley Hay , from where a single line ran south to Ashbourne , where it connected with the North Staffordshire Railway .",a single line,ran,south to Ashbourne
dev_0223,"This used the section of the C&HP line from Buxton as far as Parsley Hay , from where a single line ran south to Ashbourne , where it connected with the North Staffordshire Railway .",a single line,connected with,the North Staffordshire Railway
dev_0072,"Though this form of violence is often portrayed as an issue within the context of heterosexual relationships , it also occurs in lesbian relationships , daughter-mother relationships , roommate relationships and other domestic relationships involving two women .",this form of violence,is often portrayed as,an issue within the context of heterosexual relationships
dev_0072,"Though this form of violence is often portrayed as an issue within the context of heterosexual relationships , it also occurs in lesbian relationships , daughter-mother relationships , roommate relationships and other domestic relationships involving two women .",this form of violence,occurs in,lesbian relationships
dev_0072,"Though this form of violence is often portrayed as an issue within the context of heterosexual relationships , it also occurs in lesbian relationships , daughter-mother relationships , roommate relationships and other domestic relationships involving two women .",this form of violence,occurs in,daughter-mother relationships
dev_0072,"Though this form of violence is often portrayed as an issue within the context of heterosexual relationships , it also occurs in lesbian relationships , daughter-mother relationships , roommate relationships and other domestic relationships involving two women .",this form of violence,occurs in,roommate relationships
dev_0072,"Though this form of violence is often portrayed as an issue within the context of heterosexual relationships , it also occurs in lesbian relationships , daughter-mother relationships , roommate relationships and other domestic relationships involving two women .",occurs in,this form of violence,domestic relationships involving two women
dev_0337,"Although the villages were located close to industrial sites , they were generally physically separated from them and generally consisted of relatively high quality housing , with integrated community amenities and attractive physical environments .",the high quality housing,had,integrated community amenities
dev_0337,"Although the villages were located close to industrial sites , they were generally physically separated from them and generally consisted of relatively high quality housing , with integrated community amenities and attractive physical environments .",the high quality housing,had,attractive physical environments
dev_0168,"The second session , taking place on November 12 , 1960 , produced Joe Primrose 's `` St. James Infirmary '' and the sad and mood `` I 've Just Got to Forget You '' .",The second session,produced,Joe Primrose 's `` St. James Infirmary '' and the sad and mood `` I 've Just Got to Forget You ''
dev_0168,"The second session , taking place on November 12 , 1960 , produced Joe Primrose 's `` St. James Infirmary '' and the sad and mood `` I 've Just Got to Forget You '' .",`` I 've Just Got to Forget You '',was,sad and mood
dev_0168,"The second session , taking place on November 12 , 1960 , produced Joe Primrose 's `` St. James Infirmary '' and the sad and mood `` I 've Just Got to Forget You '' .",The second session,was taking place,"on November 12 , 1960"
dev_0168,"The second session , taking place on November 12 , 1960 , produced Joe Primrose 's `` St. James Infirmary '' and the sad and mood `` I 've Just Got to Forget You '' .",`` St. James Infirmary '',was,Joe Primrose 's
dev_0168,"The second session , taking place on November 12 , 1960 , produced Joe Primrose 's `` St. James Infirmary '' and the sad and mood `` I 've Just Got to Forget You '' .",`` St. James Infirmary '' and the sad and mood `` I 've Just Got to Forget You '',were produced,"on November 12 , 1960"
dev_0168,"The second session , taking place on November 12 , 1960 , produced Joe Primrose 's `` St. James Infirmary '' and the sad and mood `` I 've Just Got to Forget You '' .",was,`` I 've Just Got to Forget You '',Joe Primrose 's
dev_0182,23.8 % of all households were made up of individuals and 13.0 % had someone living alone who was 65 years of age or older .,23.8 % of all households,made up of,individuals
dev_0182,23.8 % of all households were made up of individuals and 13.0 % had someone living alone who was 65 years of age or older .,13.0 % of all households,have,someone living alone who 65 years or older;
dev_0055,"He held the post as Attorney-General until 1834 ; he was readmitted in 1841 and after serving for a year , became Master of the Rolls in Ireland .",He,held,the post as Attorney-General
dev_0055,"He held the post as Attorney-General until 1834 ; he was readmitted in 1841 and after serving for a year , became Master of the Rolls in Ireland .",He,was readmitted,in 1841
dev_0055,"He held the post as Attorney-General until 1834 ; he was readmitted in 1841 and after serving for a year , became Master of the Rolls in Ireland .",He,became,Master of the Rolls
dev_0069,She began her film career in 1947 in the film `` A New Oath '' .,She,began,her film career
dev_0069,She began her film career in 1947 in the film `` A New Oath '' .,`` A New Oath '',is,a film
dev_0069,She began her film career in 1947 in the film `` A New Oath '' .,She,was in,the film `` A New Oath ''
dev_0069,She began her film career in 1947 in the film `` A New Oath '' .,her career,was in,film
dev_0118,"Continuing duties specified for freed slaves in manumission agreements became more common into the Hellenistic era , and they may have been customary earlier .",Continuing duties specified for freed slaves,became,more common
dev_0118,"Continuing duties specified for freed slaves in manumission agreements became more common into the Hellenistic era , and they may have been customary earlier .",Continuing duties specified for freed slaves,may have been,customary
dev_0118,"Continuing duties specified for freed slaves in manumission agreements became more common into the Hellenistic era , and they may have been customary earlier .",Continuing duties,were specified for,freed slaves
dev_0204,"He returned to Cleveland , working in clubs as a singer , dancer , and comedian , often appearing in character as Prince DuMarr .",He,returned to,Cleveland
dev_0204,"He returned to Cleveland , working in clubs as a singer , dancer , and comedian , often appearing in character as Prince DuMarr .",He returned to Cleveland,working in clubs as a,singer
dev_0204,"He returned to Cleveland , working in clubs as a singer , dancer , and comedian , often appearing in character as Prince DuMarr .",He returned to Cleveland,working in clubs as a,dancer
dev_0204,"He returned to Cleveland , working in clubs as a singer , dancer , and comedian , often appearing in character as Prince DuMarr .",He returned to Cleveland,working in clubs as a,comedian
dev_0204,"He returned to Cleveland , working in clubs as a singer , dancer , and comedian , often appearing in character as Prince DuMarr .",He,often appeared in character as,Prince DuMarr
dev_0225,The Israeli controlled sector was captured by Israel in the Six-Day War of June 1967 .,The Israeli controlled sector,was captured by,Israel
dev_0225,The Israeli controlled sector was captured by Israel in the Six-Day War of June 1967 .,The sector,was,Israeli controlled
dev_0029,"Voyslava has killed Mlada , Yaromir 's bride , to have him for herself .",Voyslava,has killed,Yaromir 's bride
dev_0029,"Voyslava has killed Mlada , Yaromir 's bride , to have him for herself .",Voyslava,has killed,Mlada
dev_0029,"Voyslava has killed Mlada , Yaromir 's bride , to have him for herself .",Mlada,is bride of,Yaromir
dev_0318,"Here , equality between the two vectors in homogeneous coordinates means that the numbers on the right side are equal to the numbers on the left side up to some common scaling factor formula_8 .",equality,is between,the two vectors
dev_0318,"Here , equality between the two vectors in homogeneous coordinates means that the numbers on the right side are equal to the numbers on the left side up to some common scaling factor formula_8 .",equality between the two vectors in homogeneous coordinates,means that,the numbers on the right side are equal to the numbers on the left side
