sent_id,sentence,Subject,Predicate,Object,error_type
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Joseph Goebbels,not declared,total war,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Joseph Goebbels,not declared,war,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Joseph Goebbels,not closed,all theatres,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Joseph Goebbels,not closed,theatres,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Joseph Goebbels,not closed,theatres within the third reich resulting,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Joseph Goebbels,not closed,all,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Joseph Goebbels,not closed,Third Reich,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Joseph Goebbels,not declared,total,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Joseph Goebbels,not declared,declared total war,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Joseph Goebbels,not closed,theatres within,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Joseph Goebbels,not closed,closed all theatres within the third reich,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Joseph Goebbels,not closed,theatres within the,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",The 20 July plot,not was,to assassinate Hitler,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",The 20 July plot,not was,plot,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",The 20 July plot,not was,to assassinate,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",The 20 July plot,not was,assassinate Hitler,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Hitler,not was,assassinate,low_support
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Hitler,not was,the 20 july plot to assassinate,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",Hitler,not was,plot to assassinate,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",The Third Reich,not was,closed,contradiction_or_false
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",The Third Reich,not was,closed all theatres,low_support
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",The Third Reich,not was,joseph goebbels declared total war and closed,low_support
sent_0061,"Arrangements were made for mid-August performances in 1944 , but , following the 20 July plot to assassinate Hitler , Joseph Goebbels declared `` total war '' and closed all theatres within the Third Reich , resulting in the work not being allowed a public staging .",The Third Reich,not was,closed all theatres,low_support
sent_0071,"Blackburne 's statement that he `` would not tolerate a refusal to ratify the appointment '' , is an indication of the influence which could then be wielded by a strong Attorney General .",Blackburne,could not would,the influence,contradiction_or_false
sent_0071,"Blackburne 's statement that he `` would not tolerate a refusal to ratify the appointment '' , is an indication of the influence which could then be wielded by a strong Attorney General .",influence,not can be,wielded,contradiction_or_false
sent_0071,"Blackburne 's statement that he `` would not tolerate a refusal to ratify the appointment '' , is an indication of the influence which could then be wielded by a strong Attorney General .",Attorney General,could not is,indication of the influence,contradiction_or_false
sent_0073,"However , the two sometimes work as partners , and during a point in which Robin and Ariana were unable to see each other , he and Stephanie grow even closer .",Robin,unable work,partners,contradiction_or_false
sent_0073,"However , the two sometimes work as partners , and during a point in which Robin and Ariana were unable to see each other , he and Stephanie grow even closer .",Robin,unable work,Stephanie,contradiction_or_false
sent_0073,"However , the two sometimes work as partners , and during a point in which Robin and Ariana were unable to see each other , he and Stephanie grow even closer .",Ariana,unable work,partners,contradiction_or_false
sent_0073,"However , the two sometimes work as partners , and during a point in which Robin and Ariana were unable to see each other , he and Stephanie grow even closer .",Ariana,unable work,Robin,low_support
sent_0073,"However , the two sometimes work as partners , and during a point in which Robin and Ariana were unable to see each other , he and Stephanie grow even closer .",Robin,unable grow,closer,contradiction_or_false
sent_0073,"However , the two sometimes work as partners , and during a point in which Robin and Ariana were unable to see each other , he and Stephanie grow even closer .",Stephanie,unable grow,closer,contradiction_or_false
sent_0075,"His elder brother , Conte Quinto Mazzolini , served as Italian consul in Jerusalem , and undertook negotiations with Abraham Stern , head of the Lehi terrorist group , which sought to obtain Italian recognition of Jewish sovereignty in Palestine in exchange for placing Zionism under the aegis of Italian fascism .",Conte Quinto Mazzolini,sought,recognition of Jewish sovereignty in Palestine,low_support
sent_0075,"His elder brother , Conte Quinto Mazzolini , served as Italian consul in Jerusalem , and undertook negotiations with Abraham Stern , head of the Lehi terrorist group , which sought to obtain Italian recognition of Jewish sovereignty in Palestine in exchange for placing Zionism under the aegis of Italian fascism .",Conte Quinto Mazzolini,sought,placing Zionism under the aegis of Italian fascism,low_support
sent_0076,"In the first volume of the series , The Noh 's nature and background is explained .",The series,has volume,first,low_support
sent_0078,"Overseas teams would not return to Russia until 1998 , when a youth tournament was held in Moscow .",Overseas teams,would not return,Russia,low_support
sent_0078,"Overseas teams would not return to Russia until 1998 , when a youth tournament was held in Moscow .",Overseas teams,not return,1998,contradiction_or_false
sent_0078,"Overseas teams would not return to Russia until 1998 , when a youth tournament was held in Moscow .",Overseas teams,not return,Moscow,contradiction_or_false
sent_0078,"Overseas teams would not return to Russia until 1998 , when a youth tournament was held in Moscow .",Russia,would not return,Overseas teams,contradiction_or_false
sent_0078,"Overseas teams would not return to Russia until 1998 , when a youth tournament was held in Moscow .",A youth tournament,not is held,Moscow,contradiction_or_false
sent_0085,"Charles prorogued parliament on 25 June , but the army was not disbanded , which worried Shaftesbury .",Charles,not prorogued,parliament,contradiction_or_false
sent_0085,"Charles prorogued parliament on 25 June , but the army was not disbanded , which worried Shaftesbury .",parliament,not was,prorogued,contradiction_or_false
sent_0088,"His son , John Crozier , Jr. , was an early aviation pioneer who began building a human-powered flying machine in the 1890s , but was killed in a feud in Grainger County before he could complete it .",John Crozier Jr.,could building,a human-powered flying machine,low_support
sent_0088,"His son , John Crozier , Jr. , was an early aviation pioneer who began building a human-powered flying machine in the 1890s , but was killed in a feud in Grainger County before he could complete it .",John Crozier Jr.,could was,killed,low_support
sent_0088,"His son , John Crozier , Jr. , was an early aviation pioneer who began building a human-powered flying machine in the 1890s , but was killed in a feud in Grainger County before he could complete it .",John Crozier Jr.,could in,Grainger County,low_support
sent_0088,"His son , John Crozier , Jr. , was an early aviation pioneer who began building a human-powered flying machine in the 1890s , but was killed in a feud in Grainger County before he could complete it .",John Crozier Jr.,could before,he could complete it,low_support
sent_0092,"Following his death , a statue of Sir Arthur was erected behind the National Archives of Canada , overlooking the Ottawa River This is one of only two statues of civil servants erected in Ottawa , both during MacKenzie King 's tenure as Prime Minister .",statue,behind,National Archives of Canada,low_support
sent_0092,"Following his death , a statue of Sir Arthur was erected behind the National Archives of Canada , overlooking the Ottawa River This is one of only two statues of civil servants erected in Ottawa , both during MacKenzie King 's tenure as Prime Minister .",MacKenzie King,erected,statue,low_support
sent_0104,"That method relies heavily on inductive logic , seeking to show that his Christian beliefs fit best with the evidence .",His Christian beliefs,fit,evidence,low_support
sent_0105,"Often , objects are so far away that they do not contribute significantly to the final image .",objects,not be,away,contradiction_or_false
sent_0105,"Often , objects are so far away that they do not contribute significantly to the final image .",objects,not be,far,contradiction_or_false
sent_0110,"Legislation sponsored by Sweeney and signed into law provides state pensions to surviving family members of police , firefighters and emergency services workers who die in the line of duty , as well as the law that removes the remarriage prohibition to receive death benefits for spouses of police officers and firefighters killed while serving the public good .",Legislation,provides,police,low_support
sent_0110,"Legislation sponsored by Sweeney and signed into law provides state pensions to surviving family members of police , firefighters and emergency services workers who die in the line of duty , as well as the law that removes the remarriage prohibition to receive death benefits for spouses of police officers and firefighters killed while serving the public good .",Legislation,removes,death benefits,low_support
sent_0110,"Legislation sponsored by Sweeney and signed into law provides state pensions to surviving family members of police , firefighters and emergency services workers who die in the line of duty , as well as the law that removes the remarriage prohibition to receive death benefits for spouses of police officers and firefighters killed while serving the public good .",Legislation,removes,spouses,low_support
sent_0110,"Legislation sponsored by Sweeney and signed into law provides state pensions to surviving family members of police , firefighters and emergency services workers who die in the line of duty , as well as the law that removes the remarriage prohibition to receive death benefits for spouses of police officers and firefighters killed while serving the public good .",Legislation,removes,police officers,contradiction_or_false
sent_0110,"Legislation sponsored by Sweeney and signed into law provides state pensions to surviving family members of police , firefighters and emergency services workers who die in the line of duty , as well as the law that removes the remarriage prohibition to receive death benefits for spouses of police officers and firefighters killed while serving the public good .",Legislation,removes,firefighters,contradiction_or_false
sent_0111,"If the introduced surface had an ionic or polar nature , there would be water molecules standing upright on 1 or 2 of the four sp3 orbitals .",surface,has nature,polar,low_support
sent_0117,"The British Army had been shown to be overstretched by the Crimean War , while the mutiny in India had led to the responsibility for providing a garrison in the subcontinent from the Honourable East India Company to the Crown forces .",Honourable East India Company,had responsibility,providing a garrison,low_support
sent_0119,"Mark and Marisa , the Drive Time presenters , made the announcement live on air at 5.20 pm GMT and both the staff 's personal emails and the stations website was closed shortly thereafter 10pm GMT .",Marisa,made,announcement,low_support
sent_0123,"For patients who do not recover quickly , the protocol also includes support groups and/or psychotherapy .",patients,not includes,support groups,contradiction_or_false
sent_0123,"For patients who do not recover quickly , the protocol also includes support groups and/or psychotherapy .",patients,not includes,psychotherapy,contradiction_or_false
sent_0124,"The narrator does not end up being sexually assaulted ; instead , she has grabbed her suitcase and fled the compartment .",The narrator,not has,suitcase,contradiction_or_false
sent_0124,"The narrator does not end up being sexually assaulted ; instead , she has grabbed her suitcase and fled the compartment .",The narrator,not grabbed,suitcase,contradiction_or_false
sent_0124,"The narrator does not end up being sexually assaulted ; instead , she has grabbed her suitcase and fled the compartment .",The narrator,not fled,compartment,contradiction_or_false
sent_0124,"The narrator does not end up being sexually assaulted ; instead , she has grabbed her suitcase and fled the compartment .",The narrator,not has,fled,contradiction_or_false
sent_0125,"Thomas soon became a regular in the Arsenal side , making his league debut on 14 February 1987 in a 1-1 draw with Sheffield Wednesday at Hillsborough .",Arsenal,became,the Arsenal side,low_support
sent_0125,"Thomas soon became a regular in the Arsenal side , making his league debut on 14 February 1987 in a 1-1 draw with Sheffield Wednesday at Hillsborough .",Arsenal,became,the Arsenal,low_support
sent_0125,"Thomas soon became a regular in the Arsenal side , making his league debut on 14 February 1987 in a 1-1 draw with Sheffield Wednesday at Hillsborough .",Arsenal,became,14 february 1987,low_support
sent_0125,"Thomas soon became a regular in the Arsenal side , making his league debut on 14 February 1987 in a 1-1 draw with Sheffield Wednesday at Hillsborough .",Arsenal,became,sheffield wednesday,contradiction_or_false
sent_0125,"Thomas soon became a regular in the Arsenal side , making his league debut on 14 February 1987 in a 1-1 draw with Sheffield Wednesday at Hillsborough .",Arsenal,became,hillsborough,contradiction_or_false
sent_0125,"Thomas soon became a regular in the Arsenal side , making his league debut on 14 February 1987 in a 1-1 draw with Sheffield Wednesday at Hillsborough .",Arsenal,became,14 february 1987,low_support
sent_0125,"Thomas soon became a regular in the Arsenal side , making his league debut on 14 February 1987 in a 1-1 draw with Sheffield Wednesday at Hillsborough .",Arsenal,became,sheffield wednesday,contradiction_or_false
sent_0125,"Thomas soon became a regular in the Arsenal side , making his league debut on 14 February 1987 in a 1-1 draw with Sheffield Wednesday at Hillsborough .",Arsenal,became,hillsborough,contradiction_or_false
sent_0125,"Thomas soon became a regular in the Arsenal side , making his league debut on 14 February 1987 in a 1-1 draw with Sheffield Wednesday at Hillsborough .",Arsenal,became,14 february 1987,low_support
sent_0125,"Thomas soon became a regular in the Arsenal side , making his league debut on 14 February 1987 in a 1-1 draw with Sheffield Wednesday at Hillsborough .",Arsenal,became,sheffield wednesday,contradiction_or_false
sent_0125,"Thomas soon became a regular in the Arsenal side , making his league debut on 14 February 1987 in a 1-1 draw with Sheffield Wednesday at Hillsborough .",Arsenal,became,hillsborough,contradiction_or_false
sent_0125,"Thomas soon became a regular in the Arsenal side , making his league debut on 14 February 1987 in a 1-1 draw with Sheffield Wednesday at Hillsborough .",Arsenal,became,14 february 1987,low_support
sent_0125,"Thomas soon became a regular in the Arsenal side , making his league debut on 14 February 1987 in a 1-1 draw with Sheffield Wednesday at Hillsborough .",Arsenal,became,sheffield wednesday,contradiction_or_false
sent_0125,"Thomas soon became a regular in the Arsenal side , making his league debut on 14 February 1987 in a 1-1 draw with Sheffield Wednesday at Hillsborough .",Arsenal,became,hillsborough,contradiction_or_false
sent_0125,"Thomas soon became a regular in the Arsenal side , making his league debut on 14 February 1987 in a 1-1 draw with Sheffield Wednesday at Hillsborough .",Arsenal,became,sheffield wednesday at hillsborough,contradiction_or_false
sent_0125,"Thomas soon became a regular in the Arsenal side , making his league debut on 14 February 1987 in a 1-1 draw with Sheffield Wednesday at Hillsborough .",Arsenal,became,14 february 1987 in,low_support
sent_0128,"Charles delayed declaring war , however , leading Shaftesbury to support a resolution of the House of Commons providing for immediately disbanding the army that Charles was raising .",Charles,leading,Shaftesbury,low_support
sent_0142,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",New York City,not is iconic,Americans,contradiction_or_false
sent_0142,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",New York City,not is iconic,Europeans,contradiction_or_false
sent_0142,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",New York City,not is,city,contradiction_or_false
sent_0142,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",New York City,not is,melting pot,contradiction_or_false
sent_0142,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",Americans,not consider,New York City,contradiction_or_false
sent_0142,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",Europeans,not consider,New York City,contradiction_or_false
sent_0142,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",New York City,not has,ethnic groups,contradiction_or_false
sent_0142,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",New York City,not has,neighborhoods,contradiction_or_false
sent_0142,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",New York City,not has,Chinatown,contradiction_or_false
sent_0142,"New York City is iconic not only for Americans , but also for many Europeans as the city of melting pot where many ethnic groups live , often in specific neighborhoods , such as Chinatown , Little Italy .",New York City,not has,Little Italy,contradiction_or_false
sent_0144,Ely Cathedral was never vaulted and retains a wooden ceiling over the nave .,Ely Cathedral,never has,wooden ceiling,contradiction_or_false
sent_0144,Ely Cathedral was never vaulted and retains a wooden ceiling over the nave .,Ely Cathedral,never retains,wooden ceiling,contradiction_or_false
sent_0144,Ely Cathedral was never vaulted and retains a wooden ceiling over the nave .,Ely Cathedral,never has,nave,contradiction_or_false
sent_0146,"Five years later , Alvarez was reunited with his family in New York and his father was able to start a business in Hoboken , New Jersey .",father,was,start,low_support
sent_0146,"Five years later , Alvarez was reunited with his family in New York and his father was able to start a business in Hoboken , New Jersey .",father,was,Hoboken,low_support
sent_0146,"Five years later , Alvarez was reunited with his family in New York and his father was able to start a business in Hoboken , New Jersey .",father,was,New Jersey,low_support
sent_0146,"Five years later , Alvarez was reunited with his family in New York and his father was able to start a business in Hoboken , New Jersey .",business,was,New Jersey,low_support
