sent_id,sentence,Subject,Predicate,Object
sent_0017,"Upon exiting Davidson Township , Sullivan County , Muncy Creek enters Lycoming County and flows along the border between Shrewsbury Township and Penn Township for several miles .",Muncy Creek,flows along,border
sent_0017,"Upon exiting Davidson Township , Sullivan County , Muncy Creek enters Lycoming County and flows along the border between Shrewsbury Township and Penn Township for several miles .",Muncy Creek,flows along,Shrewsbury Township
sent_0017,"Upon exiting Davidson Township , Sullivan County , Muncy Creek enters Lycoming County and flows along the border between Shrewsbury Township and Penn Township for several miles .",Muncy Creek,flows along,Penn Township
sent_0018,"Although the villages were located close to industrial sites , they were generally physically separated from them and generally consisted of relatively high quality housing , with integrated community amenities and attractive physical environments .",villages,located,industrial sites
sent_0018,"Although the villages were located close to industrial sites , they were generally physically separated from them and generally consisted of relatively high quality housing , with integrated community amenities and attractive physical environments .",villages,were,physically separated
sent_0018,"Although the villages were located close to industrial sites , they were generally physically separated from them and generally consisted of relatively high quality housing , with integrated community amenities and attractive physical environments .",villages,consisted,high quality housing
sent_0018,"Although the villages were located close to industrial sites , they were generally physically separated from them and generally consisted of relatively high quality housing , with integrated community amenities and attractive physical environments .",industrial sites,were,located
sent_0018,"Although the villages were located close to industrial sites , they were generally physically separated from them and generally consisted of relatively high quality housing , with integrated community amenities and attractive physical environments .",industrial sites,were,the villages were located close
sent_0019,"The RSNO 's base is at Henry Wood Hall in Glasgow and is also used as its recording venue ; a new base is being constructed within the Royal Concert Hall , Buchanan Street .",RSNO,has base,Henry Wood Hall
sent_0019,"The RSNO 's base is at Henry Wood Hall in Glasgow and is also used as its recording venue ; a new base is being constructed within the Royal Concert Hall , Buchanan Street .",RSNO,is used as,recording venue
sent_0019,"The RSNO 's base is at Henry Wood Hall in Glasgow and is also used as its recording venue ; a new base is being constructed within the Royal Concert Hall , Buchanan Street .",RSNO,has base,Royal Concert Hall
sent_0019,"The RSNO 's base is at Henry Wood Hall in Glasgow and is also used as its recording venue ; a new base is being constructed within the Royal Concert Hall , Buchanan Street .",Royal Concert Hall,is located at,Buchanan Street
sent_0019,"The RSNO 's base is at Henry Wood Hall in Glasgow and is also used as its recording venue ; a new base is being constructed within the Royal Concert Hall , Buchanan Street .",Royal Concert Hall,is being constructed,new base
sent_0019,"The RSNO 's base is at Henry Wood Hall in Glasgow and is also used as its recording venue ; a new base is being constructed within the Royal Concert Hall , Buchanan Street .",RSNO,has new base,Royal Concert Hall
sent_0020,Dripping can be clarified by adding a sliced raw potato and cooking until potato turns brown .,Dripping,can be clarified,adding
sent_0020,Dripping can be clarified by adding a sliced raw potato and cooking until potato turns brown .,Dripping,can be clarified,sliced raw potato
sent_0020,Dripping can be clarified by adding a sliced raw potato and cooking until potato turns brown .,sliced raw potato,can is added,Dripping
sent_0020,Dripping can be clarified by adding a sliced raw potato and cooking until potato turns brown .,sliced raw potato,can is cooked,until
sent_0020,Dripping can be clarified by adding a sliced raw potato and cooking until potato turns brown .,sliced raw potato,can turns,brown
sent_0021,"A character notes some practical difficulties with such a map and states that `` we now use the country itself , as its own map , and I assure you it does nearly as well . ''",character,notes,practical difficulties
sent_0021,"A character notes some practical difficulties with such a map and states that `` we now use the country itself , as its own map , and I assure you it does nearly as well . ''",country,is,its own map
sent_0021,"A character notes some practical difficulties with such a map and states that `` we now use the country itself , as its own map , and I assure you it does nearly as well . ''",map,does,nearly as well
sent_0022,"Having returned to the Second Division at the first attempt , they gained promotion to the First Division in 1974 .",They,returned,the Second Division
sent_0022,"Having returned to the Second Division at the first attempt , they gained promotion to the First Division in 1974 .",They,gained,promotion
sent_0022,"Having returned to the Second Division at the first attempt , they gained promotion to the First Division in 1974 .",They,gained,promotion to the First Division
sent_0022,"Having returned to the Second Division at the first attempt , they gained promotion to the First Division in 1974 .",They,gained,promotion
sent_0022,"Having returned to the Second Division at the first attempt , they gained promotion to the First Division in 1974 .",They,gained promotion to,the First Division
sent_0022,"Having returned to the Second Division at the first attempt , they gained promotion to the First Division in 1974 .",They,gained promotion in,1974
sent_0022,"Having returned to the Second Division at the first attempt , they gained promotion to the First Division in 1974 .",They,returned,at the first attempt
sent_0022,"Having returned to the Second Division at the first attempt , they gained promotion to the First Division in 1974 .",They,gained,the First Division
sent_0022,"Having returned to the Second Division at the first attempt , they gained promotion to the First Division in 1974 .",They,gained,in 1974
sent_0023,He stayed for less than a year before being appointed Chief Constable of Kent in July 1946 .,He,stayed,less than a year
sent_0023,He stayed for less than a year before being appointed Chief Constable of Kent in July 1946 .,He,being appointed,Chief Constable of Kent
sent_0023,He stayed for less than a year before being appointed Chief Constable of Kent in July 1946 .,He,appointed,Chief Constable of Kent
sent_0024,"In many of her writings , King often refers to the comical contradictions between the material reality of her upbringing and the snobbish behavior of her grandmother .",King,refers to,writings
sent_0024,"In many of her writings , King often refers to the comical contradictions between the material reality of her upbringing and the snobbish behavior of her grandmother .",King,refers to,contradictions
sent_0024,"In many of her writings , King often refers to the comical contradictions between the material reality of her upbringing and the snobbish behavior of her grandmother .",King,refers to,material reality
sent_0024,"In many of her writings , King often refers to the comical contradictions between the material reality of her upbringing and the snobbish behavior of her grandmother .",King,refers to,upbringing
sent_0024,"In many of her writings , King often refers to the comical contradictions between the material reality of her upbringing and the snobbish behavior of her grandmother .",King,refers to,grandmother
sent_0024,"In many of her writings , King often refers to the comical contradictions between the material reality of her upbringing and the snobbish behavior of her grandmother .",King,refers to,behavior
sent_0024,"In many of her writings , King often refers to the comical contradictions between the material reality of her upbringing and the snobbish behavior of her grandmother .",King,refers to,snobbish behavior
sent_0025,McLay also suggests that the songs negate what many consider to be a `` heretical '' ending for a comedy .,the songs,suggests negate,what
sent_0025,McLay also suggests that the songs negate what many consider to be a `` heretical '' ending for a comedy .,many,suggests consider,to be
sent_0026,Byrom Street Cutting became a runaway catch point for runaway trains in the tunnel .,Byrom Street Cutting,became,a runaway catch point
sent_0026,Byrom Street Cutting became a runaway catch point for runaway trains in the tunnel .,Byrom Street Cutting,became,catch point
sent_0026,Byrom Street Cutting became a runaway catch point for runaway trains in the tunnel .,Byrom Street Cutting,became,a runaway
sent_0026,Byrom Street Cutting became a runaway catch point for runaway trains in the tunnel .,Byrom Street Cutting,became,point
sent_0026,Byrom Street Cutting became a runaway catch point for runaway trains in the tunnel .,Byrom Street Cutting,is,cutting
sent_0026,Byrom Street Cutting became a runaway catch point for runaway trains in the tunnel .,Byrom Street Cutting,is,street
sent_0026,Byrom Street Cutting became a runaway catch point for runaway trains in the tunnel .,Byrom Street Cutting,is,point
sent_0026,Byrom Street Cutting became a runaway catch point for runaway trains in the tunnel .,Byrom Street Cutting,became,trains
sent_0027,"The division maintained defensive positions until the offensive of 23 May , when it broke out of the beachhead , took Cisterna , and raced to Civitavecchia and Rome .",The division,may maintained,defensive positions
sent_0027,"The division maintained defensive positions until the offensive of 23 May , when it broke out of the beachhead , took Cisterna , and raced to Civitavecchia and Rome .",The division,may broke out of,the beachhead
sent_0027,"The division maintained defensive positions until the offensive of 23 May , when it broke out of the beachhead , took Cisterna , and raced to Civitavecchia and Rome .",The division,may raced to,Civitavecchia
sent_0027,"The division maintained defensive positions until the offensive of 23 May , when it broke out of the beachhead , took Cisterna , and raced to Civitavecchia and Rome .",The division,may raced to,Rome
sent_0029,A different judge then ordered the case reviewed by a higher court .,judge,reviewed,case
sent_0029,A different judge then ordered the case reviewed by a higher court .,case,reviewed,a higher court
sent_0029,A different judge then ordered the case reviewed by a higher court .,A higher court,reviewed,case
sent_0030,"In 1717 Lady Mary Wortley Montagu observed the practice in Istanbul and attempted to popularize it in Britain , but encountered considerable resistance .",Lady Mary Wortley Montagu,observed,practice
sent_0030,"In 1717 Lady Mary Wortley Montagu observed the practice in Istanbul and attempted to popularize it in Britain , but encountered considerable resistance .",Lady Mary Wortley Montagu,attempted,popularize
sent_0030,"In 1717 Lady Mary Wortley Montagu observed the practice in Istanbul and attempted to popularize it in Britain , but encountered considerable resistance .",Lady Mary Wortley Montagu,encountered,resistance
sent_0030,"In 1717 Lady Mary Wortley Montagu observed the practice in Istanbul and attempted to popularize it in Britain , but encountered considerable resistance .",Istanbul,observed,practice
sent_0030,"In 1717 Lady Mary Wortley Montagu observed the practice in Istanbul and attempted to popularize it in Britain , but encountered considerable resistance .",Lady Mary Wortley Montagu,attempted,popularize
sent_0030,"In 1717 Lady Mary Wortley Montagu observed the practice in Istanbul and attempted to popularize it in Britain , but encountered considerable resistance .",resistance,encountered,Lady Mary Wortley Montagu
sent_0031,"Wallonia is also home to about 80 % of the population of the French Community of Belgium , a political level responsible for matters related mainly to culture and education , with the remainder living in Brussels .",Wallonia,is home to,about 80 % of the population of the French Community of Belgium
sent_0031,"Wallonia is also home to about 80 % of the population of the French Community of Belgium , a political level responsible for matters related mainly to culture and education , with the remainder living in Brussels .",French Community of Belgium,is responsible for,matters
sent_0031,"Wallonia is also home to about 80 % of the population of the French Community of Belgium , a political level responsible for matters related mainly to culture and education , with the remainder living in Brussels .",French Community of Belgium,is responsible for,culture
sent_0031,"Wallonia is also home to about 80 % of the population of the French Community of Belgium , a political level responsible for matters related mainly to culture and education , with the remainder living in Brussels .",French Community of Belgium,is responsible for,education
sent_0031,"Wallonia is also home to about 80 % of the population of the French Community of Belgium , a political level responsible for matters related mainly to culture and education , with the remainder living in Brussels .",Brussels,is home to,the remainder
sent_0032,"For liquid-packed vessels , thermal relief valves are generally characterized by the relatively small size of the valve necessary to provide protection from excess pressure caused by thermal expansion .",liquid-packed vessels,are characterized by,relatively small size
sent_0032,"For liquid-packed vessels , thermal relief valves are generally characterized by the relatively small size of the valve necessary to provide protection from excess pressure caused by thermal expansion .",thermal relief valves,are,generally characterized
sent_0032,"For liquid-packed vessels , thermal relief valves are generally characterized by the relatively small size of the valve necessary to provide protection from excess pressure caused by thermal expansion .",thermal relief valves,provide,protection
sent_0034,"As the student of Torah ascends through the thought of the Pardes system , as the interpretations become more inward and spiritual , it becomes progressively understood that God desires man 's observance of the Jewish precepts , so to speak .",student,ascends,Pardes system
sent_0034,"As the student of Torah ascends through the thought of the Pardes system , as the interpretations become more inward and spiritual , it becomes progressively understood that God desires man 's observance of the Jewish precepts , so to speak .",thought,becomes,more inward and spiritual
sent_0034,"As the student of Torah ascends through the thought of the Pardes system , as the interpretations become more inward and spiritual , it becomes progressively understood that God desires man 's observance of the Jewish precepts , so to speak .",interpretations,become,more inward and spiritual
sent_0034,"As the student of Torah ascends through the thought of the Pardes system , as the interpretations become more inward and spiritual , it becomes progressively understood that God desires man 's observance of the Jewish precepts , so to speak .",God,desires,man's observance
sent_0034,"As the student of Torah ascends through the thought of the Pardes system , as the interpretations become more inward and spiritual , it becomes progressively understood that God desires man 's observance of the Jewish precepts , so to speak .",God,desires,Jewish precepts
sent_0035,Just above seen is a replica of a Shiva lingam .,Shiva lingam,is a replica of,above seen
sent_0035,Just above seen is a replica of a Shiva lingam .,above seen,is,a replica
sent_0035,Just above seen is a replica of a Shiva lingam .,a replica,is of,Shiva lingam
sent_0036,"Around the `` triangle area , '' which includes Quanzhou , Xiamen and Zhangzhou , locals all speak Minnan languages .",triangle area,includes,Quanzhou
sent_0036,"Around the `` triangle area , '' which includes Quanzhou , Xiamen and Zhangzhou , locals all speak Minnan languages .",triangle area,includes,Xiamen
sent_0036,"Around the `` triangle area , '' which includes Quanzhou , Xiamen and Zhangzhou , locals all speak Minnan languages .",triangle area,includes,Zhangzhou
sent_0036,"Around the `` triangle area , '' which includes Quanzhou , Xiamen and Zhangzhou , locals all speak Minnan languages .",locals,speak,Minnan languages
sent_0037,"This used the section of the C&HP line from Buxton as far as Parsley Hay , from where a single line ran south to Ashbourne , where it connected with the North Staffordshire Railway .",C&HP line,used,section
sent_0037,"This used the section of the C&HP line from Buxton as far as Parsley Hay , from where a single line ran south to Ashbourne , where it connected with the North Staffordshire Railway .",C&HP line,ran,Parsley Hay
sent_0037,"This used the section of the C&HP line from Buxton as far as Parsley Hay , from where a single line ran south to Ashbourne , where it connected with the North Staffordshire Railway .",Parsley Hay,connected,North Staffordshire Railway
sent_0037,"This used the section of the C&HP line from Buxton as far as Parsley Hay , from where a single line ran south to Ashbourne , where it connected with the North Staffordshire Railway .",Ashbourne,connected,North Staffordshire Railway
sent_0038,"Though this form of violence is often portrayed as an issue within the context of heterosexual relationships , it also occurs in lesbian relationships , daughter-mother relationships , roommate relationships and other domestic relationships involving two women .",form of violence,occurs,lesbian relationships
sent_0038,"Though this form of violence is often portrayed as an issue within the context of heterosexual relationships , it also occurs in lesbian relationships , daughter-mother relationships , roommate relationships and other domestic relationships involving two women .",form of violence,occurs,daughter-mother relationships
sent_0038,"Though this form of violence is often portrayed as an issue within the context of heterosexual relationships , it also occurs in lesbian relationships , daughter-mother relationships , roommate relationships and other domestic relationships involving two women .",form of violence,occurs,roommate relationships
sent_0038,"Though this form of violence is often portrayed as an issue within the context of heterosexual relationships , it also occurs in lesbian relationships , daughter-mother relationships , roommate relationships and other domestic relationships involving two women .",form of violence,occurs,other domestic relationships
sent_0038,"Though this form of violence is often portrayed as an issue within the context of heterosexual relationships , it also occurs in lesbian relationships , daughter-mother relationships , roommate relationships and other domestic relationships involving two women .",heterosexual relationships,is portrayed,issue
sent_0038,"Though this form of violence is often portrayed as an issue within the context of heterosexual relationships , it also occurs in lesbian relationships , daughter-mother relationships , roommate relationships and other domestic relationships involving two women .",daughter-mother relationships,is,context
sent_0038,"Though this form of violence is often portrayed as an issue within the context of heterosexual relationships , it also occurs in lesbian relationships , daughter-mother relationships , roommate relationships and other domestic relationships involving two women .",roommate relationships,is,context
sent_0038,"Though this form of violence is often portrayed as an issue within the context of heterosexual relationships , it also occurs in lesbian relationships , daughter-mother relationships , roommate relationships and other domestic relationships involving two women .",other domestic relationships,is,context
sent_0039,"The second session , taking place on November 12 , 1960 , produced Joe Primrose 's `` St. James Infirmary '' and the sad and mood `` I 've Just Got to Forget You '' .",The second session,took place,"November 12, 1960"
sent_0039,"The second session , taking place on November 12 , 1960 , produced Joe Primrose 's `` St. James Infirmary '' and the sad and mood `` I 've Just Got to Forget You '' .",The second session,produced,"Joe Primrose's ""St. James Infirmary"""
sent_0039,"The second session , taking place on November 12 , 1960 , produced Joe Primrose 's `` St. James Infirmary '' and the sad and mood `` I 've Just Got to Forget You '' .",The second session,produced,"""I've Just Got to Forget You"""
sent_0040,23.8 % of all households were made up of individuals and 13.0 % had someone living alone who was 65 years of age or older .,Households,made up of,individuals
sent_0040,23.8 % of all households were made up of individuals and 13.0 % had someone living alone who was 65 years of age or older .,Households,had,someone living alone
sent_0040,23.8 % of all households were made up of individuals and 13.0 % had someone living alone who was 65 years of age or older .,Someone living alone,was,65 years of age or older
sent_0041,"He held the post as Attorney-General until 1834 ; he was readmitted in 1841 and after serving for a year , became Master of the Rolls in Ireland .",He,held,post
sent_0041,"He held the post as Attorney-General until 1834 ; he was readmitted in 1841 and after serving for a year , became Master of the Rolls in Ireland .",He,was,readmitted
sent_0041,"He held the post as Attorney-General until 1834 ; he was readmitted in 1841 and after serving for a year , became Master of the Rolls in Ireland .",He,became,Master of the Rolls in Ireland
sent_0041,"He held the post as Attorney-General until 1834 ; he was readmitted in 1841 and after serving for a year , became Master of the Rolls in Ireland .",He,held,Attorney-General
sent_0042,She began her film career in 1947 in the film `` A New Oath '' .,She,began,her film career
sent_0042,She began her film career in 1947 in the film `` A New Oath '' .,She,began,1947
sent_0042,She began her film career in 1947 in the film `` A New Oath '' .,She,began,A New Oath
sent_0043,"Continuing duties specified for freed slaves in manumission agreements became more common into the Hellenistic era , and they may have been customary earlier .",Continuing duties,may became,specified
sent_0043,"Continuing duties specified for freed slaves in manumission agreements became more common into the Hellenistic era , and they may have been customary earlier .",Continuing duties,may became,common
sent_0043,"Continuing duties specified for freed slaves in manumission agreements became more common into the Hellenistic era , and they may have been customary earlier .",Manumission agreements,may specify,duties
sent_0043,"Continuing duties specified for freed slaves in manumission agreements became more common into the Hellenistic era , and they may have been customary earlier .",Freed slaves,may have,duties
sent_0043,"Continuing duties specified for freed slaves in manumission agreements became more common into the Hellenistic era , and they may have been customary earlier .",Duties,may be,customary
sent_0043,"Continuing duties specified for freed slaves in manumission agreements became more common into the Hellenistic era , and they may have been customary earlier .",Manumission agreements,may contain,duties
sent_0044,"He returned to Cleveland , working in clubs as a singer , dancer , and comedian , often appearing in character as Prince DuMarr .",He,returned,Cleveland
sent_0044,"He returned to Cleveland , working in clubs as a singer , dancer , and comedian , often appearing in character as Prince DuMarr .",He,working,clubs
sent_0044,"He returned to Cleveland , working in clubs as a singer , dancer , and comedian , often appearing in character as Prince DuMarr .",He,appearing,character
sent_0044,"He returned to Cleveland , working in clubs as a singer , dancer , and comedian , often appearing in character as Prince DuMarr .",He,appearing,Prince DuMarr
sent_0045,The Israeli controlled sector was captured by Israel in the Six-Day War of June 1967 .,Israel,captured,sector
sent_0045,The Israeli controlled sector was captured by Israel in the Six-Day War of June 1967 .,Israel,captured,Six-Day War
sent_0045,The Israeli controlled sector was captured by Israel in the Six-Day War of June 1967 .,sector,was captured by,Israel
sent_0045,The Israeli controlled sector was captured by Israel in the Six-Day War of June 1967 .,Israel,captured in,Six-Day War
sent_0046,"Voyslava has killed Mlada , Yaromir 's bride , to have him for herself .",Voyslava,killed,Mlada
sent_0046,"Voyslava has killed Mlada , Yaromir 's bride , to have him for herself .",Mlada,bride,Yaromir
sent_0046,"Voyslava has killed Mlada , Yaromir 's bride , to have him for herself .",Voyslava,has,Yaromir
sent_0047,"Here , equality between the two vectors in homogeneous coordinates means that the numbers on the right side are equal to the numbers on the left side up to some common scaling factor formula_8 .",numbers,are,equal
sent_0047,"Here , equality between the two vectors in homogeneous coordinates means that the numbers on the right side are equal to the numbers on the left side up to some common scaling factor formula_8 .",numbers,be,equal
sent_0047,"Here , equality between the two vectors in homogeneous coordinates means that the numbers on the right side are equal to the numbers on the left side up to some common scaling factor formula_8 .",right side,be,equal
sent_0047,"Here , equality between the two vectors in homogeneous coordinates means that the numbers on the right side are equal to the numbers on the left side up to some common scaling factor formula_8 .",left side,be,equal
sent_0047,"Here , equality between the two vectors in homogeneous coordinates means that the numbers on the right side are equal to the numbers on the left side up to some common scaling factor formula_8 .",numbers,be,equal to
sent_0047,"Here , equality between the two vectors in homogeneous coordinates means that the numbers on the right side are equal to the numbers on the left side up to some common scaling factor formula_8 .",right side,be,equal to
sent_0047,"Here , equality between the two vectors in homogeneous coordinates means that the numbers on the right side are equal to the numbers on the left side up to some common scaling factor formula_8 .",left side,be,equal to
sent_0048,"Many lodge members , youth and adult , are active staff members of both Scout and Cub Scout camps .",lodge members,are,active staff members
sent_0048,"Many lodge members , youth and adult , are active staff members of both Scout and Cub Scout camps .",lodge members,are,members
sent_0048,"Many lodge members , youth and adult , are active staff members of both Scout and Cub Scout camps .",youth,are,active staff members
sent_0048,"Many lodge members , youth and adult , are active staff members of both Scout and Cub Scout camps .",youth,are,members
sent_0048,"Many lodge members , youth and adult , are active staff members of both Scout and Cub Scout camps .",adult,are,active staff members
sent_0048,"Many lodge members , youth and adult , are active staff members of both Scout and Cub Scout camps .",adult,are,members
sent_0048,"Many lodge members , youth and adult , are active staff members of both Scout and Cub Scout camps .",Scout,are,staff members
sent_0049,These tracks have subsequently been included on CD reissues of the album `` The Plan '' .,These tracks,have been included,on CD reissues of the album
sent_0049,These tracks have subsequently been included on CD reissues of the album `` The Plan '' .,These tracks,have been included,on CD reissues
sent_0049,These tracks have subsequently been included on CD reissues of the album `` The Plan '' .,These tracks,have been included,of the album
sent_0049,These tracks have subsequently been included on CD reissues of the album `` The Plan '' .,These tracks,have been included,the album
sent_0049,These tracks have subsequently been included on CD reissues of the album `` The Plan '' .,These tracks,have been included,CD reissues
sent_0049,These tracks have subsequently been included on CD reissues of the album `` The Plan '' .,These tracks,have been included,the Plan
sent_0049,These tracks have subsequently been included on CD reissues of the album `` The Plan '' .,These tracks,have been included,cd reissues
sent_0050,"The Institut Constant de Rebecque is a Swiss free-market , classical liberal and libertarian think tank founded in January 2005 in Lausanne , named after writer and political philosopher Benjamin Constant .",Institut Constant de Rebecque,founded,January 2005
sent_0050,"The Institut Constant de Rebecque is a Swiss free-market , classical liberal and libertarian think tank founded in January 2005 in Lausanne , named after writer and political philosopher Benjamin Constant .",Institut Constant de Rebecque,named,after
